table	column	storage	level	n_distinct	pct_missing	example
labs/abortion-opinion/data/by_ideology.csv	group	character	categorical	8	0.0	Extremely liberal
labs/abortion-opinion/data/by_ideology.csv	respondents	integer	count	8	0.0	235
labs/abortion-opinion/data/by_ideology.csv	pct_1	numeric	continuous	8	0.0	3.8
labs/abortion-opinion/data/by_ideology.csv	pct_2	numeric	continuous	8	0.0	3.4
labs/abortion-opinion/data/by_ideology.csv	pct_3	numeric	continuous	8	0.0	4.7
labs/abortion-opinion/data/by_ideology.csv	pct_4	numeric	continuous	8	0.0	88.1
labs/abortion-opinion/data/by_party.csv	group	character	categorical	7	0.0	Strong Democrat
labs/abortion-opinion/data/by_party.csv	respondents	integer	count	7	0.0	1207
labs/abortion-opinion/data/by_party.csv	pct_1	numeric	continuous	7	0.0	1.4
labs/abortion-opinion/data/by_party.csv	pct_2	numeric	continuous	7	0.0	6.7
labs/abortion-opinion/data/by_party.csv	pct_3	numeric	continuous	7	0.0	12.8
labs/abortion-opinion/data/by_party.csv	pct_4	numeric	continuous	7	0.0	79
labs/abortion-opinion/data/gaps.csv	year	integer	count	17	0.0	1980
labs/abortion-opinion/data/gaps.csv	dem_always	numeric	continuous	17	0.0	37.3
labs/abortion-opinion/data/gaps.csv	rep_always	numeric	continuous	15	0.0	33.8
labs/abortion-opinion/data/gaps.csv	ind_always	numeric	continuous	15	0.0	41.8
labs/abortion-opinion/data/gaps.csv	lib_always	numeric	continuous	16	0.0	55.1
labs/abortion-opinion/data/gaps.csv	con_always	numeric	continuous	17	0.0	32.1
labs/abortion-opinion/data/gaps.csv	notplaced_always	numeric	continuous	17	0.0	29.8
labs/abortion-opinion/data/gaps.csv	party_gap	numeric	continuous	16	0.0	3.5
labs/abortion-opinion/data/gaps.csv	ideology_gap	numeric	continuous	17	0.0	23
labs/abortion-opinion/data/now.csv	code	integer	code	4	0.0	1
labs/abortion-opinion/data/now.csv	view	character	categorical	4	0.0	Never permitted
labs/abortion-opinion/data/now.csv	respondents	integer	count	4	0.0	293
labs/abortion-opinion/data/now.csv	pct	numeric	continuous	4	0.0	5.8
labs/abortion-opinion/data/now.csv	year	integer	constant	1	0.0	2024
labs/abortion-opinion/data/overtime.csv	year	integer	count	17	0.0	1980
labs/abortion-opinion/data/overtime.csv	respondents	integer	count	17	0.0	1547
labs/abortion-opinion/data/overtime.csv	never	numeric	continuous	13	0.0	11.5
labs/abortion-opinion/data/overtime.csv	rape_incest_life	numeric	continuous	16	0.0	32.7
labs/abortion-opinion/data/overtime.csv	need_established	numeric	continuous	16	0.0	19
labs/abortion-opinion/data/overtime.csv	always	numeric	continuous	16	0.0	36.8
labs/abortion-opinion/data/overtime.csv	pct_missing	numeric	continuous	10	0.0	0.6
labs/anes/data/awareness.csv	build	character	dichotomous	2	0.0	Interviewer rating only (VCF0050a, falli
labs/anes/data/awareness.csv	respondents	integer	dichotomous	2	0.0	41635
labs/anes/data/awareness.csv	first_year	integer	constant	1	0.0	1966
labs/anes/data/awareness.csv	last_year	integer	constant	1	0.0	2016
labs/anes/data/awareness.csv	levels	integer	dichotomous	2	0.0	5
labs/anes/data/codes.csv	cleaning	character	categorical	4	0.0	Nothing removed, the file as it arrives
labs/anes/data/codes.csv	mean	numeric	continuous	4	0.0	3.966
labs/anes/data/codes.csv	n	integer	count	4	0.0	48381
labs/anes/data/codes.csv	error	numeric	continuous	4	0.0	0.137
labs/anes/data/coverage.csv	variable	character	categorical	11	0.0	VCF0301
labs/anes/data/coverage.csv	first	integer	count	7	0.0	1952
labs/anes/data/coverage.csv	last	integer	dichotomous	2	0.0	2024
labs/anes/data/coverage.csv	studies	integer	count	9	0.0	32
labs/anes/data/coverage.csv	answers	integer	count	9	0.0	73083
labs/anes/data/coverage.csv	label	character	categorical	11	0.0	Party identification, 7 point
labs/anes/data/resentment.csv	year	integer	count	12	0.0	1986
labs/anes/data/resentment.csv	party	character	categorical	3	0.0	Democrat
labs/anes/data/resentment.csv	resentment	numeric	continuous	34	0.0	3.066
labs/anes/data/resentment.csv	n	integer	count	35	0.0	533
labs/anes/data/zaller.csv	item	character	dichotomous	2	0.0	Government health insurance
labs/anes/data/zaller.csv	party	character	categorical	3	0.0	Democrat
labs/anes/data/zaller.csv	awareness	character	categorical	5	0.0	lowest
labs/anes/data/zaller.csv	mean	numeric	continuous	30	0.0	3.168
labs/anes/data/zaller.csv	n	integer	count	29	0.0	954
labs/apportionment/data/apportionment_2020.csv	state	character	categorical	50	0.0	California
labs/apportionment/data/apportionment_2020.csv	app_pop	integer	count	50	0.0	39576757
labs/apportionment/data/apportionment_2020.csv	seats	integer	count	20	0.0	52
labs/apportionment/data/apportionment_2020.csv	overseas	integer	count	50	0.0	38534
labs/apportionment/data/apportionment_2020.csv	resident_pop	integer	count	50	0.0	39538223
labs/apportionment/data/apportionment_2020.csv	people_per_seat	integer	count	50	0.0	761091
labs/areal-units/data/county_outline.csv	part	integer	constant	1	0.0	1
labs/areal-units/data/county_outline.csv	x	numeric	continuous	206	0.0	1056.9
labs/areal-units/data/county_outline.csv	y	numeric	continuous	231	0.0	1227.4
labs/areal-units/data/dens_fulton.csv	level	character	dichotomous	2	0.0	Census block
labs/areal-units/data/dens_fulton.csv	x	numeric	continuous	201	0.0	0
labs/areal-units/data/dens_fulton.csv	y	numeric	continuous	387	0.0	0.012186
labs/areal-units/data/dots_fulton.csv	kind	character	dichotomous	2	0.0	Black
labs/areal-units/data/dots_fulton.csv	x	numeric	continuous	378	0.0	1050.84
