host	kind	source	licence	redistributable	uses	labs	note
github.com	github	APM-Reports/jury-data	NONE DECLARED	NO	4	jury-selection	No licence file. Default in most jurisdictions is all rights reserved.
github.com	github	jaytimm/PresElectionResults	NONE DECLARED	NO	4	electoral-map,historical-campaigns,redistricting	No licence file. Default in most jurisdictions is all rights reserved.
github.com	github	tonmcg/US_County_Level_Election_Results_08-24	MIT	YES	4	data-sources,mapping,wind-map	MIT License
www2.census.gov	government	www2.census.gov	US Gov — public domain	YES	58	apportionment,areal-units,census,census-geography,data-sources,demographics,mapping,migration,redlining,regional-shift,residual-votes,section-203,surnames,surveys-source,wind-map	17 USC 105: works of the US government are not copyrightable.
electionstudies.org	academic	electionstudies.org	ANES terms	CHECK	10	abortion-opinion,anes,ideology,party-id,surveys	Free registration; check redistribution clause.
voteview.com	academic	voteview.com	open	LIKELY	8	dw-nominate,officeholder-age,retirements,rollcalls-source	Long-standing free public release; no explicit licence found.
www.fec.gov	government	www.fec.gov	US Gov / state public record	YES	8	campaign-finance,independent-expenditures,retirements	Federal works are public domain; state election records are public records.
www.eac.gov	government	www.eac.gov	US Gov / state public record	YES	6	eavs,residual-votes	Federal works are public domain; state election records are public records.
api.census.gov	government	api.census.gov	US Gov — public domain	YES	6	census-api,policing	17 USC 105: works of the US government are not copyrightable.
results.sos.ga.gov	government	results.sos.ga.gov	US Gov / state public record	YES	6	ga-precinct-returns,wind-map	Federal works are public domain; state election records are public records.
dsl.richmond.edu	academic	dsl.richmond.edu	CC BY-NC-SA	CHECK	6	redlining	Mapping Inequality: non-commercial share-alike.
history.house.gov	government	history.house.gov	US Gov / state public record	YES	4	house-competition,midterm-loss	Federal works are public domain; state election records are public records.
www.elections.alaska.gov	government	www.elections.alaska.gov	US Gov / state public record	YES	3	cast-vote-records	Federal works are public domain; state election records are public records.
docs.google.com	third-party	docs.google.com	unknown	CHECK	3	house-competition,retirements	A sheet someone published; owner unknown.
interactives.ap.org	commercial	interactives.ap.org	AP content	CHECK	3	campaign-visits	AP tracker embed.
gss.norc.org	academic	gss.norc.org	GSS terms	CHECK	3	gss-confidence	Generally open; confirm.
unitedstates.github.io	unclassified	unitedstates.github.io	unknown	CHECK	2	election-night	
lda.gov	government	lda.gov	US Gov / state public record	YES	2	lobbying	Federal works are public domain; state election records are public records.
data.cdc.gov	government	data.cdc.gov	US Gov / state public record	YES	2	officeholder-age	Federal works are public domain; state election records are public records.
www.cdc.gov	government	www.cdc.gov	US Gov / state public record	YES	2	officeholder-age	Federal works are public domain; state election records are public records.
www.sentencingproject.org	ngo	www.sentencingproject.org	report	CHECK	2	disenfranchisement	Figures from a published report.
scdb.wustl.edu	unclassified	scdb.wustl.edu	unknown	CHECK	2	scdb	
www.brookings.edu	ngo	www.brookings.edu	report	CHECK	2	retirements	
stacks.stanford.edu	academic	stacks.stanford.edu	per-item	CHECK	2	policing	
www.census.gov	government	www.census.gov	US Gov — public domain	YES	2	apportionment,section-203	17 USC 105: works of the US government are not copyrightable.
gamma-api.polymarket.com	commercial	gamma-api.polymarket.com	API terms	CHECK	2	models-markets	
clob.polymarket.com	commercial	clob.polymarket.com	API terms	CHECK	2	models-markets	
s3.amazonaws.com	unclassified	s3.amazonaws.com	unknown	CHECK	2	vote-targeting	
doi.org	repository	doi.org	per-dataset	CHECK	2	house-competition	Resolve and check the target.
clerk.house.gov	government	clerk.house.gov	US Gov / state public record	YES	2	house-competition	Federal works are public domain; state election records are public records.
docquery.fec.gov	government	docquery.fec.gov	US Gov / state public record	YES	2	independent-expenditures	Federal works are public domain; state election records are public records.
wikimedia.org	foundation	wikimedia.org	CC BY-SA / open API	LIKELY	2	media-attention	Pageview API data is factual and openly licensed.
openpolicing.stanford.edu	academic	openpolicing.stanford.edu	ODbL-ish	CHECK	1	policing	Stanford Open Policing; check terms.
www.ncsbe.gov	government	www.ncsbe.gov	US Gov / state public record	YES	1	vote-targeting	Federal works are public domain; state election records are public records.
www.the-downballot.com	commercial	www.the-downballot.com	unclear	CHECK	1	house-competition	Editorial site; presidential-by-CD figures.
sos.ga.gov	government	sos.ga.gov	US Gov / state public record	YES	1	ga-precinct-returns	Federal works are public domain; state election records are public records.
