"state","house_seat","state_seat","priority"
"California",51,2,27984993.2520723
"Texas",52,2,20635702.2563336
"California",53,3,16157143.3873536
"Florida",54,2,15252665.9154676
"New York",55,2,14294694.6188788
"Texas",56,3,11914028.2526111
"California",57,4,11424825.6538011
"Pennsylvania",58,2,9200763.1281415
"Illinois",59,2,9067045.7002852
"California",60,5,8849631.8980991
"Florida",61,3,8806130.7721545
"Texas",62,4,8424490.1686694
"Ohio",63,2,8350116.4988012
"New York",64,3,8253045.7861931
"Georgia",65,2,7583913.9754838
"North Carolina",66,2,7392057.5209716
"California",67,6,7225694.187267
"Michigan",68,2,7130777.3226825
"New Jersey",69,2,6572199.0279909
"Texas",70,5,6525582.024709
"Florida",71,4,6226874.785006
"Virginia",72,2,6119685.3362638
"California",73,7,6106826.1857356
"New York",74,4,5835784.6408602
"Washington",75,2,5455997.7398692
"Texas",76,6,5328115.4117384
"Pennsylvania",77,3,5312063.0687824
"California",78,8,5288666.613343
"Illinois",79,3,5234861.2758143
"Arizona",80,2,5062122.9992924
"Massachusetts",81,2,4973413.6251654
"Tennessee",82,2,4890984.7734689
"Florida",83,5,4823316.4682495
"Ohio",84,3,4820942.0083476
"Indiana",85,2,4801453.0341554
"California",86,9,4664165.5420121
"New York",87,5,4520379.345221
"Texas",88,7,4503079.4099152
"Georgia",89,3,4378574.7752565
"Maryland",90,2,4373652.017324
"Missouri",91,2,4355976.4691147
"North Carolina",92,3,4267806.3995981
"California",93,10,4171756.4841006
"Wisconsin",94,2,4170143.1501646
"Michigan",95,3,4116956.2067819
"Colorado",96,2,4088612.3240802
"Minnesota",97,2,4037404.3580935
"Florida",98,6,3938221.4050582
"Texas",99,8,3899781.1642452
"New Jersey",100,3,3794460.8779783
"California",101,11,3773495.7203164
"Pennsylvania",102,4,3756195.8180267
"Illinois",103,4,3701605.9066991
"New York",104,6,3690874.2798693
"South Carolina",105,2,3623718.6068281
"Alabama",106,2,3556784.5860277
"Virginia",107,3,3533201.9762477
"California",108,12,3444714.5444442
"Texas",109,9,3439283.709389
"Ohio",110,4,3408920.7858097
"Florida",111,7,3328404.5765477
"Louisiana",112,2,3296155.6330841
"Kentucky",113,2,3188586.3068893
"California",114,13,3168676.5160011
"Washington",115,3,3150021.7638115
"New York",116,7,3119358.1012995
"Georgia",117,4,3096119.9155162
"Texas",118,10,3076188.8672406
"North Carolina",119,4,3017794.8459471
"Oregon",120,2,2999193.4124028
"California",121,14,2933624.4081912
"Arizona",122,3,2922618.0763124
"Michigan",123,4,2911127.6516636
"Pennsylvania",124,5,2909536.7696623
"Florida",125,8,2882482.9173627
"Massachusetts",126,3,2871401.6952806
"Illinois",127,5,2867251.6061738
"Tennessee",128,3,2823811.3755646
"Oklahoma",129,2,2802629.0409414
"Texas",130,11,2782517.5246105
"Indiana",131,3,2772120.2017709
"California",132,15,2731055.6956163
"New York",133,8,2701443.3592261
"New Jersey",134,4,2683089.0177655
"Ohio",135,5,2640538.6863963
"California",136,16,2554668.6792983
"Connecticut",137,2,2551451.9843419
"Florida",138,9,2542110.9859113
"Texas",139,12,2540079.3581377
"Maryland",140,3,2525129.1695437
"Missouri",141,3,2514924.187027
"Virginia",142,4,2498351.0767064
"Wisconsin",143,3,2407633.2703068
"California",144,17,2399693.3739764
"Georgia",145,5,2398244.1741311
"New York",146,9,2382449.1031465
"Pennsylvania",147,6,2375626.8245128
"Colorado",148,3,2360561.4259197
"Illinois",149,6,2341101.1331005
"North Carolina",150,5,2337573.8361248
"Texas",151,13,2336533.1748291
"Minnesota",152,3,2330996.4929726
"Utah",153,2,2315952.8992948
"Florida",154,10,2273733.1883387
"California",155,18,2262452.6100095
"Iowa",156,2,2257371.9309006
"Michigan",157,5,2254949.7827154
"Washington",158,4,2227401.7500763
"Nevada",159,2,2198014.5592607
"Texas",160,14,2163209.3770423
"Ohio",161,6,2155990.80925
"California",162,19,2140065.921429
"Arkansas",163,2,2131047.3044417
"New York",164,10,2130927.2590276
"Mississippi",165,2,2095803.6882538
"South Carolina",166,3,2092154.9131196
