"kind","x","y"
"Black",1050.84,1233.08
"not Black",1064.75,1255.13
"not Black",1067.13,1261.58
"not Black",1074.93,1291.03
"not Black",1052.79,1230.75
"not Black",1063.62,1284.88
"Black",1067.74,1248.15
"Black",1073.24,1287.01
"Black",1057.23,1239.97
"not Black",1064.66,1256.19
"Black",1047.33,1229.24
"not Black",1078.57,1291.09
"not Black",1069.29,1248.81
"not Black",1067.43,1255.19
"Black",1064.87,1254.14
"Black",1071.61,1292.43
"Black",1052.41,1240.21
"not Black",1061.35,1280.75
"not Black",1062.1,1273.29
"not Black",1077.5,1287.75
"Black",1057.28,1245.71
"not Black",1064.36,1267.11
"Black",1051,1233.13
"Black",1051.58,1239.56
"Black",1069.77,1280.86
"Black",1045.73,1230.89
"not Black",1070.99,1291.27
"not Black",1065.65,1255.5
"not Black",1082.4,1288.03
"Black",1055.61,1242.77
"not Black",1068.64,1250.94
"not Black",1063.74,1257.6
"not Black",1061.92,1280.06
"not Black",1076.38,1287.84
"not Black",1082.01,1288.53
"Black",1063.14,1244
"Black",1054.86,1251.95
"Black",1057.52,1231.36
"Black",1052.14,1237.33
"not Black",1065.34,1275.79
"not Black",1062.27,1284.94
"not Black",1078.5,1290.6
"Black",1050.22,1225.69
"Black",1064.29,1244.37
"not Black",1074.07,1285.56
"Black",1064.61,1267.18
"Black",1053.36,1251.67
"Black",1062.92,1251.93
"Black",1059.26,1240.1
"not Black",1062.26,1286.14
"Black",1046.26,1241.76
"not Black",1074.22,1285.74
"not Black",1067.96,1257.5
"not Black",1074.47,1284.45
"not Black",1061.76,1271.87
"Black",1072.56,1281.78
"Black",1051.51,1230.13
"not Black",1072.08,1283.16
"not Black",1062.84,1243.96
"not Black",1061.85,1267.14
"not Black",1060.68,1269.48
"Black",1065.37,1254.46
"Black",1054.69,1241.01
"not Black",1063.63,1259
"Black",1057.84,1243.52
"Black",1060.39,1242.54
"Black",1057.61,1257.18
"not Black",1073.98,1285.64
"not Black",1060.94,1252.94
"not Black",1077.59,1291.49
"not Black",1081.02,1282.5
"not Black",1067.54,1254.58
"not Black",1065.09,1276.38
"not Black",1051.93,1231.28
"not Black",1057.37,1258.87
"not Black",1061.49,1281.44
"Black",1061.09,1231.97
"not Black",1067.74,1253.7
"Black",1061.81,1248.83
"Black",1060.93,1232.85
"not Black",1070.45,1289.18
"not Black",1071.33,1283.58
"not Black",1071.37,1290.07
"Black",1066.5,1280.93
"Black",1065.47,1254.59
"Black",1063.98,1251.42
"not Black",1064.58,1269.87
"not Black",1064.7,1277.49
"not Black",1068.8,1286.53
"Black",1066.8,1243.83
"Black",1052.56,1233.08
"Black",1067.97,1252.55
"not Black",1065.4,1262.16
"not Black",1062.04,1266.14
"not Black",1073.76,1288.55
"not Black",1075.2,1284.8
"not Black",1036.6,1222.17
"Black",1064.41,1292.55
"not Black",1075.27,1287.18
"not Black",1069.09,1250.39
"Black",1067.48,1261.07
"not Black",1066.33,1255.62
"not Black",1059.52,1244.32
"not Black",1073.5,1292.79
"not Black",1069.76,1298.35
"Black",1062.11,1258.62
"Black",1064.02,1246.66
"not Black",1061.22,1259.17
"Black",1065.98,1248.09
"Black",1056.17,1248.82
"Black",1060.47,1247.56
"Black",1068.42,1260.03
"not Black",1063.71,1290.13
"not Black",1074.67,1283.19
"Black",1050.91,1226.55
"not Black",1064.81,1257.96
"not Black",1064.73,1243.8
"not Black",1075.68,1287.21
"Black",1060.89,1241.03
"Black",1044.95,1237.44
"not Black",1077.64,1291.69
"Black",1043.59,1237.99
"not Black",1068.77,1254.08
"not Black",1084.05,1288.03
"not Black",1081.98,1287.84
"Black",1056.5,1246.15
"not Black",1066.38,1278.24
"Black",1053.02,1243.85
"not Black",1063.84,1274.03
"Black",1057.63,1228.51
"not Black",1078.07,1288.49
"not Black",1064.59,1288.97
"Black",1058.08,1250.64
"not Black",1064.99,1253.79
"Black",1068.15,1250.1
"Black",1066.37,1252.86
"not Black",1071.76,1294.73
"not Black",1060.83,1244.01
"Black",1065.97,1279.2
"Black",1057.31,1249.26
"not Black",1061.04,1261.81
"Black",1061.19,1253.37
"Black",1063.18,1254.04
"Black",1046.11,1242.36
"Black",1059.9,1230.3
"not Black",1058.77,1258.74
"Black",1062.74,1247.16
"not Black",1065.13,1253.41
"not Black",1075.58,1286.73
"not Black",1061.34,1255.56
"not Black",1066.77,1254.87
"not Black",1077.83,1290.7
"Black",1046.31,1236.49
"not Black",1079.2,1283.81
"not Black",1065.13,1273.85
"not Black",1075,1286.67
"Black",1056.24,1231.02
"Black",1065.64,1255.74
"Black",1065.71,1248.4
"Black",1057.72,1251.59
"Black",1051.53,1233.53
"not Black",1076.7,1286.6
"not Black",1071.62,1292.47
"not Black",1064.79,1301.19
"not Black",1067.12,1299.45
"Black",1054.91,1249.12
"Black",1063.3,1254.13
"not Black",1060.53,1263.19
"Black",1059.12,1235.14
"not Black",1073.68,1280.31
"not Black",1064.71,1284.04
"Black",1056.91,1252.11
"Black",1061.03,1249.22
"Black",1070.09,1280.23
"Black",1064.83,1262.82
"not Black",1070.08,1284.5
"not Black",1060.78,1261.8
"not Black",1078.64,1286.85
"Black",1059.81,1232.65
"not Black",1071.89,1281.65
"not Black",1063.01,1259.96
"not Black",1064.3,1259.33
"not Black",1052.28,1225.94
"not Black",1070.23,1280.74
"not Black",1076.17,1285.84
"Black",1070.76,1290.49
"not Black",1066.13,1267.46
"Black",1042.8,1234.93
"not Black",1066.1,1261.37
