"name","value","note"
"ga_blocks","232717","Georgia census blocks, 2020"
"ga_pop","10711908","Georgia 2020 census population"
"ga_black_any","3538146","Georgians of any part Black"
"ga_black_pct","33.03","any part Black, share of Georgia (%)"
"ga_black_alone","3320513","Black alone"
"ga_black_alone_pct","31","Black alone, share of Georgia (%)"
"ga_bgs","7446","Georgia block groups"
"ga_tracts","2796","Georgia census tracts"
"ga_counties","159","Georgia counties"
"ful_blocks","11748","Fulton census blocks"
"ful_blocks_pop","8674","Fulton blocks with anyone in them"
"ful_bgs","858","Fulton block groups"
"ful_tracts","327","Fulton census tracts"
"ful_pop","1066710","Fulton 2020 population"
"ful_black","477624","Fulton any part Black"
"ful_black_pct","44.78","Fulton any part Black, share (%)"
"ful_bvap_pct","43.51","Fulton any part Black share of voting-age population (%)"
"K","6","units in every partition"
"quota","177785","people per unit"
"n_plans","360","equal-population partitions built"
"n_angles","180","rotations per family"
"max_dev_pct","0.71","largest population deviation from the quota, any unit of any plan (%)"
"maj_min","0","fewest majority-Black units, any plan"
"maj_max","4","most majority-Black units, any plan"
"plans_zero_maj","3","plans with no majority-Black unit"
"plans_two_maj","227","plans with exactly two majority-Black units"
"plans_strict_contig","0","plans whose six units are each ONE connected piece (strict)"
"contig_thr","99","effective-contiguity threshold: % of a unit's people in its largest piece"
"plans_contig","172","effectively contiguous plans"
"contig_maj_min","2","fewest majority-Black units among effectively contiguous plans"
"contig_maj_max","3","most majority-Black units among effectively contiguous plans"
"lo_contig","0","strictly contiguous units in the fewest-majority plan (of 6)"
"hi_contig","0","strictly contiguous units in the most-majority plan (of 6)"
"lo_piece","54.57","fewest-majority plan: worst unit's largest piece, % of its people"
"hi_piece","83.65","most-majority plan: worst unit's largest piece, % of its people"
"clo_family","split","rule family, fewest-majority effectively contiguous plan"
"clo_angle","14","rotation, fewest-majority effectively contiguous plan (deg)"
"clo_maj","2","majority-Black units, that plan"
"clo_min","12.861","lowest unit Black share, that plan (%)"
"clo_max","85.739","highest unit Black share, that plan (%)"
"chi_family","strip","rule family, most-majority effectively contiguous plan"
"chi_angle","86","rotation, most-majority effectively contiguous plan (deg)"
"chi_maj","3","majority-Black units, that plan"
"chi_min","11.491","lowest unit Black share, that plan (%)"
"chi_max","88.154","highest unit Black share, that plan (%)"
"spread_min","3.74","smallest gap between a plan's most- and least-Black unit (points)"
"spread_max","79.878","largest gap between a plan's most- and least-Black unit (points)"
"bvap_maj_min","0","fewest majority-BVAP units, any plan"
"bvap_maj_max","4","most majority-BVAP units, any plan"
"lo_family","strip","rule family of the fewest-majority plan"
"lo_angle","161","rotation of the fewest-majority plan (degrees)"
"lo_maj","0","majority-Black units, fewest-majority plan"
"lo_min","42.616","lowest unit Black share, fewest-majority plan (%)"
"lo_max","46.356","highest unit Black share, fewest-majority plan (%)"
"lo_pieces","3","most pieces >=1% of area in any unit of that plan"
"lo_largest","54.4","smallest 'largest piece' share of unit area, that plan (%)"
"hi_family","split","rule family of the most-majority plan"
"hi_angle","165","rotation of the most-majority plan (degrees)"
"hi_maj","4","majority-Black units, most-majority plan"
"hi_min","13.22","lowest unit Black share, most-majority plan (%)"
"hi_max","77.073","highest unit Black share, most-majority plan (%)"
"hi_pieces","2","most pieces >=1% of area in any unit of that plan"
"hi_largest","86.8","smallest 'largest piece' share of unit area, that plan (%)"
"sd_block","37.9","Fulton, weighted SD of unit Black share, blocks (points)"
"sd_tract","36.2","Fulton, weighted SD of unit Black share, tracts (points)"
"ga_sd_block","31.8","Georgia, weighted SD of unit Black share, blocks (points)"
"ga_sd_county","17.7","Georgia, weighted SD of unit Black share, counties (points)"
"ga_maj_block","66.3","% of Black Georgians in a majority-Black block"
"ga_maj_tract","55.4","% of Black Georgians in a majority-Black tract"
"ga_maj_county","34.8","% of Black Georgians in a majority-Black county"
"ga_maj_counties","22","majority-Black Georgia counties"
"ful_maj_block","79.6","% of Black Fulton residents in a majority-Black block"
"ful_maj_tract","77.6","% of Black Fulton residents in a majority-Black tract"
"ga_corr_block","0.088","Georgia, weighted corr(Black share, under-18 share), blocks"
"ga_corr_tract","0.08","Georgia, weighted corr(Black share, under-18 share), tracts"
"ga_corr_county","-0.147","Georgia, weighted corr(Black share, under-18 share), counties"
"dot_people","400","people per dot in the dot map"
"dens_bw","3","bandwidth of every density curve (percentage points)"
"fetch_date","20260810","source fetch date, yyyymmdd"
"pl_zip_mb","35.8","size of the Georgia P.L. 94-171 download, MB"
