"plan","unit","part","x","y"
"fewest",1,1,1052,1225.6
"fewest",1,1,1052.1,1226
"fewest",1,1,1052.3,1226.1
"fewest",1,1,1051.9,1226.2
"fewest",1,1,1051.9,1226.4
"fewest",1,1,1052.6,1226.8
"fewest",1,1,1052.2,1227.4
"fewest",1,1,1052.9,1227.7
"fewest",1,1,1052.9,1228
"fewest",1,1,1052.7,1228.3
"fewest",1,1,1052.6,1228.6
"fewest",1,1,1053.3,1229.1
"fewest",1,1,1053.1,1229.7
"fewest",1,1,1053.3,1229.7
"fewest",1,1,1053.3,1229.8
"fewest",1,1,1053.1,1229.8
"fewest",1,1,1053.2,1230
"fewest",1,1,1053.2,1230
"fewest",1,1,1053.1,1230.5
"fewest",1,1,1053.6,1230.6
"fewest",1,1,1054.1,1230.4
"fewest",1,1,1054.1,1231.3
"fewest",1,1,1053.9,1231.5
"fewest",1,1,1054.2,1231.7
"fewest",1,1,1054,1231.7
"fewest",1,1,1053.9,1231.7
"fewest",1,1,1053.9,1231.8
"fewest",1,1,1054.1,1231.9
"fewest",1,1,1054.2,1231.8
"fewest",1,1,1054.2,1232.1
"fewest",1,1,1054.4,1232.1
"fewest",1,1,1054.4,1232
"fewest",1,1,1054.7,1232.1
"fewest",1,1,1054.6,1232.3
"fewest",1,1,1054.6,1232.6
"fewest",1,1,1054.5,1232.6
"fewest",1,1,1054.5,1233
"fewest",1,1,1054.8,1232.9
"fewest",1,1,1055.1,1232.6
"fewest",1,1,1055.2,1232.6
"fewest",1,1,1055.1,1233
"fewest",1,1,1055.2,1233.4
"fewest",1,1,1054.8,1234.3
"fewest",1,1,1054.9,1234.5
"fewest",1,1,1055.1,1234.6
"fewest",1,1,1055,1234.9
"fewest",1,1,1055.5,1235
"fewest",1,1,1055.5,1234.8
"fewest",1,1,1055.8,1234.8
"fewest",1,1,1055.7,1235.1
"fewest",1,1,1055.3,1235.5
"fewest",1,1,1056,1236.3
"fewest",1,1,1055.7,1236.3
"fewest",1,1,1055.8,1236.3
"fewest",1,1,1055.5,1236.8
"fewest",1,1,1056,1237.6
"fewest",1,1,1056.2,1237.6
"fewest",1,1,1056.1,1237.7
"fewest",1,1,1056.8,1238.8
"fewest",1,1,1056.7,1238.9
