"program","product","counts","refers_to","refers_mid","population"
"Population Estimates","vintage 2025 base","everybody","1 April 2020",2020.25,1250581
"Decennial census","2020 P.L. 94-171, table P1","everybody","1 April 2020",2020.25,1250578
"American Community Survey","five-year 2017-2021, table B01003","everybody","2017-2021 average",2019.5,1246116
"American Community Survey","five-year 2018-2022, table B01003","everybody","2018-2022 average",2020.5,1245310
"American Community Survey","five-year 2019-2023, table B01003","everybody","2019-2023 average",2021.5,1240476
"American Community Survey","five-year 2020-2024, table B01003","everybody","2020-2024 average",2022.5,1238177
"American Community Survey","one-year 2021, table B01003","everybody","2021 average",2021.5,1238090
"Population Estimates","vintage 2021","everybody","1 July 2021",2021.5,1238090
"American Community Survey","one-year 2022, table B01003","everybody","2022 average",2022.5,1233253
"Population Estimates","vintage 2022","everybody","1 July 2022",2022.5,1233253
"American Community Survey","one-year 2024, table B01003","everybody","2024 average",2024.5,1231814
"Population Estimates","vintage 2024","everybody","1 July 2024",2024.5,1231814
"Population Estimates","vintage 2024","everybody","1 July 2023",2023.5,1230138
"Population Estimates","vintage 2025","everybody","1 July 2023",2023.5,1228911
"Population Estimates","vintage 2025","everybody","1 July 2025",2025.5,1225035
"American Community Survey","one-year 2023, table B01003","everybody","2023 average",2023.5,1224825
"Population Estimates","vintage 2023","everybody","1 July 2023",2023.5,1224825
"Decennial census","2010 P.L. 94-171, table P1","everybody","1 April 2010",2010.25,1223348
"Decennial census","2020 P.L. 94-171, table P3","18 and over","1 April 2020",2020.25,1020183
