"key","value"
"us_est","-0.24"
"us_se","0.25"
"n_under","6"
"n_over","8"
"n_none","37"
"se_min","0.65"
"se_min_state","California"
"se_max","4.93"
"se_max_state","District of Columbia"
"se_state_median","1.43"
"se_demo_median","0.48"
"largest_undercount","-5.04"
"largest_undercount_state","Arkansas"
"largest_overcount","6.79"
"largest_overcount_state","Hawaii"
"largest_insig","4.59"
"largest_insig_state","District of Columbia"
"largest_insig_se","4.93"
"smallest_sig","1.49"
"smallest_sig_state","Ohio"
"smallest_sig_se","0.67"
"disagree_state","Delaware"
"srr_national","67"
"srr_internet_national","53.5"
"srr_date","2021-01-29"
"srr_min","54.7"
"srr_min_state","Alaska"
"srr_max","75.1"
"srr_max_state","Minnesota"
"cor_est_srr","0.108"
"cor_se_srr","-0.474"
"missed_texas","558695"
"missed_florida","759673"
"excess_newyork","651485"
"missed_us","777546"
"omissions_pct","5.8"
"imputations_pct","3.4"
"pes_blocks","10000"
"pes_units","161000"
"pes_interviews","114000"
"people_per_seat","761169"
"n_states_over_a_seat","0"
"us_household_pop","323200000"
"not_evaluated","8249281"
"trap_state","Alabama"
"trap_crrall","63.6"
"trap_cmax","77.8"
"est_mean","0.18"
"est_median","0.1"
"est_sd","2.63"
"n_states","51"
