"fips","state","census_count","est_2020","se_2020","bureau_states_it","direction","bin","implied_people","est_2010","rmse_2010","self_response","internet_response"
"01","Alabama",4896000,-1.05,1.22,FALSE,"unstated",3,51954,-0.13,1.24,63.6,44.7
"02","Alaska",700000,1.12,2.45,FALSE,"unstated",4,-7753,0.85,2.22,54.7,44.3
"04","Arizona",6991000,-0.16,1.59,FALSE,"unstated",3,11204,0.42,1.19,64.1,52.4
"05","Arkansas",2929000,-5.04,2.21,TRUE,"undercount",1,155457,0.41,1.45,60.6,40.9
"06","California",38620000,0.47,0.65,FALSE,"unstated",4,-180665,-0.26,0.73,69.6,58
"08","Colorado",5647000,2.19,1.45,FALSE,"unstated",5,-121019,0.29,1.23,70,60.1
"09","Connecticut",3498000,-0.13,1.71,FALSE,"unstated",3,4553,0.45,1.34,70.8,58.2
"10","Delaware",967000,5.45,2.82,TRUE,"overcount",6,-49978,-0.55,1.93,64.9,52.9
"11","District of Columbia",649000,4.59,4.93,FALSE,"unstated",6,-28482,-2.23,2.2,64,55.3
"12","Florida",21070000,-3.48,0.91,TRUE,"undercount",1,759673,-0.45,0.86,63.8,50
"13","Georgia",10460000,0.31,1.11,FALSE,"unstated",4,-32326,-0.91,1.04,62.9,50.4
"15","Hawaii",1415000,6.79,1.68,TRUE,"overcount",6,-89970,0.44,2.08,63.1,50.4
"16","Idaho",1789000,-1.55,1.62,FALSE,"unstated",2,28166,0.03,1.7,69.3,57.7
"17","Illinois",12540000,-1.97,0.89,TRUE,"undercount",2,252002,0.48,1.02,71.4,58.4
"18","Indiana",6607000,0.21,0.94,FALSE,"unstated",4,-13846,0.67,1.14,70.3,54
"19","Iowa",3092000,-2.04,3.25,FALSE,"unstated",2,64390,0.28,1.41,71.5,56.2
"20","Kansas",2851000,-0.81,1.42,FALSE,"unstated",3,23282,0.67,1.44,69.8,54.8
"21","Kentucky",4381000,-1.18,1.5,FALSE,"unstated",3,52313,0.13,1.28,68.2,50.5
"22","Louisiana",4534000,-3.73,2.36,FALSE,"unstated",1,175671,0.38,1.31,60.4,43.6
"23","Maine",1326000,2.2,1.9,FALSE,"unstated",5,-28544,-0.65,1.99,58.2,42.7
"24","Maryland",6052000,-1.17,1.41,FALSE,"unstated",3,71647,-0.94,1.19,71.2,60.7
"25","Massachusetts",6784000,2.24,1.06,TRUE,"overcount",5,-148632,0.52,1.15,69.4,58.1
"26","Michigan",9856000,0.14,0.68,FALSE,"unstated",4,-13779,0.66,1.02,71.3,55.9
"27","Minnesota",5568000,3.84,0.97,TRUE,"overcount",6,-205904,0.56,1.2,75.1,63
"28","Mississippi",2868000,-4.11,1.63,TRUE,"undercount",1,122927,-0.24,1.45,60.4,37.2
"29","Missouri",5986000,-1.05,0.97,FALSE,"unstated",3,63520,0.66,1.19,65.9,50.4
"30","Montana",1055000,-4.39,3.7,FALSE,"unstated",1,48441,0.65,2.01,60.4,45.6
"31","Nebraska",1912000,-0.73,1.35,FALSE,"unstated",3,14060,0.54,1.61,71.9,56.9
"32","Nevada",3068000,4.42,3.44,FALSE,"unstated",6,-129866,0.04,1.46,66.6,55.3
"33","New Hampshire",1335000,0.53,1.58,FALSE,"unstated",4,-7038,-0.6,2.07,67.1,55.6
"34","New Jersey",9109000,-0.12,0.93,FALSE,"unstated",3,10944,0.36,1.07,69.5,58.7
"35","New Mexico",2075000,0.1,2.42,FALSE,"unstated",4,-2073,0.16,1.58,58.7,44.8
"36","New York",19590000,3.44,0.94,TRUE,"overcount",6,-651485,0.79,0.92,64.2,51.1
"37","North Carolina",10150000,-1.59,1.09,FALSE,"unstated",2,163992,-0.52,1.03,63.4,49.6
"38","North Dakota",753000,-0.35,1.86,FALSE,"unstated",3,2645,-0.09,2.17,65.2,52.6
"39","Ohio",11500000,1.49,0.67,TRUE,"overcount",4,-168834,0.83,1,70.7,54.6
"40","Oklahoma",3842000,2.41,1.89,FALSE,"unstated",5,-90413,1.08,1.4,61,45
"41","Oregon",4140000,1,1.22,FALSE,"unstated",4,-40990,-0.02,1.32,69.2,57.4
"42","Pennsylvania",12600000,0.48,0.67,FALSE,"unstated",4,-60191,-0.14,0.97,69.6,54.3
"44","Rhode Island",1052000,5.05,1.43,TRUE,"overcount",6,-50572,0.81,1.91,65.5,51.7
"45","South Carolina",4980000,-1.36,1.26,FALSE,"unstated",3,68662,-0.41,1.25,61,45.3
"46","South Dakota",855000,-0.42,1.87,FALSE,"unstated",3,3606,-0.1,2.05,67.5,52.3
"47","Tennessee",6754000,-4.78,1.51,TRUE,"undercount",1,339048,-0.12,1.15,66,49.1
"48","Texas",28540000,-1.92,0.82,TRUE,"undercount",2,558695,-0.97,0.85,62.8,51.2
"49","Utah",3216000,2.59,1.23,TRUE,"overcount",5,-81192,0.48,1.44,71,64.4
"50","Vermont",618000,1.48,1.83,FALSE,"unstated",4,-9013,-1.29,2.43,60.5,46.4
"51","Virginia",8395000,-0.35,1.11,FALSE,"unstated",3,29486,-0.57,1.06,71.5,58.5
"53","Washington",7545000,0.29,1.08,FALSE,"unstated",4,-21817,0.1,1.14,72.4,62.5
"54","West Virginia",1742000,1.53,4.4,FALSE,"unstated",5,-26251,1.43,1.7,56.2,37
"55","Wisconsin",5742000,0.85,0.86,FALSE,"unstated",4,-48396,0.17,1.2,72.2,59.3
"56","Wyoming",564000,-2.6,2.01,FALSE,"unstated",2,15055,0.51,2.31,61.1,47.1
