"name","value","note"
"county_name","Houston County, Georgia","the county mapped throughout"
"county_fips","13153","state 13 + county 153"
"n_blocks","3269","2020 census blocks in the county"
"n_bg","108","block groups"
"n_tracts","38","census tracts"
"n_places","4","census places with land in the county"
"n_zctas","12","ZCTAs with land in the county"
"pop","163633","2020 population, summed from blocks"
"county_sq_mi","379.9","land and water, Albers"
"tracts_split_bg","0","tracts a block group boundary splits"
"tracts_split_place","32","tracts a city limit splits"
"tracts_split_zcta","22","tracts a ZCTA boundary splits"
"tracts_pop_mixed_place","30","tracts with population both inside and outside a municipality"
"pop_unincorporated","54067","people in the county living in no municipality"
"pop_wr","79743","people in the Warner Robins city limits"
"wr_tracts","30","tracts the Warner Robins city limit reaches into"
"wr_counties","2","counties Warner Robins lies in"
"wr_sq_km_in_county","91.5","Warner Robins land inside Houston"
"wr_sq_km_total","98.7","Warner Robins land in total"
"zctas_multi_county","5","of the county's ZCTAs that are in more than one county"
"zcta_max_counties","4","counties the widest-spanning ZCTA is in"
"blocks_per_tract","86","mean blocks per tract"
"fetch_date","2026-08-10","every source above fetched on this date"
