"division","part","x","y"
"New England",1,1025,152.2
"New England",1,1025.4,151.8
"New England",1,1025.9,150.1
"New England",1,1025.7,149.5
"New England",1,1026,147.9
"New England",1,1025.6,147.4
"New England",1,1025.7,145.9
"New England",1,1026,145.1
"New England",1,1026.8,144.7
"New England",1,1027.1,144.7
"New England",1,1027.8,144
"New England",1,1027.5,143.5
"New England",1,1028,143
"New England",1,1028.2,142
"New England",1,1027.8,141.5
"New England",1,1027.5,140.6
"New England",1,1027.8,139.8
"New England",1,1028.5,139.4
"New England",1,1028.9,138.8
"New England",1,1029.5,138.9
"New England",1,1030.2,138.4
"New England",1,1029.6,137.8
"New England",1,1029.6,136.9
"New England",1,1030.2,135.5
"New England",1,1030.7,135.4
"New England",1,1031.3,134.4
"New England",1,1032.4,134.2
"New England",1,1032.5,133.4
"New England",1,1032.8,132.7
"New England",1,1033.2,132.3
"New England",1,1034.2,132.1
"New England",1,1034.9,133.7
"New England",1,1035.1,133.2
"New England",1,1036.3,132.3
"New England",1,1036.5,131
"New England",1,1036.5,130.3
"New England",1,1037.7,130.7
"New England",1,1037.4,129.7
"New England",1,1037.9,129.8
"New England",1,1038,129
"New England",1,1038.9,129.2
"New England",1,1038.8,128.2
"New England",1,1039.1,128.2
"New England",1,1039.7,129
"New England",1,1039.8,127.9
"New England",1,1040.5,127
"New England",1,1040.2,125.9
"New England",1,1041.1,125.5
"New England",1,1041.4,126.5
"New England",1,1041.8,126.3
"New England",1,1041.9,125.7
"New England",1,1042.4,125.8
"New England",1,1042.3,126.7
"New England",1,1042.6,127.7
"New England",1,1043.1,127.3
"New England",1,1042.6,126.6
"New England",1,1042.7,126.3
"New England",1,1043.8,125.9
"New England",1,1044.2,124.3
"New England",1,1045.5,123.9
"New England",1,1045.8,123.9
"New England",1,1046,122.9
"New England",1,1045.2,122.1
"New England",1,1045.4,121.7
"New England",1,1044.5,121.1
"New England",1,1044.8,120.4
"New England",1,1044.5,119.6
"New England",1,1044.8,119.3
"New England",1,1044.7,117.9
"New England",1,1045,116.8
"New England",1,1045.4,115.6
"New England",1,1045.3,114.7
"New England",1,1044.7,114.1
"New England",1,1044.1,113.3
"New England",1,1044.9,113
"New England",1,1045.1,112.3
"New England",1,1045.8,112.7
"New England",1,1046.6,111.7
"New England",1,1046.3,111.2
"New England",1,1046.7,110.1
"New England",1,1047.2,110.8
"New England",1,1047.3,111.7
"New England",1,1047,112.4
"New England",1,1047,112.9
"New England",1,1047.5,113.9
"New England",1,1047.6,115.1
"New England",1,1048.1,115
"New England",1,1048.5,114.4
"New England",1,1049.2,114.4
"New England",1,1048.9,115
"New England",1,1049.5,115.3
"New England",1,1050.3,115.4
"New England",1,1050,116.3
"New England",1,1049.7,116.7
"New England",1,1050.2,117.4
"New England",1,1050.3,117.9
"New England",1,1051.6,118.5
"New England",1,1052.1,119.5
"New England",1,1051.7,119.7
"New England",1,1052.4,121.2
"New England",1,1052.7,120.8
"New England",1,1053.2,120.8
"New England",1,1053,120.2
"New England",1,1053.1,119.4
"New England",1,1052.4,118.9
"New England",1,1052.2,118.5
"New England",1,1052.4,118
"New England",1,1052.2,117.1
"New England",1,1052.6,116.5
"New England",1,1052.5,116.1
"New England",1,1053,115.7
"New England",1,1052.9,114.7
"New England",1,1052.3,114
"New England",1,1051.8,113.7
"New England",1,1051.9,112.8
"New England",1,1051.2,112
"New England",1,1051.7,111.7
"New England",1,1052.2,110.8
"New England",1,1053.2,110.3
"New England",1,1053.3,111.2
"New England",1,1053.6,111.2
"New England",1,1054.2,110.4
"New England",1,1054.5,110.8
"New England",1,1054.1,111.6
"New England",1,1053.5,111.9
"New England",1,1053.4,112.6
"New England",1,1054,113.2
"New England",1,1054.4,114
"New England",1,1054.9,114.4
"New England",1,1056.4,114.6
"New England",1,1056.6,114.1
"New England",1,1057.2,114.2
"New England",1,1058.2,113.8
"New England",1,1057.5,112.7
"New England",1,1057.9,112.1
"New England",1,1058,111.6
"New England",1,1057.5,110.6
"New England",1,1057.5,110.3
"New England",1,1058.7,109.7
"New England",1,1059,110.6
"New England",1,1060,110.9
"New England",1,1060.2,108.9
"New England",1,1060.7,109.3
"New England",1,1061.4,108.5
"New England",1,1061.5,108
"New England",1,1062.5,107.7
"New England",1,1062.7,107
"New England",1,1062.6,106.4
"New England",1,1062.9,106.2
"New England",1,1063.1,105.4
"New England",1,1063.6,105
"New England",1,1063.8,105.7
"New England",1,1064.3,105.6
"New England",1,1064.4,104.5
"New England",1,1064.8,104.3
"New England",1,1065.6,105.3
"New England",1,1066.4,105.7
"New England",1,1066.6,106
"New England",1,1067.2,105.5
"New England",1,1067.5,104.5
"New England",1,1066.4,104
"New England",1,1066,103.4
"New England",1,1066.6,103
"New England",1,1067,103.3
"New England",1,1067.8,101.7
"New England",1,1068.6,101.6
"New England",1,1068.6,101
"New England",1,1068.9,100.7
"New England",1,1068,99.5
"New England",1,1069.3,98.8
"New England",1,1069.6,99.9
"New England",1,1070,100
"New England",1,1069.9,100.9
"New England",1,1070.2,101.2
"New England",1,1070.8,100.9
"New England",1,1070.4,100.5
"New England",1,1071.6,99.6
"New England",1,1071.6,99.2
"New England",1,1072,98.9
"New England",1,1072.1,98.2
"New England",1,1072.5,97.5
"New England",1,1072.4,97
"New England",1,1072.8,96.8
"New England",1,1072.8,96.1
"New England",1,1073.4,95.9
"New England",1,1073.8,94.8
"New England",1,1073.3,94.1
"New England",1,1073.5,93.8
"New England",1,1073.1,93.2
"New England",1,1073,92.5
"New England",1,1071.9,92.1
"New England",1,1071.4,91.2
"New England",1,1070.6,90.4
"New England",1,1069.9,90
"New England",1,1070.2,89.6
"New England",1,1069.6,88.7
"New England",1,1068.5,87.8
"New England",1,1067.7,87.8
"New England",1,1067.4,88.1
"New England",1,1066.5,87.7
"New England",1,1066.2,87.9
"New England",1,1066.4,88.8
"New England",1,1065.9,89.5
"New England",1,1064.6,89.1
"New England",1,1064,88.4
"New England",1,1063.6,87.7
"New England",1,1063.1,87.5
"New England",1,1062.4,86.8
"New England",1,1062.7,86.4
"New England",1,1062.9,84.3
"New England",1,1061.6,83.3
"New England",1,1061.3,82.7
"New England",1,1060.7,82.1
"New England",1,1061.2,81.5
"New England",1,1061.8,81.5
"New England",1,1061.5,80.6
"New England",1,1061.3,79.8
"New England",1,1060.8,79.3
"New England",1,1060.4,79.4
"New England",1,1060.1,79.9
"New England",1,1059.1,80.1
"New England",1,1057.6,80.1
"New England",1,1056.1,79.3
"New England",1,1055.2,79.2
"New England",1,1054.7,79.4
"New England",1,1054.2,78.2
"New England",1,1054.7,78.1
"New England",1,1054,77.4
"New England",1,1053.9,76.5
"New England",1,1054.5,75.9
"New England",1,1053.7,75.4
"New England",1,1053.3,74.7
"New England",1,1053.7,74.3
"New England",1,1053.9,73.7
"New England",1,1053.2,73.3
"New England",1,1050.9,65.8
"New England",1,1048.6,58.6
"New England",1,1047.2,54.2
"New England",1,1045.4,48.1
"New England",1,1043.8,47.8
"New England",1,1043,46.9
"New England",1,1042.7,46.8
"New England",1,1042,46
"New England",1,1041.3,45.8
"New England",1,1040.7,45.4
"New England",1,1039.7,45.2
"New England",1,1039.5,44.9
"New England",1,1038.5,44.6
"New England",1,1038.1,44.1
"New England",1,1036.8,43.9
"New England",1,1035,44.1
"New England",1,1034.4,44.8
"New England",1,1034.6,45.7
"New England",1,1034,46.3
"New England",1,1033.4,46.2
"New England",1,1032.7,46.3
"New England",1,1032.1,46.9
"New England",1,1031.7,46.9
"New England",1,1031.7,47.6
"New England",1,1031.4,48
"New England",1,1030.7,48.4
"New England",1,1029.9,48.5
"New England",1,1029.4,49
"New England",1,1028.6,49.5
"New England",1,1028,50.3
"New England",1,1027.5,50.7
"New England",1,1024.9,49.9
"New England",1,1024.2,48.4
"New England",1,1023.8,47
"New England",1,1023.8,46.2
"New England",1,1023.6,45.8
"New England",1,1023.1,46.1
"New England",1,1022.3,45.9
"New England",1,1021.3,45.8
"New England",1,1020.6,45.9
"New England",1,1017.5,55
"New England",1,1015.2,61.7
"New England",1,1013.5,66.6
"New England",1,1014.4,73.1
"New England",1,1013.9,73.4
"New England",1,1013.3,74.8
"New England",1,1012.9,74.9
"New England",1,1012.5,75.8
"New England",1,1012.7,76.4
"New England",1,1012.3,77.3
"New England",1,1012.3,78.7
"New England",1,1012,79.2
"New England",1,1013.2,80
"New England",1,1013.2,80.9
"New England",1,1012.7,81.4
"New England",1,1012.6,82.2
"New England",1,1013.1,82.3
"New England",1,1012.7,83.2
"New England",1,1013.1,83.6
"New England",1,1013.2,84.5
"New England",1,1013.9,84.3
"New England",1,1014.4,84.6
"New England",1,1014.2,85.1
"New England",1,1014.5,85.9
"New England",1,1013.9,86.8
"New England",1,1013.4,87.1
"New England",1,1012.6,88.7
"New England",1,1012.9,89.5
"New England",1,1013.5,90
"New England",1,1012.8,90.9
"New England",1,1012.3,91.1
"New England",1,1011.6,92.1
"New England",1,1011.1,92.3
"New England",1,1010.8,93.2
"New England",1,1010.1,94
"New England",1,1009.7,95.2
"New England",1,1009.8,95.5
"New England",1,1009.5,96.4
"New England",1,1009.7,97
"New England",1,1010.6,97.6
"New England",1,1011.1,97.8
"New England",1,1011.5,98.3
"New England",1,1011.7,99
"New England",1,1010.9,99
"New England",1,1010.4,99.2
"New England",1,1009.5,98.5
"New England",1,1009,98.6
"New England",1,1008.5,99.5
"New England",1,1009,99.9
"New England",1,1009,100.8
"New England",1,1009.3,101.7
"New England",1,1009,102.7
"New England",1,1009.1,103.5
"New England",1,1008.6,103.5
"New England",1,1007.7,102.7
"New England",1,1007.6,101.9
"New England",1,1006.9,101.5
"New England",1,1006.4,101.7
"New England",1,1006.1,102.1
"New England",1,1005,102.8
"New England",1,1004.8,102.9
"New England",1,1004.5,104.4
"New England",1,1003.4,104.4
"New England",1,1003,104.6
"New England",1,1001.8,103.7
"New England",1,1001.1,104.6
"New England",1,1000.8,105.2
"New England",1,1000,105.8
"New England",1,1000.4,106.6
"New England",1,1000.3,108
"New England",1,1000.5,108.2
"New England",1,1000.1,109.4
"New England",1,999.7,109.9
"New England",1,1000,110.5
"New England",1,1000,111.2
"New England",1,995.7,112.4
"New England",1,993.4,113.1
"New England",1,987,114.8
"New England",1,984.2,115.4
"New England",1,983,115.7
"New England",1,982.5,115.7
"New England",1,978.3,116.7
"New England",1,976.3,117.2
"New England",1,974.4,117.7
"New England",1,970.3,118.8
"New England",1,970.2,119.4
"New England",1,970.6,119.8
"New England",1,970.8,120.7
"New England",1,970.7,121.3
"New England",1,970.6,122.7
"New England",1,971.6,123.5
"New England",1,971.7,123.8
"New England",1,971.4,125
"New England",1,971.6,126
"New England",1,971.7,128
"New England",1,972,128.6
"New England",1,972.8,129.3
