"fips","county","state","total","one_race","white","black","aian","asian","nhpi","other_race","two_or_more","hispanic","not_hispanic","nh_white","nh_black","nh_aian","nh_asian","nh_nhpi","nh_other","nh_two","gq_total","gq_correctional","gq_juvenile","gq_nursing","gq_college","gq_military"
"15001","Hawaii County","Hawaii",200629,141384,67365,1251,1027,39607,28096,4038,59245,22275,178354,64688,1159,649,38351,26185,1000,46322,2728,514,42,607,644,0
"15003","Honolulu County","Hawaii",1016508,767822,188462,20723,2278,436853,102099,17407,248686,92322,924186,175530,19356,1116,429410,97063,3174,198537,34867,2756,81,4132,4316,15522
"15005","Kalawao County","Hawaii",82,60,27,2,0,12,15,4,22,18,64,27,0,0,9,15,4,9,17,0,0,0,0,0
"15007","Kauai County","Hawaii",73298,53290,23204,376,287,21102,7227,1094,20008,7394,65904,22194,352,156,20504,6825,283,15590,931,127,0,333,0,0
"15009","Maui County","Hawaii",164754,124586,54203,1065,778,44328,20008,4204,40168,16914,147840,51926,1010,400,43284,18966,822,31432,2198,355,6,426,0,0
"28001","Adams County","Mississippi",29538,28779,10994,16785,66,165,8,761,759,1012,28526,10926,16709,56,165,7,35,628,1283,1011,17,203,52,0
"28003","Alcorn County","Mississippi",34740,33353,27992,4337,101,181,19,723,1387,1248,33492,27738,4316,61,180,19,50,1128,685,360,17,252,0,0
"28005","Amite County","Mississippi",12720,12444,7463,4854,32,31,0,64,276,129,12591,7434,4835,25,31,0,18,248,73,11,0,62,0,0
"28007","Attala County","Mississippi",17889,17494,9440,7678,39,97,4,236,395,331,17558,9410,7642,29,97,4,37,339,239,0,0,231,0,0
"28009","Benton County","Mississippi",7646,7367,4582,2666,16,1,0,102,279,145,7501,4565,2654,6,1,0,38,237,62,8,0,54,0,0
"28011","Bolivar County","Mississippi",30985,30184,10111,19365,27,262,0,419,801,794,30191,9946,19257,22,262,0,52,652,1522,578,0,434,500,0
"28013","Calhoun County","Mississippi",13266,12784,8776,3467,27,17,0,497,482,747,12519,8662,3444,15,17,0,18,363,314,27,0,209,0,0
"28015","Carroll County","Mississippi",9998,9747,6543,3044,20,31,0,109,251,154,9844,6529,3030,15,29,0,18,223,594,543,0,51,0,0
"28017","Chickasaw County","Mississippi",17106,16599,8664,7436,32,43,0,424,507,642,16464,8584,7407,13,41,0,15,404,524,343,0,151,0,0
"28019","Choctaw County","Mississippi",8246,7978,5593,2343,15,6,0,21,268,117,8129,5559,2332,15,6,0,7,210,170,11,11,82,0,0
"28021","Claiborne County","Mississippi",9135,8992,974,7989,9,3,0,17,143,72,9063,974,7959,8,0,0,8,114,1076,0,0,51,1005,0
"28023","Clarke County","Mississippi",15615,15203,9988,5115,25,8,6,61,412,132,15483,9950,5103,16,8,6,24,376,152,0,0,127,0,0
"28025","Clay County","Mississippi",18636,18248,7212,10803,39,57,1,136,388,186,18450,7196,10785,35,57,1,37,339,240,72,0,151,0,0
"28027","Coahoma County","Mississippi",21390,20964,4312,16281,31,116,2,222,426,350,21040,4285,16209,26,112,0,44,364,554,43,11,113,327,0
"28029","Copiah County","Mississippi",28368,27553,12305,14342,60,122,26,698,815,1111,27257,12171,14264,17,121,24,43,617,937,43,0,99,764,0
"28031","Covington County","Mississippi",18340,17909,11118,6416,35,83,4,253,431,418,17922,11047,6384,20,83,4,35,349,280,0,0,280,0,0
"28033","DeSoto County","Mississippi",185314,176004,110064,56205,526,3045,140,6024,9310,10161,175153,108466,55972,298,3023,137,632,6625,908,416,69,383,0,0
"28035","Forrest County","Mississippi",78158,75109,43597,28330,227,796,29,2130,3049,3258,74900,43121,28151,177,789,29,311,2322,5818,271,11,793,4297,0
"28037","Franklin County","Mississippi",7675,7539,4921,2585,4,10,0,19,136,60,7615,4910,2563,2,8,0,12,120,64,4,0,60,0,0
"28039","George County","Mississippi",24350,23433,21112,1782,96,79,1,363,917,672,23678,20929,1774,85,77,1,41,771,474,342,0,67,0,0
"28041","Greene County","Mississippi",13530,13169,9848,3149,64,21,3,84,361,171,13359,9809,3143,60,21,3,11,312,2726,2615,0,111,0,0
"28043","Grenada County","Mississippi",21629,20977,11339,9409,41,90,2,96,652,310,21319,11258,9352,29,84,2,26,568,325,105,2,206,0,0
"28045","Hancock County","Mississippi",46053,43112,37847,3957,293,429,9,577,2941,1918,44135,37341,3911,244,424,9,166,2040,227,0,0,198,0,0
"28047","Harrison County","Mississippi",208621,193162,128098,51706,1055,6008,275,6020,15459,13976,194645,125092,51143,786,5913,257,739,10715,4538,762,22,1236,0,2126
"28049","Hinds County","Mississippi",227742,222036,58644,158112,386,2186,47,2661,5706,4564,223178,58012,157483,332,2157,43,562,4589,8212,686,116,1689,5135,0
"28051","Holmes County","Mississippi",17000,16720,2378,14256,36,20,2,28,280,112,16888,2359,14194,36,20,0,14,265,886,336,0,123,427,0
"28053","Humphreys County","Mississippi",7785,7607,1438,6110,13,10,1,35,178,91,7694,1423,6072,13,10,0,8,168,71,21,0,50,0,0
"28055","Issaquena County","Mississippi",1338,1307,530,757,3,5,0,12,31,128,1210,440,748,1,5,0,1,15,493,493,0,0,0,0
