"grouping","within","from","to","est","ang0","ang1"
"division",TRUE,"New England","New England",127398,0,0.103381
"division",TRUE,"New England","Middle Atlantic",63566,0.103381,0.154963
"division",TRUE,"New England","East North Central",16812,0.154963,0.168606
"division",TRUE,"New England","West North Central",4485,0.168606,0.172245
"division",TRUE,"New England","South Atlantic",92983,0.172245,0.247699
"division",TRUE,"New England","East South Central",9289,0.247699,0.255237
"division",TRUE,"New England","West South Central",18448,0.255237,0.270207
"division",TRUE,"New England","Mountain",13155,0.270207,0.280882
"division",TRUE,"New England","Pacific",36559,0.280882,0.310549
"division",TRUE,"New England","Puerto Rico",2546,0.310549,0.312615
"division",TRUE,"Middle Atlantic","New England",83931,0.357615,0.425723
"division",TRUE,"Middle Atlantic","Middle Atlantic",209596,0.425723,0.595806
"division",TRUE,"Middle Atlantic","East North Central",68465,0.595806,0.651363
"division",TRUE,"Middle Atlantic","West North Central",21004,0.651363,0.668408
"division",TRUE,"Middle Atlantic","South Atlantic",307170,0.668408,0.917669
"division",TRUE,"Middle Atlantic","East South Central",26482,0.917669,0.939159
"division",TRUE,"Middle Atlantic","West South Central",62670,0.939159,0.990014
"division",TRUE,"Middle Atlantic","Mountain",35448,0.990014,1.01878
"division",TRUE,"Middle Atlantic","Pacific",66755,1.01878,1.07295
"division",TRUE,"Middle Atlantic","Puerto Rico",5322,1.07295,1.077269
"division",TRUE,"East North Central","New England",18600,1.122269,1.137362
"division",TRUE,"East North Central","Middle Atlantic",53704,1.137362,1.180942
"division",TRUE,"East North Central","East North Central",205429,1.180942,1.347643
"division",TRUE,"East North Central","West North Central",86156,1.347643,1.417557
"division",TRUE,"East North Central","South Atlantic",179787,1.417557,1.56345
"division",TRUE,"East North Central","East South Central",71657,1.56345,1.621598
"division",TRUE,"East North Central","West South Central",74764,1.621598,1.682267
"division",TRUE,"East North Central","Mountain",73564,1.682267,1.741963
"division",TRUE,"East North Central","Pacific",67210,1.741963,1.796502
"division",TRUE,"East North Central","Puerto Rico",2392,1.796502,1.798443
"division",TRUE,"West North Central","New England",7264,1.843443,1.849338
"division",TRUE,"West North Central","Middle Atlantic",18797,1.849338,1.864591
"division",TRUE,"West North Central","East North Central",85482,1.864591,1.933958
"division",TRUE,"West North Central","West North Central",132218,1.933958,2.04125
"division",TRUE,"West North Central","South Atlantic",69065,2.04125,2.097295
"division",TRUE,"West North Central","East South Central",18596,2.097295,2.112385
"division",TRUE,"West North Central","West South Central",69463,2.112385,2.168753
"division",TRUE,"West North Central","Mountain",58944,2.168753,2.216585
"division",TRUE,"West North Central","Pacific",33256,2.216585,2.243571
"division",TRUE,"West North Central","Puerto Rico",0,2.243571,2.243571
"division",TRUE,"South Atlantic","New England",64247,2.288571,2.340706
"division",TRUE,"South Atlantic","Middle Atlantic",186857,2.340706,2.492337
"division",TRUE,"South Atlantic","East North Central",158068,2.492337,2.620605
"division",TRUE,"South Atlantic","West North Central",54211,2.620605,2.664596
"division",TRUE,"South Atlantic","South Atlantic",671497,2.664596,3.209502
"division",TRUE,"South Atlantic","East South Central",132019,3.209502,3.316632
"division",TRUE,"South Atlantic","West South Central",161793,3.316632,3.447924
"division",TRUE,"South Atlantic","Mountain",98753,3.447924,3.52806
