"grouping","within","group","out_est","in_est","ang0","ang1","net"
"division",TRUE,"New England",385241,377932,0,0.312615,-7309
"division",TRUE,"Middle Atlantic",886843,674566,0.357615,1.077269,-212277
"division",TRUE,"East North Central",833263,790360,1.122269,1.798443,-42903
"division",TRUE,"West North Central",493085,488769,1.843443,2.243571,-4316
"division",TRUE,"South Atlantic",1661721,1901317,2.288571,3.637022,239596
"division",TRUE,"East South Central",389310,473482,3.682022,3.997938,84172
"division",TRUE,"West South Central",696509,801009,4.042938,4.60814,104500
"division",TRUE,"Mountain",735394,827891,4.65314,5.249897,92497
"division",TRUE,"Pacific",1070577,830562,5.294897,6.163647,-240015
"division",TRUE,"Puerto Rico",36401,22456,6.208647,6.238185,-13945
"division",FALSE,"New England",257843,250534,0,0.286331,-7309
"division",FALSE,"Middle Atlantic",677247,464970,0.331331,1.083404,-212277
"division",FALSE,"East North Central",627834,584931,1.128404,1.825605,-42903
"division",FALSE,"West North Central",360867,356551,1.870605,2.271343,-4316
"division",FALSE,"South Atlantic",990224,1229820,2.316343,3.415973,239596
"division",FALSE,"East South Central",310550,394722,3.460973,3.805834,84172
"division",FALSE,"West South Central",567088,671588,3.850834,4.480578,104500
"division",FALSE,"Mountain",570917,663414,4.525578,5.159573,92497
"division",FALSE,"Pacific",853851,613836,5.204573,6.152763,-240015
"division",FALSE,"Puerto Rico",36401,22456,6.197763,6.238185,-13945
"region",TRUE,"Northeast",1272084,1052498,0,1.072086,-219586
"region",TRUE,"Midwest",1326348,1279129,1.117086,2.234904,-47219
"region",TRUE,"South",2747540,3175808,2.279904,4.595473,428268
"region",TRUE,"West",1805971,1658453,4.640473,6.162507,-147518
"region",TRUE,"Puerto Rico",36401,22456,6.207507,6.238185,-13945
"region",FALSE,"Northeast",787593,568007,0,1.252346,-219586
"region",FALSE,"Midwest",817063,769844,1.297346,2.596552,-47219
"region",FALSE,"South",1184389,1612657,2.641552,4.52484,428268
"region",FALSE,"West",984511,836993,4.56984,6.135304,-147518
"region",FALSE,"Puerto Rico",36401,22456,6.180304,6.238185,-13945
