geoid,name,st,total,hispanic,nh_white,nh_black,nh_aian,nh_asian,nh_nhpi,nh_sor,nh_two,white_alone,black_alone,aian_alone,asian_alone,nhpi_alone,sor_alone,white_any,black_any,aian_any,asian_any,nhpi_any,sor_any,one_race,two_plus,entropy,largest
01001,Autauga,01,58805,2117,41582,11352,184,873,22,185,2490,42160,11445,217,881,35,910,45084,12266,1426,1360,115,1901,55648,3157,0.917769,White
01003,Baldwin,01,231767,12686,186495,18001,1291,2029,122,775,10368,189399,18217,1582,2067,143,5335,203968,20913,6961,3498,354,11773,216743,15024,0.764783,White
01005,Barbour,01,25223,1510,11086,11850,58,103,0,63,553,11317,11933,116,117,1,1039,11939,12261,362,152,13,1246,24523,700,1.01994,Black
01007,Bibb,01,22293,740,16442,4390,39,26,9,47,600,16555,4413,60,32,9,465,17275,4643,430,56,18,699,21534,759,0.789987,White
01009,Blount,01,59134,5771,49764,826,188,174,11,100,2300,50663,845,337,178,24,3431,54252,1250,1826,358,66,5194,55478,3656,0.606042,White
01011,Bullock,01,10357,503,2281,7388,1,9,7,31,137,2320,7396,72,9,10,302,2526,7492,138,28,18,434,10109,248,0.807664,Black
01013,Butler,01,19051,260,9679,8389,23,143,5,46,506,9752,8430,29,143,5,105,10263,8742,223,197,29,227,18464,587,0.921729,White
01015,Calhoun,01,116441,5010,79519,25365,386,1164,112,317,4568,80586,25559,487,1190,119,2471,86179,27445,2783,1753,233,4410,110412,6029,0.942563,White
01017,Chambers,01,34772,1237,18616,13441,71,385,11,115,896,18850,13512,106,401,13,680,19955,14009,518,483,39,1078,33562,1210,0.998814,White
01019,Cherokee,01,24971,400,22563,987,109,55,1,46,810,22707,987,109,56,1,191,23581,1219,604,98,25,403,24051,920,0.445958,White
01021,Chilton,01,45014,4418,34878,4040,112,176,5,121,1264,35527,4067,338,181,6,2892,37443,4537,1041,262,25,3791,43011,2003,0.795702,White
01023,Choctaw,01,12665,113,7039,5217,24,19,0,13,240,7074,5232,30,22,0,47,7288,5358,139,45,6,107,12405,260,0.837754,White
01025,Clarke,01,23087,206,11970,10223,74,91,1,37,485,12029,10255,74,94,1,82,12516,10514,295,141,13,205,22535,552,0.875525,White
01027,Clay,01,14236,449,11261,1942,45,46,4,26,463,11375,1963,56,48,4,195,11928,2204,294,83,21,378,13641,595,0.728161,White
01029,Cleburne,01,15056,284,13740,457,42,21,2,16,494,13819,466,53,21,2,129,14372,556,416,53,17,252,14490,566,0.410602,White
01031,Coffee,01,53465,4887,35759,8643,405,892,57,195,2627,37080,8760,640,909,61,1908,40821,9834,2045,1460,186,3493,49358,4107,1.06339,White
01033,Colbert,01,57227,1732,43241,9222,223,432,9,135,2233,43631,9286,270,432,9,902,46163,10135,1470,571,32,1638,54530,2697,0.812495,White
01035,Conecuh,01,11597,256,5835,5096,71,33,0,16,290,5912,5104,72,40,1,99,6224,5236,245,72,20,213,11228,369,0.940314,White
01037,Coosa,01,10387,201,6807,3000,25,8,0,47,299,6824,3008,31,8,0,162,7137,3168,203,25,13,260,10033,354,0.858578,White
