geoid,name,total,hispanic,nh_white,nh_black,nh_aian,nh_asian,nh_nhpi,nh_sor,nh_two,white_alone,black_alone,aian_alone,asian_alone,nhpi_alone,sor_alone,white_any,black_any,aian_any,asian_any,nhpi_any,sor_any,one_race,two_plus,entropy
35620,"New York-Newark-Jersey City, NY-NJ-PA",20140470,5067627,8712176,2998607,33078,2488759,5296,213861,621066,9372521,3237789,151374,2509372,10534,2849324,10950142,3786301,351127,2770869,40749,4399990,18130914,2009556,1.41987
31080,"Los Angeles-Long Beach-Anaheim, CA",13200998,5891597,3762264,809993,23751,2173361,28236,73501,438295,4642684,848206,201786,2206797,33557,3332719,6418853,1026898,416493,2490301,78123,4835891,11265749,1935249,1.35255
16980,"Chicago-Naperville-Elgin, IL-IN-WI",9618502,2239376,4825000,1545811,10670,678669,2014,35395,281567,5197611,1576952,87573,685894,3424,1084012,6108811,1708238,216992,788226,12610,1821492,8635466,983036,1.29959
19100,"Dallas-Fort Worth-Arlington, TX",7637387,2235234,3266374,1196881,25958,601218,8121,30254,273347,3732436,1220934,74011,606605,9386,928751,4739457,1339635,223723,685493,20003,1742374,6572123,1065264,1.3811
26420,"Houston-The Woodlands-Sugar Land, TX",7122240,2669503,2399789,1209074,14383,588227,4491,33633,203140,2950362,1237934,73424,594858,5769,1139060,4001797,1345769,186678,663025,14700,2076299,6001407,1120833,1.38529
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",6385162,1094950,2703319,1535923,11083,694753,3746,40572,300816,2844091,1562340,40077,699566,4609,591072,3409871,1721033,133890,830394,15117,971105,5741755,643407,1.44183
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",6245051,636151,3690540,1234464,8036,411368,1743,32793,229956,3793090,1273120,18986,414000,2395,320756,4162900,1407943,92378,476889,9305,552080,5822347,422704,1.20314
33100,"Miami-Fort Lauderdale-Pompano Beach, FL",6138333,2815574,1785506,1152098,6042,159068,1575,46822,171648,2428749,1194334,26147,164186,2227,598061,4064863,1336785,70430,210971,8641,2213455,4413704,1724629,1.2715
12060,"Atlanta-Sandy Springs-Alpharetta, GA",6089815,730470,2661835,2019208,10562,397009,2386,39254,229091,2773249,2048212,30425,399211,3031,365514,3180376,2186815,119190,456359,9119,641240,5619642,470173,1.33016
14460,"Boston-Cambridge-Newton, MA-NH",4941632,580852,3292281,339635,5433,426194,1121,67633,228483,3378922,364054,14862,428527,1544,340319,3714500,485022,58656,486837,6872,629369,4528228,413404,1.12786
38060,"Phoenix-Mesa-Chandler, AZ",4845832,1472948,2597577,265951,85509,204200,10660,22351,186636,2914770,282437,121773,210414,12185,648602,3535029,364035,206887,279356,27329,1125171,4190181,655651,1.22391
41860,"San Francisco-Oakland-Berkeley, CA",4749008,1086206,1718055,323385,9830,1293209,31470,33033,253820,1866480,335135,48985,1306262,33644,604026,2360485,416475,127166,1478207,61682,916407,4194532,554476,1.47958
40140,"Riverside-San Bernardino-Ontario, CA",4599839,2373208,1354348,320084,20372,341093,12940,24482,153312,1778318,341035,85471,353530,15577,1258383,2487022,421135,182049,433546,34282,1859883,3832314,767525,1.26157
19820,"Detroit-Warren-Dearborn, MI",4392041,219953,2799533,952462,9617,211344,953,17403,180776,2851199,961076,14481,212234,1137,88677,3095078,1034688,83425,251313,4369,203345,4128804,263237,1.08294
42660,"Seattle-Tacoma-Bellevue, WA",4018762,450476,2328818,239282,29445,612509,42432,23903,291897,2415355,246767,42655,617399,43882,211329,2820181,336123,130373,758367,73308,386357,3577387,441375,1.32119
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",3690261,242621,2648247,333171,20136,264240,1172,15635,165039,2692366,337652,28161,265575,1365,122165,2918934,404733,82804,311848,5797,227013,3447284,242977,1.01608
41740,"San Diego-Chula Vista-Carlsbad, CA",3298634,1119629,1422205,145014,12841,400589,12991,18125,167240,1633129,155813,40968,410752,15286,520994,2118169,211886,101050,516944,35912,876840,2776942,521692,1.34605
45300,"Tampa-St. Petersburg-Clearwater, FL",3175275,652022,1888689,357018,6700,122602,2105,18129,128010,2045966,375855,13821,124691,2499,196803,2433607,447006,63478,158646,7138,503734,2759635,415640,1.18225
19740,"Denver-Aurora-Lakewood, CO",2963821,691711,1814213,157965,13639,134683,4657,14674,132279,1977329,166100,35716,137450,5247,261444,2338397,212912,100416,185340,11922,520084,2583286,380535,1.13674
