geoid,name,region,division,st,total,hispanic,nh_white,nh_black,nh_aian,nh_asian,nh_nhpi,nh_sor,nh_two,white_alone,black_alone,aian_alone,asian_alone,nhpi_alone,sor_alone,white_any,black_any,aian_any,asian_any,nhpi_any,sor_any,one_race,two_plus,entropy,largest
01,Alabama,3,6,01,5024279,264047,3171351,1288159,23119,75918,2612,14455,184618,3220452,1296162,33625,76660,2984,137443,3458850,1364736,131030,102777,7479,231432,4767326,256953,1.02448,White
02,Alaska,4,9,02,733391,49824,421758,20731,108838,43449,12455,4575,71761,435392,21898,111575,44032,12698,18272,516525,35454,160287,61460,18668,39879,643867,89524,1.38053,White
04,Arizona,4,8,04,7151502,2192253,3816547,317161,263930,248837,14323,31611,266840,4322337,339150,319512,257430,16397,899870,5271038,446394,453560,351132,37212,1641856,6154696,996806,1.23349,White
05,Arkansas,3,7,05,3011524,256847,2063550,449884,20549,51210,14280,8047,147157,2114512,453783,27177,51839,14533,136105,2317826,495968,115614,68558,17874,220506,2797949,213575,1.04502,White
06,California,4,9,06,39538223,15579652,13714587,2119286,156085,5978795,138167,223929,1627722,16296122,2237044,631016,6085947,157263,8370596,21597610,2825293,1409609,7045163,337617,12507532,33777988,5760235,1.37899,Hispanic
08,Colorado,4,8,08,5773714,1263390,3760663,221310,33768,195220,9005,29560,260798,4082927,234828,74129,199827,10287,464046,4757752,318179,207787,285784,24714,933620,5066044,707670,1.05834,White
09,Connecticut,1,1,09,3605944,623293,2279232,360937,6404,170459,974,27076,137569,2395128,388675,16051,172455,1598,299133,2692022,467416,60910,205693,5971,529540,3273040,332904,1.14283,White
10,Delaware,3,5,10,989948,104290,579851,212960,2521,42398,304,4601,43023,597763,218899,5148,42699,412,48509,665198,244944,21392,50969,1547,88094,913430,76518,1.19481,White
11,District of Columbia,3,5,11,689545,77652,261771,282066,1277,33192,349,3753,29485,273194,285810,3193,33545,432,37294,319816,304543,11661,45465,1494,68300,633468,56077,1.30396,Black
12,Florida,3,5,12,21538187,5697240,11100503,3127052,42169,629626,11521,137933,792143,12422961,3246381,94795,643682,14014,1564282,15758296,3703952,384485,843005,44454,4499196,17986115,3552072,1.24688,White
13,Georgia,3,5,13,10711908,1123457,5362156,3278119,20375,475680,6101,55887,390133,5555483,3320513,50618,479028,7299,555059,6212741,3538146,214041,565644,19020,958258,9968000,743908,1.24779,White
15,Hawaii,4,9,15,1455271,138923,314365,21877,2321,531558,149054,5283,291890,333261,23417,4370,541902,157445,26747,609215,46783,41528,824143,394102,63917,1087142,368129,1.57253,Asian
16,Idaho,4,8,16,1839106,239407,1450523,14785,18903,26036,3401,8243,77808,1510360,15726,25621,26836,3726,103632,1659230,27645,65552,47513,9293,191770,1685901,153205,0.768403,White
17,Illinois,2,3,17,12812508,2337410,7472751,1775612,16561,747280,2959,45080,414855,7868227,1808271,96498,754878,4501,1135149,8934277,1992213,280985,875488,16842,1922399,11667524,1144984,1.20594,White
18,Indiana,2,3,18,6785528,554191,5121004,637500,12938,166651,2761,25139,265344,5241795,648513,26086,167959,3137,261312,5653387,760017,139443,212649,12015,469005,6348802,436726,0.892835,White
19,Iowa,2,4,19,3190369,215986,2638201,129321,9079,75017,5605,8487,108673,2694521,131972,14486,75629,5758,88720,2865585,172988,55958,96861,10073,177619,3011086,179283,0.716277,White
20,Kansas,2,4,20,2937880,382603,2122575,163352,21921,85225,3115,10064,149025,2222462,168809,30995,86273,3412,145422,2490266,223275,111305,112195,7890,289643,2657373,280507,0.978162,White
21,Kentucky,3,6,21,4505836,207854,3664764,357764,8080,73843,3462,14706,175363,3711254,362417,12801,74426,3681,96417,3942244,436059,91206,98763,8449,187727,4260996,244840,0.740345,White
22,Louisiana,3,7,22,4657757,322549,2596702,1452420,25994,85336,1706,16954,156096,2657652,1464023,31657,86438,1911,142699,2903192,1543119,103128,111836,6100,284532,4384380,273377,1.1134,White
23,Maine,1,1,23,1362359,26609,1228264,25115,7293,16668,407,4430,53573,1237041,25752,7885,16798,443,9730,1299963,36304,33502,25473,1619,33667,1297649,64710,0.474082,White
24,Maryland,3,5,24,6177224,729745,2913782,1795027,12055,417962,2575,35314,270764,3007874,1820472,31845,420944,3247,410941,3421858,1977453,128650,502173,11440,660179,5695323,481901,1.33015,White
25,Massachusetts,1,1,25,7029917,887685,4748897,457055,9387,504900,1607,92108,328278,4896037,494029,24018,507934,2301,496731,5399122,669866,94040,582484,10436,924832,6421050,608867,1.10376,White
26,Michigan,2,3,26,10077331,564422,7295651,1358458,47406,332288,2603,37183,439320,7444974,1376579,61261,334300,3051,221851,8044575,1544122,246458,411928,11255,493268,9442016,635315,0.962516,White
27,Minnesota,2,4,27,5706494,345640,4353880,392850,57046,297460,2621,20963,236034,4423146,398434,68641,299190,2918,168444,4748348,483646,157651,357704,9387,319261,5360773,345721,0.916372,White
28,Mississippi,3,6,28,2961279,105220,1639077,1079001,14019,32305,1037,7174,83446,1658893,1084481,16450,32709,1154,56860,1759356,1123613,53729,44931,3235,94951,2850547,110732,1.00642,White
29,Missouri,2,4,29,6154913,303068,4663907,692774,23496,132158,9293,22377,307840,4740335,699840,30518,133377,9730,127942,5132279,798623,183435,179336,17870,281024,5741742,413171,0.888096,White
30,Montana,4,8,30,1084225,45199,901318,5077,64592,8077,839,4374,54749,916524,5484,67612,8300,941,14089,985660,12737,100578,16889,3101,40625,1012950,71275,0.694265,White
31,Nebraska,2,4,31,1961504,234715,1484687,94405,15051,52359,1318,6335,72634,1538052,96535,23102,52951,1534,105167,1674853,124773,55260,69006,4069,186265,1817341,144163,0.890445,White
32,Nevada,4,8,32,3104614,890257,1425952,291960,23392,265991,22970,17171,166921,1588463,304739,43932,272703,25011,435757,1981814,375198,105790,353593,52532,707236,2670605,434009,1.40743,White
33,New Hampshire,1,1,33,1377529,59454,1200649,18655,2299,35604,388,5916,54564,1216203,20127,3031,35871,453,24102,1290770,32998,25468,46861,1792,61716,1299787,77742,0.572441,White
34,New Jersey,1,2,34,9288994,2002575,4816381,1154142,11206,942921,1944,70354,289471,5112280,1219770,51186,950090,3533,1048641,5897538,1413772,147877,1046732,14621,1731120,8385500,903494,1.31763,White
35,New Mexico,4,8,35,2117522,1010811,772952,38330,188610,35261,1451,10340,59767,1078937,45904,212241,37469,2093,318632,1485973,68409,263615,55997,6012,678288,1695276,422246,1.20876,Hispanic
36,New York,1,2,36,20201249,3948032,10598907,2759022,54908,1916329,6097,197107,720847,11143349,2986172,149690,1933127,10815,2210633,12534037,3533873,399803,2173719,40578,3425555,18433786,1767463,1.33541,White
37,North Carolina,3,5,37,10439388,1118596,6312148,2107526,100886,340059,6980,46340,406853,6488459,2140217,130032,343051,8518,617390,7128036,2344553,318279,425449,20957,967035,9727667,711721,1.17833,White
38,North Dakota,2,4,38,779094,33412,636160,26152,37350,13050,869,1853,30248,645938,26783,38914,13213,924,11382,685762,34499,55777,18675,2086,26754,737154,41940,0.776699,White
39,Ohio,2,3,39,11799448,521308,8954135,1457180,18949,296604,4493,45217,501562,9080688,1478781,30720,298509,5034,224344,9717936,1704492,234389,377303,15181,479550,11118076,681372,0.867001,White
40,Oklahoma,3,7,40,3959353,471931,2407188,283242,311890,89653,8168,13602,373679,2514885,289961,332791,90949,8608,214001,2991001,382698,633831,123614,15026,355151,3451195,508158,1.28572,White
41,Oregon,4,9,41,4237256,588757,3036158,78658,42042,191797,18197,22962,258685,3169096,82655,62993,194538,19204,265431,3593558,134692,185726,275296,39709,485479,3793917,443339,0.995335,White
42,Pennsylvania,1,2,42,13002700,1049615,9553417,1368978,15028,506674,3162,54541,451285,9750687,1423169,31052,510501,4276,508531,10451170,1655034,189164,603726,16532,916633,12228216,774484,0.942541,White
44,Rhode Island,1,1,44,1097379,182101,754050,55386,3513,38367,320,11392,52250,782920,62168,7385,38961,536,103615,860658,99925,23357,48450,2331,174122,995585,101794,1.037,White
45,South Carolina,3,5,45,5118425,352838,3178552,1269031,16591,89394,3085,19354,189580,3243442,1280531,24303,90466,3431,177876,3516966,1370528,108111,123666,8737,308895,4820049,298376,1.0629,White
46,South Dakota,2,4,46,886667,38741,705583,17441,74595,13332,493,2050,34432,715336,17842,77748,13476,543,15057,759608,26307,98842,18489,1642,31212,840002,46665,0.811565,White
47,Tennessee,3,6,47,6910840,479187,4900246,1083772,15539,134302,3594,23977,270223,4990938,1092948,28044,135615,4115,246282,5379080,1196114,161436,178683,11008,420960,6497942,412898,0.95999,White
48,Texas,3,7,48,29145505,11441717,11584597,3444712,85425,1561518,27857,113584,886095,14609365,3552997,278948,1585480,33611,3951366,19528528,3964700,794062,1849226,77196,8251332,24011767,5133738,1.29454,White
