st,part,x,y
54,1,1208.4,1850.7
54,1,1235.1,1914.8
54,1,1256.4,1916.2
54,1,1280.8,1946.6
54,1,1291.8,2027.5
54,1,1281.3,2055.9
54,1,1292.7,2064.1
54,1,1309.3,1962.6
54,1,1396.6,1977.4
54,1,1405.7,1920.4
54,1,1456.8,1979.7
54,1,1484.8,1970.1
54,1,1505.8,1994.5
54,1,1536.3,1989.8
54,1,1552,1960.7
54,1,1546.9,1938.1
54,1,1496.3,1966.5
54,1,1497.7,1932.7
54,1,1466.7,1880.9
54,1,1454,1888.1
54,1,1438.4,1836.5
54,1,1403.9,1850.2
54,1,1368.5,1721
54,1,1254.5,1668
54,1,1230.1,1682.4
54,1,1225.9,1701.1
54,1,1192.4,1712.6
54,1,1155.2,1762.7
54,1,1155.6,1791.8
54,1,1177.8,1797.5
54,1,1188.3,1817.1
54,1,1189.6,1859.3
54,1,1196.1,1866.3
54,1,1208.4,1850.7
12,1,921.2,841.1
12,1,815.2,819.7
12,1,826.6,855.4
12,1,798.9,915.5
12,1,1044.8,941.1
12,1,1061.6,910.7
12,1,1314.9,928
12,1,1323.3,905.5
12,1,1334.9,908.9
12,1,1335.7,960.2
12,1,1394.6,956.2
12,1,1426.1,854.1
12,1,1510.1,738.4
12,1,1521.9,680.9
12,1,1596.8,549.8
12,1,1609,404.7
12,1,1582.2,343.9
12,1,1465.3,266.5
12,1,1440.5,259.2
12,1,1398.9,273.4
12,1,1409.3,292
12,1,1509.8,332.4
12,1,1474.2,391.8
12,1,1424.6,415.6
12,1,1404.2,462.6
12,1,1371,470.2
12,1,1296.7,580.2
12,1,1279.1,622
12,1,1286.2,700.7
12,1,1270,741.9
12,1,1245.1,742
12,1,1177.5,821.9
12,1,1148.1,834.9
12,1,1057.7,767.9
12,1,1020.6,774.5
12,1,990.6,815.9
12,1,921.2,841.1
12,2,1318.7,267.2
12,2,1340.6,288.8
12,2,1366,276.6
12,2,1330.5,263.8
12,2,1332.1,252.2
12,2,1318.7,267.2
17,1,385.6,1958.1
17,1,421.3,2005
17,1,410.8,2056.1
17,1,458.5,2071
17,1,479.7,2104.3
17,1,479.1,2138.7
17,1,437.3,2180.1
17,1,732.5,2200.7
17,1,724.7,2117.7
17,1,698.8,2115.2
17,1,722.2,1846.1
17,1,713.4,1821.5
17,1,731.3,1778.6
17,1,693.6,1720.9
17,1,684.3,1652.6
17,1,694.1,1634.5
17,1,659.7,1621.4
17,1,663.2,1585.3
17,1,617.3,1599.4
17,1,604.8,1570.4
17,1,583.1,1575.4
17,1,566.1,1647.4
17,1,489.5,1701.1
17,1,506.2,1773.1
17,1,477,1785.2
17,1,461.7,1775.4
17,1,450.4,1816.1
17,1,385.9,1881.8
17,1,385.6,1958.1
27,1,-43.6,2551
27,1,-91,2888.9
27,1,62.7,2888.4
27,1,62.3,2930.7
27,1,76.8,2929.3
27,1,100.8,2860.8
27,1,160.6,2849.4
27,1,164.7,2837
27,1,226.9,2851.4
27,1,251,2842.4
27,1,245.5,2833.4
27,1,264.9,2828.7
27,1,272.2,2807.6
27,1,295.1,2823.9
27,1,333.2,2790.8
27,1,383.2,2815.6
27,1,394.2,2799.1
27,1,489.9,2796.5
27,1,459.4,2714.5
27,1,406.3,2713.4
27,1,284.7,2636.5
27,1,287.1,2570.7
27,1,243.9,2529.5
27,1,262.3,2499.3
27,1,252.2,2422.2
27,1,364.9,2342.7
27,1,384.8,2288.3
27,1,-36.5,2278.7
27,1,-35.5,2479.3
27,1,-66.9,2513.3
27,1,-43.6,2551
24,1,1576,1953.8
24,1,1548.4,1961.6
24,1,1536,1990
24,1,1505.8,1994.5
24,1,1484.8,1970.1
24,1,1456.8,1979.7
24,1,1407,1920.2
24,1,1396.6,1977.4
24,1,1704,2037.7
24,1,1741.9,1901.2
24,1,1801.8,1913.5
24,1,1797,1863.7
24,1,1709.3,1828.5
24,1,1671.9,1850.7
24,1,1641.4,1851.3
24,1,1629.2,1870.8
24,1,1610.7,1859.9
24,1,1607.6,1888.5
24,1,1629.4,1927.1
24,1,1579,1937.8
24,1,1576,1953.8
44,1,1980.4,2285.5
44,1,1969.2,2363.9
44,1,2002.2,2373.8
44,1,2042.5,2316.5
44,1,1990.6,2284.4
44,1,1993.1,2274.9
44,1,1980.4,2285.5
44,2,2002.9,2274.5
44,2,2004,2288.1
44,2,2010.7,2291.3
44,2,2018.5,2273.8
44,2,2002.9,2274.5
16,1,-1673.8,2566.3
16,1,-1584.3,2685.3
16,1,-1607.5,2723.7
16,1,-1612,2775.5
16,1,-1545.6,3059.9
16,1,-1474.4,3044.4
16,1,-1498,2934.2
16,1,-1480.3,2898.7
16,1,-1478.3,2873.9
16,1,-1489.2,2869.9
16,1,-1460.3,2845
16,1,-1431.2,2775.9
16,1,-1398.7,2763.9
16,1,-1440.5,2648.9
16,1,-1424.6,2634.7
16,1,-1389.4,2654.4
16,1,-1369.5,2556.9
16,1,-1346.2,2542.1
16,1,-1332.8,2492.9
16,1,-1324.6,2505.6
16,1,-1294.5,2496.1
16,1,-1284.4,2508
16,1,-1220.9,2494
16,1,-1210.6,2516.6
16,1,-1189.3,2481.5
16,1,-1232.6,2208.9
16,1,-1715.7,2301.5
16,1,-1671.3,2501.1
16,1,-1652.4,2534.8
16,1,-1673.8,2566.3
33,1,1885.3,2442.4
33,1,1886.2,2609.2
33,1,1916.1,2637.9
33,1,1905.5,2719.8
33,1,1930.8,2734.3
33,1,1994,2529.1
33,1,2039.6,2487.9
33,1,1989.6,2448.9
33,1,1897,2428.4
33,1,1885.3,2442.4
37,1,1197.6,1518.4
37,1,1241.3,1543.6
37,1,1266.5,1571.7
37,1,1264.8,1600.1
37,1,1778.3,1690.2
37,1,1838.5,1569.9
37,1,1837.9,1546.6
37,1,1794.7,1516.7
37,1,1762.8,1456.8
37,1,1725.1,1459.6
37,1,1675.9,1421.2
37,1,1649.1,1344.3
37,1,1630.4,1353.2
37,1,1599.5,1341.8
