id,part,x,y
detroit,1,-2.75,17.463
detroit,1,12.435,18.467
detroit,1,12.884,18.447
detroit,1,15.64,18.592
detroit,1,23.667,19.17
detroit,1,25.704,19.282
detroit,1,24.896,17.713
detroit,1,24.962,17.704
detroit,1,24.935,17.652
detroit,1,28.368,15.912
detroit,1,28.32,15.51
detroit,1,27.972,14.358
detroit,1,27.766,13.727
detroit,1,27.536,13.245
detroit,1,26.425,12.591
detroit,1,26.092,12.462
detroit,1,25.517,12.301
detroit,1,25.5,12.247
detroit,1,26.961,9.539
detroit,1,26.913,9.511
detroit,1,27.135,9.096
detroit,1,27.116,9.086
detroit,1,27.52,8.446
detroit,1,25.775,7.857
detroit,1,24.63,6.997
detroit,1,22.236,6.072
detroit,1,20.192,5.87
detroit,1,19.787,5.777
detroit,1,19.2,5.567
detroit,1,16.167,4.12
detroit,1,15.384,3.435
detroit,1,14.999,3.158
detroit,1,14.855,2.998
detroit,1,13.466,1.006
detroit,1,13.29,0.669
detroit,1,12.587,0.907
detroit,1,12.063,1.013
detroit,1,11.905,1.009
detroit,1,11.771,0.953
detroit,1,11.686,0.876
detroit,1,11.64,0.707
detroit,1,11.729,0.236
detroit,1,11.852,-0.079
detroit,1,11.844,-0.185
detroit,1,11.763,-0.224
detroit,1,11.505,-0.2
detroit,1,10.814,-0.038
detroit,1,10.363,0.129
detroit,1,10.308,0.088
detroit,1,10.21,0.129
detroit,1,8.376,-3.026
detroit,1,8.184,-2.758
detroit,1,7.915,-2.517
detroit,1,7.868,-2.279
detroit,1,7.754,-2.052
detroit,1,7.61,-1.983
detroit,1,8.267,-0.875
detroit,1,8.518,-0.367
detroit,1,8.212,-0.001
detroit,1,8,0.486
detroit,1,7.75,0.799
detroit,1,7.896,0.858
detroit,1,8.18,1.06
detroit,1,8.461,1.095
detroit,1,8.502,1.16
detroit,1,8.459,1.329
detroit,1,8.496,1.423
detroit,1,8.835,1.513
detroit,1,8.985,1.585
detroit,1,9.127,1.54
detroit,1,9.223,1.276
detroit,1,9.311,1.189
detroit,1,9.366,1.187
detroit,1,9.635,1.332
detroit,1,9.652,1.398
detroit,1,9.745,1.405
detroit,1,9.83,1.523
detroit,1,9.906,1.781
detroit,1,9.912,1.926
detroit,1,9.797,2.268
detroit,1,9.714,2.656
detroit,1,9.734,2.702
detroit,1,9.86,2.771
detroit,1,9.853,2.88
detroit,1,9.932,2.994
detroit,1,9.835,3.251
detroit,1,8.747,5.112
detroit,1,8.475,5.009
detroit,1,8.403,6.086
detroit,1,8.612,6.124
detroit,1,8.782,6.214
detroit,1,8.896,6.315
detroit,1,8.983,6.476
detroit,1,9.043,6.915
detroit,1,9.078,6.968
detroit,1,9.131,7.551
detroit,1,9.108,7.772
detroit,1,5.088,7.522
detroit,1,5.199,5.92
detroit,1,3.827,5.847
detroit,1,3.74,5.799
detroit,1,3.594,5.833
detroit,1,3.626,5.035
detroit,1,2.848,4.975
detroit,1,2.814,4.993
detroit,1,2.578,5.407
detroit,1,2.006,5.08
detroit,1,1.974,5.746
detroit,1,1.772,5.728
detroit,1,1.722,6.543
detroit,1,1.239,6.512
detroit,1,0.41,6.365
detroit,1,-0.43,6.317
detroit,1,-0.618,8.018
detroit,1,-0.646,8.016
detroit,1,-0.78,10.428
detroit,1,-1.465,10.385
detroit,1,-1.647,13.565
detroit,1,-2.511,13.506
detroit,1,-2.75,17.463
