"hub","dir","other","est","moe","sig","x0","y0","cx","cy","x1","y1"
"California","in","Delaware",149,144,TRUE,818.6,388.9,490.9,220.2,137.1,324.1
"California","in","Vermont",403,280,TRUE,836,491.3,520,267.9,137.1,324.1
"California","in","North Dakota",466,441,TRUE,462,516.5,338.1,355.3,137.1,324.1
"California","in","South Dakota",697,388,TRUE,467.1,449.5,327.2,320.8,137.1,324.1
"California","in","New Hampshire",700,329,TRUE,859.8,477.7,529.2,256.3,137.1,324.1
"California","in","Kentucky",919,791,TRUE,675.8,334.8,408.6,221.7,137.1,324.1
"California","in","Wyoming",1036,585,TRUE,349.3,432.2,264.8,335.7,137.1,324.1
"California","in","West Virginia",1037,729,TRUE,743.5,364.2,448.3,222.8,137.1,324.1
"California","in","Iowa",1147,543,TRUE,552.4,408.5,361.6,283.2,137.1,324.1
"California","in","Alabama",1440,735,TRUE,662.1,235.9,382,175,137.1,324.1
"California","in","Rhode Island",1458,1002,TRUE,867,450.7,527.4,241.4,137.1,324.1
"California","in","Puerto Rico",1572,665,TRUE,442.6,55.3,236.1,128.6,137.1,324.1
"California","in","Nebraska",1615,1020,TRUE,490.6,392.5,327.6,287.6,137.1,324.1
"California","in","Mississippi",1778,1348,TRUE,616.1,223.3,356.5,177.9,137.1,324.1
"California","in","Maine",1860,1028,TRUE,877.3,505.7,543.5,266.8,137.1,324.1
"California","in","Kansas",1924,854,TRUE,502.5,338.3,322.7,258.1,137.1,324.1
"California","in","District of Columbia",2128,808,TRUE,798.4,376,478.2,217.8,137.1,324.1
"California","in","Arkansas",2462,1049,TRUE,561.8,273.2,339.3,213.7,137.1,324.1
"California","in","Montana",2531,925,TRUE,299.8,521,257.9,390,137.1,324.1
"California","in","Oklahoma",2694,1455,TRUE,495.1,280.6,307.4,230.7,137.1,324.1
"California","in","New Mexico",2695,1031,TRUE,341.1,269.5,228.2,256,137.1,324.1
"California","in","Alaska",3022,1823,TRUE,158.5,96.8,102.4,206.2,137.1,324.1
"California","in","Minnesota",3533,1394,TRUE,543.1,473.3,369.9,317.5,137.1,324.1
"California","in","Wisconsin",4050,1636,TRUE,608.6,447.3,397.5,291.4,137.1,324.1
"California","in","Louisiana",4078,1478,TRUE,586.1,183.9,333.6,164.2,137.1,324.1
"California","in","Connecticut",4853,1483,TRUE,847.9,440.3,515.8,240,137.1,324.1
"California","in","Missouri",5144,1672,TRUE,567,338.5,354.9,245.3,137.1,324.1
"California","in","Michigan",5317,1632,TRUE,679.5,437,430.9,272.1,137.1,324.1
"California","in","Ohio",6471,2777,TRUE,706.7,391.5,435.4,243.9,137.1,324.1
"California","in","Idaho",6509,1562,TRUE,237,481.1,218.5,382.6,137.1,324.1
"California","in","Georgia",6863,2164,TRUE,708.3,249.1,407.7,172.3,137.1,324.1
"California","in","South Carolina",6955,1938,TRUE,753.7,268,434.2,172.7,137.1,324.1
"California","in","Indiana",7654,3693,TRUE,655.7,379.3,407.5,248,137.1,324.1
"California","in","Tennessee",7972,3477,TRUE,663.3,292.7,393.9,203.1,137.1,324.1
"California","in","Utah",8564,2267,TRUE,270,396.7,218.1,333.8,137.1,324.1
"California","in","North Carolina",8873,2194,TRUE,769.9,301.6,449,186.3,137.1,324.1
"California","in","Maryland",8901,2151,TRUE,800.7,381.1,480.3,219.9,137.1,324.1
"California","in","Pennsylvania",9266,2532,TRUE,793,406.4,481.5,234,137.1,324.1
"California","in","New Jersey",9653,2769,TRUE,830.4,414.3,501.8,230.6,137.1,324.1
"California","in","Hawaii",9923,2644,TRUE,303.1,71,169.5,164.3,137.1,324.1
"California","in","Massachusetts",15720,3343,TRUE,865.8,461.1,528.9,246.8,137.1,324.1
"California","in","Colorado",15781,3397,TRUE,369.2,366.3,261.6,298.8,137.1,324.1
"California","in","Florida",15988,3031,TRUE,761.9,144.3,413.6,109.2,137.1,324.1
"California","in","Oregon",17954,4037,TRUE,138.2,516.4,176.1,420,137.1,324.1
