"year","female","male","total"
1880,90994,110490,201484
1881,91953,100735,192688
1882,107847,113686,221533
1883,112320,104625,216945
1884,129019,114441,243460
1885,133055,107799,240854
1886,144533,110783,255316
1887,145981,101410,247391
1888,178622,120852,299474
1889,178366,110580,288946
1890,190377,111024,301401
1891,185482,101191,286673
1892,212339,122035,334374
1893,212905,112318,325223
1894,222922,115768,338690
1895,233627,117393,351020
1896,237918,119565,357483
1897,234200,112757,346957
1898,258769,122685,381454
1899,233022,106211,339233
1900,299784,150474,450258
1901,239345,106467,345812
1902,264073,122660,386733
1903,261970,119230,381200
1904,275362,128122,403484
1905,291617,132306,423923
1906,295297,133154,428451
1907,318564,146826,465390
1908,334312,154336,488648
1909,347228,163996,511224
1910,396503,194208,590711
1911,418309,225970,644279
1912,558119,429942,988061
1913,624546,512566,1137112
1914,761581,654762,1416343
1915,983852,848575,1832427
1916,1044334,890080,1934414
1917,1081267,925482,2006749
1918,1157631,1013480,2171111
1919,1130117,980122,2110239
1920,1198289,1064356,2262645
1921,1233058,1101449,2334507
1922,1201003,1088154,2289157
1923,1206366,1096102,2302468
1924,1248872,1132742,2381614
1925,1217384,1115919,2333303
1926,1185401,1110505,2295906
1927,1192431,1126915,2319346
1928,1153318,1107613,2260931
1929,1116561,1075615,2192176
1930,1125927,1097378,2223305
1931,1064728,1039665,2104393
1932,1067148,1044157,2111305
1933,1007932,991524,1999456
1934,1044225,1032596,2076821
1935,1048577,1041351,2089928
1936,1040390,1037205,2077595
1937,1064033,1066659,2130692
1938,1103456,1109147,2212603
1939,1096612,1106852,2203464
1940,1143528,1159172,2302700
1941,1208119,1228318,2436437
1942,1350719,1381161,2731880
1943,1395293,1427297,2822590
1944,1327223,1362875,2690098
1945,1307090,1345855,2652945
1946,1571305,1624023,3195328
1947,1772766,1829599,3602365
1948,1697908,1754618,3452526
1949,1710877,1773939,3484816
1950,1713054,1790262,3503316
1951,1800859,1882837,3683696
1952,1854335,1943633,3797968
1953,1881301,1972299,3853600
1954,1941915,2038751,3980666
1955,1955277,2059889,4015166
1956,2007703,2115302,4123005
1957,2044851,2157236,4202087
1958,2011619,2122409,4134028
1959,2023462,2134518,4157980
1960,2021941,2132320,4154261
1961,2018495,2124195,4142690
1962,1966603,2068772,4035375
1963,1927507,2031078,3958585
1964,1894855,1992698,3887553
1965,1765164,1860143,3625307
1966,1692177,1783461,3475638
1967,1651025,1743811,3394836
1968,1640389,1737974,3378363
1969,1687016,1788174,3475190
1970,1748144,1858229,3606373
1971,1663823,1768447,3432270
1972,1521244,1621608,3142852
1973,1458209,1558576,3016785
1974,1467534,1572334,3039868
1975,1457861,1561357,3019218
1976,1465099,1569007,3034106
1977,1533146,1643220,3176366
1978,1531859,1641837,3173696
1979,1605268,1721536,3326804
1980,1660307,1783951,3444258
1981,1668060,1791177,3459237
1982,1693325,1814447,3507772
1983,1670609,1792564,3463173
1984,1683817,1804848,3488665
1985,1720828,1848210,3569038
1986,1715547,1841515,3557062
1987,1738632,1866984,3605616
1988,1780854,1914283,3695137
1989,1843552,2000928,3844480
1990,1898547,2054038,3952585
1991,1875007,2020328,3895335
1992,1843931,1997409,3841340
1993,1809072,1961328,3770400
1994,1785753,1932031,3717784
1995,1758548,1903701,3662249
1996,1753007,1894300,3647307
1997,1740710,1885140,3625850
1998,1766949,1911366,3678315
1999,1773823,1920150,3693973
2000,1816036,1964001,3780037
2001,1800624,1942881,3743505
2002,1796882,1941514,3738396
2003,1827145,1975349,3802494
2004,1836250,1984979,3821229
2005,1847842,1997305,3845147
2006,1901209,2055273,3956482
2007,1922617,2075414,3998031
2008,1890938,2040150,3931088
2009,1837114,1983573,3820687
2010,1777595,1918676,3696271
2011,1759066,1899252,3658318
2012,1761053,1896946,3657999
2013,1754746,1891581,3646327
2014,1786355,1920871,3707226
2015,1785098,1916743,3701841
2016,1772022,1897738,3669760
2017,1726461,1850956,3577417
2018,1701074,1816158,3517232
2019,1678366,1794216,3472582
2020,1616549,1726076,3342625
2021,1640861,1749482,3390343
2022,1640131,1746008,3386139
2023,1604582,1710576,3315158
2024,1620190,1722888,3343078
2025,1607267,1708076,3315343
