"name","born_all","born_through_2020","median_birth_year","census_2020","census_rank","pct_still_counted"
"MICHAEL",4448633,4405740,1970,3476721,1,78.9134
"JOHN",5204377,5164237,1952,3125123,2,60.5147
"JAMES",5274520,5214028,1953,2996421,3,57.4684
"DAVID",3689613,3652222,1963,2813017,4,77.0221
"ROBERT",4869849,4849909,1952,2759339,5,56.8947
"WILLIAM",4215725,4160284,1951,2240114,6,53.8452
"MARY",4156654,4145899,1938,1768343,7,42.6528
"MARIA",570389,555997,1974,1652966,8,297.298
"DANIEL",1991091,1947835,1980,1607193,9,82.5118
"JOSEPH",2680213,2642319,1963,1600667,10,60.5781
"RICHARD",2587082,2578911,1952,1575998,11,61.111
"THOMAS",2367087,2333723,1956,1506606,12,64.558
"CHRISTOPHER",2079103,2052601,1983,1499872,13,73.0718
"JENNIFER",1476540,1473629,1978,1331077,14,90.3265
"MATTHEW",1659655,1623707,1988,1315151,15,80.9968
"JOSE",596732,577483,1991,1211106,16,209.721
"CHARLES",2447135,2418218,1949,1207972,17,49.953
"ELIZABETH",1693973,1659365,1966,1206652,18,72.7177
"PATRICIA",1578584,1577601,1951,1189825,19,75.4199
"LINDA",1458899,1457277,1952,1164876,20,79.9351
"MARK",1366672,1359561,1964,1135541,21,83.5226
"ANDREW",1334415,1309487,1988,1075513,22,82.1324
"ANTHONY",1495156,1463129,1981,1075181,23,73.485
"KEVIN",1189844,1180273,1976,1015227,24,86.0163
"BRIAN",1178298,1172786,1975,1011020,25,86.2067
"SUSAN",1126022,1124923,1956,979771,26,87.0967
"STEVEN",1297590,1290777,1967,972808,27,75.3661
"JESSICA",1054307,1051530,1987,957447,28,91.0528
"BARBARA",1440831,1439367,1947,943006,29,65.5153
"JOSHUA",1253882,1228023,1991,939718,30,76.5228
"PAUL",1404135,1397411,1956,907225,31,64.9218
"JASON",1057058,1044425,1980,898652,32,86.0428
"KAREN",990774,989754,1959,882576,33,89.1712
"RYAN",991747,968760,1991,874269,34,90.2462
"SARAH",1101838,1087964,1984,874128,35,80.3453
"LISA",970012,968637,1967,864260,36,89.2243
"JACOB",990532,954630,1999,805730,37,84.4023
"TIMOTHY",1088520,1079547,1970,802946,38,74.378
"SANDRA",878223,877068,1954,780828,39,89.0271
"NANCY",1007393,1006011,1951,772570,40,76.7954
"ERIC",893184,885624,1980,767096,41,86.6164
"MICHELLE",819760,815932,1974,757098,42,92.7894
"KENNETH",1289312,1282968,1956,755679,43,58.9008
"EMILY",898296,867557,1997,755529,44,87.087
"ASHLEY",875722,865760,1991,752330,45,86.8982
"JEFFREY",983099,979937,1968,735428,46,75.0485
"JONATHAN",874440,853787,1990,717208,47,84.0032
"DONALD",1420387,1418298,1947,715624,48,50.4565
"NICHOLAS",929199,912262,1992,711305,49,77.9716
"AMANDA",792774,789565,1986,698989,50,88.5284
"KIMBERLY",850666,844284,1973,696165,51,82.4563
"RONALD",1086091,1083662,1953,689843,52,63.6585
"LAURA",804390,800186,1967,679856,53,84.9622
"MELISSA",762623,758647,1979,675224,54,89.0037
"JUSTIN",794273,784780,1990,668566,55,85.1915
"STEPHEN",867669,863195,1964,665596,56,77.1084
"STEPHANIE",747786,744662,1983,657760,57,88.33
"GARY",905438,904357,1955,656593,58,72.6033
"SCOTT",777605,775108,1969,655952,59,84.6272
"JUAN",368366,355850,1992,655696,60,184.262
"REBECCA",758106,753205,1975,645350,61,85.6805
"BRANDON",774654,766189,1993,642620,62,83.8723
"DONNA",833874,833368,1955,635065,63,76.2046
"GEORGE",1497260,1483355,1938,631924,64,42.601
"AMY",703484,696455,1976,625127,65,89.7584
"DEBORAH",744478,742985,1956,622217,66,83.7456
"EDWARD",1308955,1300537,1946,616122,67,47.3744
"CAROL",825584,825193,1948,614466,68,74.4633
"BENJAMIN",829312,776610,1994,606324,69,78.0732
"ANGELA",675392,669685,1974,600162,70,89.6186
"CYNTHIA",713412,711865,1960,597780,71,83.9738
"SHARON",726130,725190,1954,583755,72,80.4968
"SAMUEL",823085,781312,1991,566085,73,72.4531
"ALEXANDER",740668,699724,2000,556757,74,79.5681
"PATRICK",689424,681190,1973,551884,75,81.0176
"MARGARET",1268519,1257238,1934,549715,76,43.724
"KATHLEEN",715336,714174,1954,547321,77,76.6369
"NICOLE",596465,591805,1986,544076,78,91.935
"TYLER",621493,610518,1997,541525,79,88.6993
"BRENDA",610597,609682,1958,521400,80,85.52
"SAMANTHA",594052,582271,1995,517508,81,88.8775
"ANNA",917615,903394,1939,512954,82,56.7808
"LARRY",811148,809994,1952,512456,83,63.2666
"GREGORY",714753,711925,1966,503949,84,70.7868
"KELLY",556365,554178,1976,499222,85,90.0833
"EMMA",778172,708166,2004,498221,86,70.3537
"ADAM",582453,564640,1987,496300,87,87.8967
"PAMELA",596462,595983,1959,495991,88,83.2223
"AARON",618857,596554,1990,494237,89,82.8487
"RACHEL",575748,569473,1987,493726,90,86.6988
"LUIS",294500,280752,1997,489968,91,174.52
"CHRISTINE",588495,587480,1965,482596,92,82.1468
"NATHAN",589271,563193,1996,481621,93,85.5162
"HEATHER",527387,526515,1980,473464,94,89.9241
"CARLOS",309076,296365,1992,473046,95,159.616
"KATHERINE",652750,644066,1977,470588,96,73.0652
"JULIE",512777,510832,1968,467484,97,91.5142
"DEBRA",551841,551654,1957,465857,98,84.4473
"PETER",591531,582364,1961,464396,99,79.7433
"VICTORIA",529191,506919,1993,452646,100,89.2936
"JORDAN",536795,516069,1998,452330,101,87.6491
"OLIVIA",568136,489917,2009,449373,102,91.7243
"LAUREN",481395,476859,1992,449365,103,94.2344
"DENNIS",623692,621682,1954,448312,104,72.1128
"KYLE",494713,490797,1991,436151,105,88.8659
"ZACHARY",553281,542797,1996,435262,106,80.1887
"ANDREA",451448,443183,1982,429407,107,96.8916
"JANET",558291,557863,1952,429159,108,76.9291
"CHRISTINA",481707,479679,1981,423584,109,88.3057
"DIANE",520034,519634,1955,422752,110,81.3557
"CHRISTIAN",473843,452454,2001,415787,111,91.896
"JACK",759677,715188,1953,415678,112,58.1215
"CATHERINE",669611,664764,1953,410557,113,61.7598
"MEGAN",441169,439193,1991,409941,114,93.3396
"FRANK",920589,917298,1939,407086,115,44.3788
"ETHAN",488144,447061,2007,403009,116,90.1463
"HANNAH",466406,445136,2000,402723,117,90.4719
"TERESA",417209,415620,1962,402455,118,96.8324
"TAYLOR",443686,435743,1997,389216,119,89.3224
"SARA",437441,429449,1982,384257,120,89.4767
"CAROLYN",558397,557365,1949,384056,121,68.9057
"DOUGLAS",562086,560491,1959,383164,122,68.3622
"BETTY",1004857,1003775,1934,382966,123,38.1526
"SEAN",426606,422801,1987,377127,124,89.1973
"TERRY",521478,520427,1958,376955,125,72.4319
"JUDITH",455955,454393,1947,376697,126,82.9011
"ALEX",295991,286422,1995,373467,127,130.39
"JEREMY",448737,441934,1984,372715,128,84.3373
"NOAH",534622,434696,2012,372421,129,85.6739
"CHERYL",440517,440324,1958,372341,130,84.5607
"DIANA",369771,363236,1964,369707,131,101.781
"JERRY",632416,630893,1951,369611,132,58.5854
"MARTHA",553732,551665,1939,368239,133,66.7505
"CHRIS",170417,168375,1964,366260,134,217.526
"RAYMOND",783311,778773,1946,364286,135,46.7769
"AUSTIN",443723,425987,1998,362154,136,85.0153
"MADISON",427675,401354,2005,360351,137,89.7838
"SHIRLEY",695934,695272,1939,360153,138,51.8003
"ALEXIS",412632,405788,2000,358350,139,88.3097
"JANE",381009,375066,1948,356607,140,95.0785
"HENRY",773564,716240,1948,354666,141,49.5178
"JULIA",477993,466172,1969,349781,142,75.0326
"ANGEL",366174,338691,2004,348575,143,102.918
"GABRIEL",402627,368221,2005,347542,144,94.3841
"DYLAN",434951,398411,2004,343919,145,86.3227
"ABIGAIL",413935,384452,2006,342490,146,89.0852
"LOGAN",419837,380484,2008,341575,147,89.7738
"VICTOR",332220,323584,1974,337308,148,104.241
"GLORIA",417018,414691,1947,331522,149,79.9443
"JESUS",246966,236007,1997,331353,150,140.4
"JACQUELINE",427479,424569,1965,331316,151,78.0358
"DANIELLE",373698,370558,1988,329075,152,88.8053
"KEITH",440123,438250,1966,328988,153,75.0686
"SOPHIA",439619,377924,2011,327891,154,86.7611
"DENISE",374789,374048,1963,327824,155,87.6422
"BRYAN",391306,385726,1985,327372,156,84.8716
"JOYCE",512232,510955,1945,324179,157,63.4457
"NATALIE",379831,362525,1999,324013,158,89.3767
"AMBER",375668,372862,1988,322911,159,86.6034
"GRACE",536340,510387,1978,322614,160,63.2097
"ANA",111960,105154,1995,321854,161,306.079
"KATHRYN",456515,454347,1960,316032,162,69.5574
"JAMIE",359590,355383,1981,312010,163,87.7954
"ISABELLA",417454,361999,2011,309067,164,85.3779
"JOAN",488939,487007,1941,306627,165,62.9615
"DOROTHY",1115908,1112489,1927,304932,166,27.4099
"KAYLA",347144,342069,1996,303207,167,88.6391
"BRITTANY",361751,360186,1990,302717,168,84.0446
"JANICE",407605,407177,1951,302296,169,74.2419
"ERIN",326053,323819,1984,301437,170,93.0881
"SHANNON",348161,347411,1978,300975,171,86.6337
"LORI",342764,342055,1965,299419,172,87.5353
"MIGUEL",191562,182080,1997,296001,173,162.566
"ROGER",443830,442118,1952,294726,174,66.6623
"JESSE",444920,434869,1982,293709,175,67.5396
"EVELYN",641662,595407,1941,293621,176,49.3143
"TIFFANY",340054,338524,1986,293280,177,86.6349
"ANN",471625,470505,1948,293049,178,62.2839
"LESLIE",383418,380980,1966,290492,179,76.2486
"ANTONIO",264970,254490,1990,289178,180,113.63
"KATHY",334870,334551,1958,288053,181,86.1014
"VIRGINIA",654968,652119,1933,286258,182,43.8966
"RUTH",838901,830482,1926,285959,183,34.4329
"ALAN",364389,354185,1962,284872,184,80.4303
"ROBIN",338913,335595,1963,284371,185,84.7364
"JORGE",140166,134230,1996,282866,186,210.732
"JUDY",384073,383469,1949,281131,187,73.3126
"ALLISON",322944,309219,1995,280746,188,90.792
"CAMERON",344896,317374,2003,280514,189,88.3859
"HELEN",1027307,1023681,1924,280357,190,27.3871
"SHAWN",339597,337154,1977,279685,191,82.9547
"THERESA",405831,405128,1957,278873,192,68.8358
"TAMMY",333407,333246,1967,277310,193,83.2148
"JOE",464574,463244,1943,275876,194,59.5531
"ALYSSA",315038,310233,2000,274552,195,88.4986
"CRYSTAL",333298,332168,1983,274101,196,82.5188
"MARTIN",317037,311560,1960,271877,197,87.2631
"JEAN",483475,482333,1938,270231,198,56.0258
"MASON",345931,308433,2011,269852,199,87.4913
"TRACY",312894,312331,1969,268037,200,85.8183
"BRUCE",388275,385540,1955,267817,201,69.4654
