"id","level","x","y"
1,0.0001,3.46,0
1,0.0001,3.237,1.266
1,0.0001,2.532,2.41
1,0.0001,2.463,2.532
1,0.0001,1.266,3.698
1,0.0001,0.93,3.797
1,0.0001,0,4.082
2,0.0001,0,99.727
2,0.0001,0.163,100
3,0.0001,5.18,0
3,0.0001,5.36,1.266
3,0.0001,6.01,2.532
3,0.0001,6.329,2.896
3,0.0001,7.341,3.797
3,0.0001,7.595,3.98
3,0.0001,8.861,4.369
3,0.0001,10.127,4.387
3,0.0001,11.392,4.444
3,0.0001,12.658,4.706
3,0.0001,13.924,4.972
3,0.0001,14.519,5.063
3,0.0001,15.19,5.206
3,0.0001,16.456,5.429
3,0.0001,17.722,5.621
3,0.0001,18.987,5.781
3,0.0001,20.253,5.925
3,0.0001,21.519,6.077
3,0.0001,22.785,6.267
3,0.0001,23.066,6.329
3,0.0001,24.051,7.025
3,0.0001,24.436,7.595
3,0.0001,24.051,8.766
3,0.0001,24.018,8.861
3,0.0001,23.149,10.127
3,0.0001,22.785,10.663
3,0.0001,22.259,11.392
3,0.0001,21.519,12.584
3,0.0001,21.468,12.658
3,0.0001,20.699,13.924
3,0.0001,20.253,14.795
3,0.0001,20.022,15.19
3,0.0001,19.397,16.456
3,0.0001,18.987,17.403
3,0.0001,18.836,17.722
3,0.0001,18.395,18.987
3,0.0001,18.048,20.253
3,0.0001,17.722,21.263
3,0.0001,17.63,21.519
3,0.0001,17.158,22.785
3,0.0001,16.682,24.051
3,0.0001,16.959,25.316
3,0.0001,17.722,25.726
3,0.0001,18.225,25.316
3,0.0001,18.987,24.533
3,0.0001,19.332,24.051
3,0.0001,20.253,23.118
3,0.0001,20.664,22.785
3,0.0001,21.519,22.224
3,0.0001,22.738,21.519
3,0.0001,22.785,21.492
3,0.0001,22.976,21.519
3,0.0001,23.907,22.785
3,0.0001,23.722,24.051
3,0.0001,23.501,25.316
3,0.0001,23.293,26.582
3,0.0001,23.116,27.848
3,0.0001,22.975,29.114
3,0.0001,22.849,30.38
3,0.0001,22.785,31.258
3,0.0001,22.762,31.646
3,0.0001,22.785,32.031
3,0.0001,22.926,32.911
3,0.0001,23.768,34.177
3,0.0001,24.051,34.518
3,0.0001,24.529,35.443
3,0.0001,24.958,36.709
3,0.0001,25.265,37.975
3,0.0001,25.316,38.24
3,0.0001,25.524,39.241
3,0.0001,25.726,40.506
3,0.0001,25.895,41.772
3,0.0001,26.17,43.038
3,0.0001,26.582,44.268
3,0.0001,26.594,44.304
3,0.0001,27.04,45.57
3,0.0001,27.329,46.835
3,0.0001,27.435,48.101
3,0.0001,27.555,49.367
3,0.0001,27.848,50.17
3,0.0001,28.056,50.633
3,0.0001,29.011,51.899
3,0.0001,29.114,52.028
3,0.0001,30.183,53.165
3,0.0001,30.38,53.414
3,0.0001,31.281,54.43
3,0.0001,31.646,54.954
3,0.0001,32.253,55.696
3,0.0001,32.911,56.633
3,0.0001,33.275,56.962
3,0.0001,34.177,57.815
3,0.0001,35.158,58.228
3,0.0001,35.443,58.367
3,0.0001,36.709,58.673
3,0.0001,37.975,59.185
3,0.0001,38.499,59.494
3,0.0001,39.241,59.949
3,0.0001,40.506,60.668
3,0.0001,40.722,60.759
3,0.0001,41.772,61.379
3,0.0001,43.038,61.683
3,0.0001,44.304,61.169
3,0.0001,44.834,60.759
3,0.0001,45.57,60.269
3,0.0001,46.506,59.494
3,0.0001,46.835,59.201
3,0.0001,47.375,58.228
3,0.0001,47.851,56.962
3,0.0001,48.101,56.064
3,0.0001,48.157,55.696
3,0.0001,48.334,54.43
3,0.0001,48.508,53.165
3,0.0001,48.694,51.899
3,0.0001,48.915,50.633
3,0.0001,49.214,49.367
3,0.0001,49.367,48.876
3,0.0001,49.585,48.101
3,0.0001,50.031,46.835
3,0.0001,50.547,45.57
3,0.0001,50.633,45.381
3,0.0001,51.019,44.304
3,0.0001,51.53,43.038
3,0.0001,51.899,42.229
3,0.0001,52.069,41.772
3,0.0001,52.589,40.506
3,0.0001,53.132,39.241
3,0.0001,53.165,39.167
3,0.0001,53.671,37.975
3,0.0001,54.215,36.709
3,0.0001,54.43,36.206
3,0.0001,54.742,35.443
3,0.0001,55.259,34.177
3,0.0001,55.696,33.178
3,0.0001,55.807,32.911
3,0.0001,56.402,31.646
3,0.0001,56.962,30.524
3,0.0001,57.03,30.38
3,0.0001,57.612,29.114
3,0.0001,58.119,27.848
3,0.0001,58.228,27.546
3,0.0001,58.579,26.582
3,0.0001,59.05,25.316
3,0.0001,59.494,24.252
3,0.0001,59.586,24.051
3,0.0001,60.233,22.785
3,0.0001,60.759,21.794
3,0.0001,60.916,21.519
3,0.0001,61.645,20.253
3,0.0001,62.025,19.612
3,0.0001,62.428,18.987
3,0.0001,63.256,17.722
3,0.0001,63.291,17.669
3,0.0001,64.141,16.456
3,0.0001,64.557,15.848
3,0.0001,65.05,15.19
3,0.0001,65.823,14.157
3,0.0001,66.033,13.924
3,0.0001,67.089,12.772
3,0.0001,67.218,12.658
3,0.0001,68.354,11.667
3,0.0001,68.681,11.392
3,0.0001,69.62,10.585
3,0.0001,70.052,10.127
3,0.0001,70.886,9.172
3,0.0001,71.099,8.861
3,0.0001,71.904,7.595
3,0.0001,72.152,7.103
3,0.0001,72.506,6.329
3,0.0001,72.838,5.063
3,0.0001,72.782,3.797
3,0.0001,72.231,2.532
3,0.0001,72.152,2.445
3,0.0001,71.22,1.266
3,0.0001,70.886,1.003
3,0.0001,69.671,0
4,0.0001,50.667,100
4,0.0001,51.899,99.589
4,0.0001,53.165,99.127
4,0.0001,54.124,98.734
4,0.0001,54.43,98.559
4,0.0001,55.696,97.774
4,0.0001,56.16,97.468
4,0.0001,56.962,96.583
4,0.0001,57.304,96.203
4,0.0001,57.808,94.937
4,0.0001,57.884,93.671
4,0.0001,57.7,92.405
4,0.0001,57.345,91.139
4,0.0001,56.962,90.13
4,0.0001,56.856,89.873
4,0.0001,56.221,88.608
4,0.0001,55.696,87.687
4,0.0001,55.464,87.342
4,0.0001,54.635,86.076
4,0.0001,54.43,85.717
4,0.0001,53.873,84.81
4,0.0001,53.258,83.544
4,0.0001,53.165,83.318
4,0.0001,52.662,82.278
4,0.0001,52.024,81.013
4,0.0001,51.899,80.775
4,0.0001,51.189,79.747
4,0.0001,50.633,78.888
4,0.0001,50.328,78.481
4,0.0001,49.558,77.215
4,0.0001,49.367,76.843
4,0.0001,48.873,75.949
4,0.0001,48.147,74.684
4,0.0001,48.101,74.613
4,0.0001,46.981,73.418
4,0.0001,46.835,73.27
4,0.0001,45.57,72.873
4,0.0001,44.304,73.104
4,0.0001,43.038,73.407
4,0.0001,42.983,73.418
4,0.0001,41.772,73.599
4,0.0001,40.506,73.923
4,0.0001,39.241,74.66
4,0.0001,39.217,74.684
4,0.0001,38.203,75.949
4,0.0001,37.975,76.387
4,0.0001,37.672,77.215
4,0.0001,37.306,78.481
4,0.0001,36.992,79.747
4,0.0001,36.712,81.013
4,0.0001,36.709,81.03
4,0.0001,36.483,82.278
4,0.0001,36.281,83.544
4,0.0001,36.084,84.81
4,0.0001,35.926,86.076
4,0.0001,35.866,87.342
4,0.0001,35.858,88.608
4,0.0001,35.78,89.873
4,0.0001,35.523,91.139
4,0.0001,35.443,91.377
4,0.0001,35.022,92.405
4,0.0001,34.623,93.671
4,0.0001,34.284,94.937
4,0.0001,34.177,95.117
4,0.0001,33.595,96.203
4,0.0001,32.911,96.794
4,0.0001,31.767,97.468
4,0.0001,31.646,97.524
4,0.0001,30.38,97.895
4,0.0001,29.114,98.117
4,0.0001,27.848,98.285
4,0.0001,26.582,98.44
4,0.0001,25.316,98.615
4,0.0001,24.614,98.734
4,0.0001,24.051,98.979
4,0.0001,22.785,99.603
4,0.0001,21.905,100
5,0.0002,1.494,0
5,0.0002,1.266,0.936
5,0.0002,1.08,1.266
5,0.0002,0,1.92
6,0.0002,6.978,0
6,0.0002,7.274,1.266
6,0.0002,7.595,1.722
6,0.0002,8.861,2.478
6,0.0002,10.127,2.513
6,0.0002,10.337,2.532
6,0.0002,11.392,2.61
6,0.0002,12.658,3.042
6,0.0002,13.924,3.482
6,0.0002,15.19,3.784
6,0.0002,15.253,3.797
6,0.0002,16.456,4.066
6,0.0002,17.722,4.31
6,0.0002,18.987,4.509
6,0.0002,20.253,4.679
6,0.0002,21.519,4.834
6,0.0002,22.785,4.983
6,0.0002,23.408,5.063
6,0.0002,24.051,5.202
6,0.0002,25.316,5.592
6,0.0002,26.582,6.235
6,0.0002,26.711,6.329
6,0.0002,26.801,7.595
6,0.0002,26.582,8.017
6,0.0002,26.136,8.861
6,0.0002,25.316,10.056
6,0.0002,25.267,10.127
6,0.0002,24.421,11.392
6,0.0002,24.051,12.021
6,0.0002,23.666,12.658
6,0.0002,23.081,13.924
6,0.0002,22.785,14.836
6,0.0002,22.672,15.19
6,0.0002,22.785,16.18
6,0.0002,24.051,16.447
6,0.0002,25.316,16.015
6,0.0002,26.582,15.668
6,0.0002,27.848,15.734
6,0.0002,28.403,16.456
6,0.0002,28.478,17.722
6,0.0002,28.351,18.987
6,0.0002,28.219,20.253
6,0.0002,28.225,21.519
6,0.0002,28.639,22.785
6,0.0002,29.114,23.486
6,0.0002,29.569,24.051
6,0.0002,30.237,25.316
6,0.0002,30.38,25.714
6,0.0002,30.755,26.582
6,0.0002,31.479,27.848
6,0.0002,31.646,28.073
6,0.0002,32.874,29.114
6,0.0002,32.911,29.145
6,0.0002,34.177,30.05
6,0.0002,34.867,30.38
6,0.0002,35.443,30.644
6,0.0002,36.709,30.902
6,0.0002,37.975,30.924
6,0.0002,39.241,30.741
6,0.0002,40.506,30.389
6,0.0002,40.535,30.38
6,0.0002,41.772,30.023
6,0.0002,43.038,29.662
6,0.0002,44.304,29.176
6,0.0002,44.41,29.114
6,0.0002,45.57,28.362
6,0.0002,46.119,27.848
6,0.0002,46.835,27.172
6,0.0002,47.372,26.582
6,0.0002,48.101,25.873
6,0.0002,48.595,25.316
6,0.0002,49.367,24.544
6,0.0002,49.767,24.051
6,0.0002,50.633,23.032
6,0.0002,50.808,22.785
6,0.0002,51.719,21.519
6,0.0002,51.899,21.273
6,0.0002,52.585,20.253
6,0.0002,53.165,19.411
6,0.0002,53.452,18.987
6,0.0002,54.346,17.722
6,0.0002,54.43,17.61
6,0.0002,55.287,16.456
6,0.0002,55.696,15.935
6,0.0002,56.262,15.19
6,0.0002,56.962,14.301
6,0.0002,57.251,13.924
6,0.0002,58.228,12.665
6,0.0002,58.233,12.658
6,0.0002,59.279,11.392
6,0.0002,59.494,11.142
6,0.0002,60.414,10.127
6,0.0002,60.759,9.76
6,0.0002,61.636,8.861
6,0.0002,62.025,8.47
6,0.0002,62.9,7.595
6,0.0002,63.291,7.201
6,0.0002,64.153,6.329
6,0.0002,64.557,5.867
6,0.0002,65.24,5.063
6,0.0002,65.823,3.949
6,0.0002,65.899,3.797
6,0.0002,65.954,2.532
6,0.0002,65.823,2.31
6,0.0002,65.246,1.266
6,0.0002,64.557,0.732
6,0.0002,63.608,0
7,0.0003,11.633,0
7,0.0003,12.477,1.266
