"st","x","y"
"20",21544,11929
"20",21367,11920
"20",21570,11981
"20",18951,11426
"20",19329,11491
"20",19353,12202
"20",17728,12648
"20",20674,13461
"20",21418,11961
"20",20644,11916
"20",16803,13844
"20",19288,11912
"20",21101,12395
"20",21548,13743
"20",20769,11990
"20",21526,13548
"20",21536,13561
"20",19213,13665
"20",19109,12895
"20",19289,11912
"20",19444,13914
"20",16814,13851
"20",19082,12908
"20",16809,13824
"20",18497,13321
"20",19321,13925
"20",20167,11831
"20",18067,12100
"20",21521,12197
"20",18115,11270
"20",19496,13299
"20",20325,11839
"20",19752,13919
"20",17522,13170
"20",19515,13348
"20",19575,13293
"20",19491,13294
"20",19558,13487
"20",21290,12914
"20",21551,12084
"20",21499,12103
"20",21057,12055
"20",21408,13807
"20",21567,12183
"20",20101,11857
"20",21344,11741
"20",16897,13415
"20",21071,13088
"20",19600,13234
"20",21502,12024
"20",21563,12075
"20",21318,11995
"20",17510,13173
"20",21329,11906
"20",21050,13591
"20",19602,13268
"20",21450,12150
"20",19561,13336
"20",19549,13323
"20",21522,12106
"20",21414,12031
"20",21546,12149
"20",19457,13279
"20",21533,12157
"20",21364,12220
"20",20871,11857
"20",19441,13277
"20",19621,13272
"20",21373,12172
"20",19499,13302
"20",19538,13259
"20",21450,11925
"20",20768,11979
"20",19380,12191
"20",19390,12391
"20",20729,12001
"20",21506,11950
"20",21542,11926
"20",19113,12942
"20",20873,12250
"20",21371,11982
"20",19362,12185
"20",19353,12165
"20",19350,12188
"20",18218,12796
"20",19687,13263
"20",19713,11671
"20",20954,12417
"20",20811,12011
"20",19117,12897
"20",19331,11478
"20",19396,13868
"20",20792,11968
"20",20687,13453
"20",20790,11915
"20",20314,13167
"20",20096,11881
"20",19049,12605
"20",18093,12112
"20",21436,12111
"20",17506,13195
"20",21106,12073
"20",20091,11838
"20",19517,13249
"20",19538,13319
"20",19619,13345
"20",19517,13278
"20",21071,12095
"20",21501,12044
"20",21501,12044
"20",21452,12130
"20",16912,12918
"20",21346,11818
"20",16884,12921
"20",19552,13365
"20",19512,13160
"20",18219,12143
"20",21466,12055
"20",21480,12086
"20",21530,12182
"20",21505,11998
"20",21353,12214
"20",21484,12094
"20",21350,12209
"20",21528,12111
"20",19463,13249
"20",19534,13416
"20",19560,13338
"20",19567,13373
"20",19556,13365
"20",21429,12127
"20",19774,11240
"20",21477,12173
"20",17786,11992
"20",19523,13424
"20",21353,11813
"20",21101,13644
"20",21458,12140
"20",21463,12142
"20",19796,13741
"20",19410,13102
"20",19852,13916
"20",19549,13313
"20",21329,11889
"20",21330,11740
"20",20318,11846
"20",21375,12171
"20",21414,12088
"20",21408,11906
"20",20769,11994
"20",20786,12027
"20",20797,12048
"20",19344,12182
"20",21506,11898
"20",20785,12035
"20",19351,12205
"20",19367,12218
"20",19380,12205
"20",20623,13310
"20",19331,11869
"20",21532,11929
"20",18497,13312
"20",18484,13315
"20",20675,12388
"20",20502,11375
"20",19688,13275
"20",20125,11864
"20",19108,12924
"20",20357,12522
"20",19688,13253
"20",20427,12610
"20",19830,13178
"20",17999,13035
"20",21289,13623
"20",21519,13562
"20",21121,12057
"20",21106,12104
"20",21513,12036
"20",21447,12177
"20",21507,12033
"20",20785,11733
"20",21401,12009
"20",21441,12158
"20",19521,13311
"20",21336,11741
"20",19541,12963
"20",19602,13314
"20",19594,13444
"20",19945,11989
"20",16903,12946
"20",21340,11756
"20",21503,12145
"20",21167,11498
"20",21552,12067
"20",19315,12622
"20",19620,13323
"20",21089,12049
"20",21423,12142
"20",21309,12056
"20",19613,13484
"20",16421,13710
"20",19962,12005
"20",21531,13156
"20",19310,12629
"20",21072,12071
"20",19425,13333
"20",19458,13236
"20",20125,11851
"20",21511,12096
"20",21337,11727
"20",16489,13689
"20",20806,11548
"20",21497,12022
"20",19530,13320
"20",19606,13315
"20",21537,12049
"20",21397,12039
"20",21546,12162
"20",21472,12020
"20",21177,11495
"20",19282,13355
"20",21488,12061
"20",21402,12039
"20",21574,12023
"20",21529,12046
"20",21548,12013
"20",19592,13320
"20",21513,12155
"20",19602,13301
"20",19507,13376
"20",20085,11871
"20",21542,12036
"20",20801,12011
"20",21443,11924
"20",21361,11975
"20",21475,11984
"20",20767,12099
"20",19089,12925
"20",20771,12099
"20",20829,12017
"20",16340,11581
"20",19389,12188
"20",19355,12196
"20",20792,12013
"20",19093,12910
"20",21089,12415
"20",19208,13236
"20",20736,11989
"20",20501,11229
"20",19871,13405
"20",20893,12186
"20",20092,11853
"20",19123,12913
"20",19111,12913
"20",19158,11270
"20",21496,13948
"20",20410,12616
"20",17400,11283
"20",20761,13756
"20",21110,12084
"20",21053,11825
"20",21502,12083
"20",16891,12919
"20",19349,12949
"20",19617,13301
"20",19521,13353
"20",21314,11739
"20",21435,12144
"20",21089,12101
"20",21573,12020
"20",19543,12953
"20",18098,12110
"20",19555,13325
"20",19529,13260
"20",20235,11853
"20",17521,13162
"20",20963,11935
"20",21523,12408
"20",20094,11864
"20",19304,12447
"20",19414,13268
"20",21420,12282
"20",21394,12005
"20",21455,12057
"20",21456,12058
"20",21217,11753
"20",19527,13290
"20",19545,13277
"20",20823,13939
"20",19516,13372
"20",18150,12114
"20",19955,12003
"20",21212,12091
"20",21213,12116
"20",21514,12060
"20",21552,12177
"20",21501,12007
"20",21417,12277
"20",21572,12161
"20",21540,12065
"20",21326,12217
"20",21518,12158
"20",21198,11486
"20",19609,13301
"20",19937,12003
"20",21543,12088
"20",21443,12124
"20",21576,12040
"20",21446,12177
"20",21553,12182
"20",19452,13233
"20",19525,13264
"20",19581,13311
"20",19457,13253
"20",20407,13845
"20",20077,11791
"20",21106,13644
"20",21402,11892
"20",21528,11963
"20",21368,11975
"20",21456,11935
"20",20747,12020
"20",20790,12030
"20",20766,12030
"20",19350,12185
"20",21367,11978
"20",20728,12051
"20",21533,11962
"20",19847,12354
"20",19046,13095
"20",21534,13591
"20",19656,12116
"20",21510,11965
"20",19483,13699
"20",19492,13699
"20",18488,12596
"20",19896,13176
"20",19507,13709
"20",16357,11572
"20",19762,13263
"20",19931,12013
"20",16960,12971
"20",20082,11860
"20",21110,12079
"20",17761,11168
"20",17759,11170
"20",21108,12070
"20",20776,13938
"20",21473,12175
"20",19448,13219
"20",19512,13269
"20",19568,13322
"20",21336,11725
"20",18322,13009
"20",16217,13287
"20",21113,12077
"20",21103,12062
"20",19526,13275
"20",19614,13330
"20",17523,13176
"20",21507,12084
"20",19472,13260
"20",19595,13430
"20",19527,13351
"20",19525,13272
"20",21330,12978
