"poly","ring","x","y"
"o_1",1,27615,15958
"o_1",1,27635,15949
"o_1",1,27721,15981
"o_1",1,27787,15974
"o_1",1,27822,15938
"o_1",1,27869,15973
"o_1",1,27922,15936
"o_1",1,27959,15992
"o_1",1,27933,15931
"o_1",1,27902,15813
"o_1",1,27912,15812
"o_1",1,27912,15805
"o_1",1,27903,15796
"o_1",1,27901,15795
"o_1",1,27901,15793
"o_1",1,27928,15752
"o_1",1,27971,15752
"o_1",1,28029,15783
"o_1",1,28032,15815
"o_1",1,27990,15854
"o_1",1,27986,15851
"o_1",1,27980,15841
"o_1",1,27985,15834
"o_1",1,27973,15828
"o_1",1,27976,15835
"o_1",1,27990,15859
"o_1",1,27999,15871
"o_1",1,27987,15887
"o_1",1,28002,15914
"o_1",1,28005,15987
"o_1",1,28011,15931
"o_1",1,28056,15976
"o_1",1,28062,15993
"o_1",1,28059,16008
"o_1",1,28057,16013
"o_1",1,28055,16017
"o_1",1,28051,16023
"o_1",1,28030,16021
"o_1",1,28020,16029
"o_1",1,28027,16037
"o_1",1,28036,16025
"o_1",1,28046,16023
"o_1",1,28051,16024
"o_1",1,28054,16023
"o_1",1,28053,16022
"o_1",1,28058,16013
"o_1",1,28059,16008
"o_1",1,28078,15995
"o_1",1,28066,15989
"o_1",1,28057,15977
"o_1",1,28025,15940
"o_1",1,28013,15871
"o_1",1,28053,15809
"o_1",1,28077,15821
"o_1",1,28140,15894
"o_1",1,28156,15896
"o_1",1,28161,15895
"o_1",1,28170,15894
"o_1",1,28173,15887
"o_1",1,28181,15881
"o_1",1,28185,15879
"o_1",1,28198,15876
"o_1",1,28203,15874
"o_1",1,28215,15867
"o_1",1,28218,15866
"o_1",1,28221,15866
"o_1",1,28230,15867
"o_1",1,28252,15866
"o_1",1,28256,15867
"o_1",1,28263,15866
"o_1",1,28274,15867
"o_1",1,28281,15866
"o_1",1,28221,15866
"o_1",1,28216,15867
"o_1",1,28214,15868
"o_1",1,28211,15869
"o_1",1,28204,15873
"o_1",1,28195,15870
"o_1",1,28188,15878
"o_1",1,28183,15880
"o_1",1,28181,15881
"o_1",1,28171,15888
"o_1",1,28166,15889
"o_1",1,28112,15838
"o_1",1,28145,15776
"o_1",1,28195,15741
"o_1",1,28161,15720
"o_1",1,28166,15761
"o_1",1,28082,15813
"o_1",1,28055,15795
"o_1",1,27969,15740
"o_1",1,27917,15742
"o_1",1,27889,15789
"o_1",1,27864,15811
"o_1",1,27853,15780
"o_1",1,27840,15779
"o_1",1,27842,15792
"o_1",1,27841,15792
"o_1",1,27832,15760
"o_1",1,27841,15754
"o_1",1,27842,15723
"o_1",1,27830,15741
"o_1",1,27816,15781
"o_1",1,27736,15794
"o_1",1,27704,15802
"o_1",1,27651,15834
"o_1",1,27650,15820
"o_1",1,27635,15774
"o_1",1,27618,15722
"o_1",1,27650,15579
"o_1",1,27635,15469
"o_1",1,27642,15381
"o_1",1,27638,15373
"o_1",1,27635,15364
"o_1",1,27622,15349
"o_1",1,27622,15318
"o_1",1,27614,15299
"o_1",1,27617,15289
"o_1",1,27617,15266
"o_1",1,27624,15253
"o_1",1,27611,15159
"o_1",1,27577,15040
"o_1",1,27601,15012
"o_1",1,27606,14990
"o_1",1,27577,14985
"o_1",1,27577,14919
"o_1",1,27583,14869
"o_1",1,27585,14842
"o_1",1,27588,14830
"o_1",1,27588,14823
"o_1",1,27588,14810
"o_1",1,27589,14798
"o_1",1,27590,14794
"o_1",1,27597,14783
"o_1",1,27604,14767
"o_1",1,27640,14774
"o_1",1,27643,14774
"o_1",1,27657,14769
"o_1",1,27680,14756
"o_1",1,27704,14736
"o_1",1,27711,14745
"o_1",1,27765,14732
"o_1",1,27769,14729
"o_1",1,27776,14721
"o_1",1,27785,14716
"o_1",1,27806,14711
"o_1",1,27819,14706
"o_1",1,27846,14702
"o_1",1,27857,14708
"o_1",1,27867,14691
"o_1",1,27927,14737
"o_1",1,27943,14749
"o_1",1,27943,14751
"o_1",1,27956,14777
"o_1",1,27967,14771
"o_1",1,28079,14910
"o_1",1,28077,14931
"o_1",1,28088,14958
"o_1",1,28174,14999
"o_1",1,28094,14958
"o_1",1,28082,14910
"o_1",1,27964,14763
"o_1",1,27959,14741
"o_1",1,27943,14707
"o_1",1,27936,14709
"o_1",1,27920,14699
"o_1",1,27925,14701
"o_1",1,27822,14576
"o_1",1,27868,14569
"o_1",1,27853,14531
"o_1",1,27807,14562
"o_1",1,27777,14553
"o_1",1,27752,14566
"o_1",1,27729,14540
"o_1",1,27701,14490
"o_1",1,27738,14426
"o_1",1,27712,14444
"o_1",1,27671,14448
"o_1",1,27647,14443
"o_1",1,27644,14434
"o_1",1,27624,14445
"o_1",1,27620,14437
"o_1",1,27614,14438
"o_1",1,27614,14437
"o_1",1,27618,14431
"o_1",1,27610,14425
"o_1",1,27605,14432
"o_1",1,27601,14416
"o_1",1,27611,14408
"o_1",1,27617,14422
"o_1",1,27622,14429
"o_1",1,27625,14422
"o_1",1,27627,14425
"o_1",1,27635,14405
"o_1",1,27642,14319
"o_1",1,27660,14294
"o_1",1,27661,14281
"o_1",1,27638,14191
"o_1",1,27662,14136
"o_1",1,27669,14109
"o_1",1,27671,14104
"o_1",1,27684,14084
"o_1",1,27691,14056
"o_1",1,27705,14021
"o_1",1,27721,14006
"o_1",1,27737,13967
"o_1",1,27779,13852
"o_1",1,27811,13689
"o_1",1,27850,13620
"o_1",1,27853,13616
"o_1",1,27864,13589
"o_1",1,27931,13574
"o_1",1,28027,13530
"o_1",1,28055,13530
"o_1",1,28133,13440
"o_1",1,28153,13384
"o_1",1,28171,13282
"o_1",1,28175,13184
"o_1",1,28168,13092
"o_1",1,28160,13075
"o_1",1,28170,12919
"o_1",1,28181,12908
"o_1",1,28339,12809
"o_1",1,28435,12787
"o_1",1,28451,12784
"o_1",1,28503,12723
"o_1",1,28563,12676
"o_1",1,28599,12663
"o_1",1,28630,12666
"o_1",1,28647,12664
"o_1",1,28660,12667
"o_1",1,28664,12668
"o_1",1,28667,12667
"o_1",1,28669,12665
"o_1",1,28678,12659
"o_1",1,28686,12650
"o_1",1,28700,12639
"o_1",1,28734,12629
"o_1",1,28767,12613
"o_1",1,28781,12602
"o_1",1,28814,12584
"o_1",1,28825,12579
"o_1",1,28829,12581
"o_1",1,28829,12588
"o_1",1,28835,12585
"o_1",1,28827,12578
"o_1",1,28838,12573
"o_1",1,28848,12567
"o_1",1,28867,12544
"o_1",1,28888,12608
"o_1",1,28911,12731
"o_1",1,28930,12739
"o_1",1,28926,12759
"o_1",1,28926,12767
"o_1",1,28924,12769
"o_1",1,28922,12767
"o_1",1,28922,12765
"o_1",1,28920,12764
"o_1",1,28923,12768
"o_1",1,28925,12770
"o_1",1,28928,12772
"o_1",1,28935,12777
"o_1",1,28937,12778
"o_1",1,28938,12781
"o_1",1,28942,12785
"o_1",1,28946,12792
"o_1",1,28947,12796
"o_1",1,28925,12808
"o_1",1,28935,12818
"o_1",1,28948,12817
"o_1",1,28940,12807
"o_1",1,28944,12799
"o_1",1,28947,12795
"o_1",1,28946,12792
"o_1",1,28942,12785
"o_1",1,28936,12777
"o_1",1,28935,12776
"o_1",1,28933,12775
"o_1",1,28928,12772
"o_1",1,28925,12770
"o_1",1,28926,12769
"o_1",1,28929,12767
"o_1",1,28930,12739
"o_1",1,28909,12720
"o_1",1,28888,12608
"o_1",1,28867,12544
"o_1",1,28861,12534
"o_1",1,28849,12523
"o_1",1,28847,12521
"o_1",1,28842,12512
"o_1",1,28843,12509
"o_1",1,28841,12509
"o_1",1,28836,12501
"o_1",1,28835,12499
"o_1",1,28833,12490
"o_1",1,28833,12472
"o_1",1,28824,12468
"o_1",1,28820,12427
"o_1",1,28822,12494
"o_1",1,28831,12491
"o_1",1,28831,12487
"o_1",1,28831,12485
"o_1",1,28834,12497
"o_1",1,28835,12499
"o_1",1,28836,12501
"o_1",1,28832,12506
"o_1",1,28834,12508
"o_1",1,28837,12504
"o_1",1,28847,12521
"o_1",1,28849,12523
"o_1",1,28851,12526
"o_1",1,28860,12533
"o_1",1,28867,12544
"o_1",1,28848,12567
"o_1",1,28838,12573
"o_1",1,28824,12561
"o_1",1,28832,12575
"o_1",1,28798,12589
"o_1",1,28767,12613
"o_1",1,28734,12629
"o_1",1,28701,12639
"o_1",1,28686,12649
"o_1",1,28678,12659
"o_1",1,28670,12665
"o_1",1,28667,12667
"o_1",1,28660,12667
"o_1",1,28648,12664
"o_1",1,28644,12663
"o_1",1,28630,12666
"o_1",1,28615,12661
"o_1",1,28599,12662
"o_1",1,28564,12676
"o_1",1,28502,12723
"o_1",1,28471,12759
"o_1",1,28430,12774
"o_1",1,28393,12786
"o_1",1,28387,12791
"o_1",1,28295,12825
"o_1",1,28244,12862
"o_1",1,28207,12868
"o_1",1,28185,12863
"o_1",1,28205,12842
"o_1",1,28205,12819
"o_1",1,28218,12806
"o_1",1,28219,12800
"o_1",1,28232,12792
"o_1",1,28238,12792
"o_1",1,28252,12755
"o_1",1,28267,12672
"o_1",1,28271,12645
"o_1",1,28250,12566
"o_1",1,28252,12481
"o_1",1,28255,12480
"o_1",1,28258,12479
"o_1",1,28270,12473
"o_1",1,28285,12468
"o_1",1,28302,12460
"o_1",1,28352,12433
"o_1",1,28367,12412
"o_1",1,28394,12361
"o_1",1,28413,12356
"o_1",1,28526,12363
"o_1",1,28562,12377
"o_1",1,28531,12352
"o_1",1,28418,12353
"o_1",1,28396,12355
"o_1",1,28345,12251
"o_1",1,28444,12185
"o_1",1,28481,12152
