"variable","first","last","studies","answers","label"
"VCF0301",1952,2024,32,73083,"Party identification, 7 point"
"VCF0310",1952,2024,30,70124,"Interest in the campaign"
"VCF0050a",1968,2016,14,29773,"Interviewer rating of political information (a)"
"VCF0050b",1966,2016,20,37983,"Interviewer rating of political information (b)"
"VCF0806",1970,2024,16,48381,"Government health insurance, 7 point"
"VCF0838",1980,2024,17,48086,"Abortion, 4 point"
"VCF9039",1986,2024,12,39802,"Conditions make it difficult for blacks to succeed"
"VCF9040",1986,2024,13,41083,"Blacks should not have special favors to succeed"
"VCF9041",1986,2024,12,39802,"Blacks must try harder to succeed"
"VCF9042",1986,2024,13,41083,"Blacks gotten less than they deserve"
"VCF0009z",1948,2024,33,73745,"Sample weight"
