"seven_point","three_category","respondents"
"1 Extremely liberal","1 Liberal",1237
"2 Liberal","1 Liberal",4748
"3 Slightly liberal","1 Liberal",4743
"4 Moderate, middle of the road","1 Liberal",118
"5 Slightly conservative","1 Liberal",35
"6 Conservative","1 Liberal",14
"7 Extremely conservative","1 Liberal",1
"9 (haven't thought much)","1 Liberal",88
"1 Extremely liberal","2 Moderate",3
"2 Liberal","2 Moderate",32
"3 Slightly liberal","2 Moderate",68
"4 Moderate, middle of the road","2 Moderate",12075
"5 Slightly conservative","2 Moderate",95
"6 Conservative","2 Moderate",32
"7 Extremely conservative","2 Moderate",5
"9 (haven't thought much)","2 Moderate",222
"1 Extremely liberal","3 Conservative",1
"2 Liberal","3 Conservative",6
"3 Slightly liberal","3 Conservative",18
"4 Moderate, middle of the road","3 Conservative",144
"5 Slightly conservative","3 Conservative",6412
"6 Conservative","3 Conservative",7387
"7 Extremely conservative","3 Conservative",1556
"9 (haven't thought much)","3 Conservative",107
"9 (haven't thought much)","9 (haven't thought much)",9568
