"year","president","n_dem","n_ind","n_rep","dem_worse","ind_worse","rep_worse","gap"
1980,"D",818,237,523,79.1,83.1,89.9,-10.8
1982,"R",758,173,435,77.4,75.1,54.3,23.1
1984,"R",1013,254,868,38,21.7,7.7,30.3
1986,"R",1043,272,755,42,34.2,25,17
1988,"R",920,224,801,40,37.5,19.5,20.5
1990,"R",1000,220,710,75.8,72.7,72.3,3.5
1992,"R",1217,307,918,80.7,76.9,59.8,20.9
1994,"D",819,177,741,22.6,35,28.7,-6.1
1996,"D",887,154,650,11.7,24.7,21.4,-9.7
1998,"D",647,136,467,10.5,22.1,18.6,-8.1
2000,"D",879,218,676,10.2,28.9,21.6,-11.4
2002,"R",703,92,665,83.2,77.2,64.8,18.4
2004,"R",585,118,479,63.2,52.5,21.5,41.7
2008,"R",1362,263,651,91.7,82.5,86.2,5.5
2012,"D",3091,773,1992,16,38.2,56.8,-40.8
2016,"D",1934,578,1726,13.8,37.2,44,-30.2
2020,"R",3829,966,3425,79.9,58.6,39.3,40.6
2024,"D",2546,353,2331,28.3,68.3,82.5,-54.2
