"year","n","pure_only","with_leaners","leaners_and_weak","spread"
1952,1689,4.9,22.7,62.5,17.8
1954,1088,7.5,22.7,63.8,15.2
1956,1690,9.2,24.4,63,15.2
1958,1382,7.4,19.7,60.3,12.3
1960,1132,9.4,21.7,61,12.3
1962,1237,8.1,22.1,63.2,14
1964,1536,7.9,23,61.7,15.1
1966,1263,12.4,28.7,72.1,16.3
1968,1531,10.6,29.5,70,18.9
1970,1490,13,31.3,70.7,18.3
1972,2695,14.8,36.4,75,21.6
1974,1558,16.2,38.1,72,21.9
1976,2218,15.3,36.8,75.4,21.5
1978,2269,16.4,40.4,77.2,24
1980,1612,15.1,36.8,73.8,21.7
1982,1403,13,32.1,70.1,19.1
1984,2228,12.6,35.9,70.6,23.3
1986,2157,13.6,35,71.4,21.4
1988,2026,12,37.2,68.7,25.2
1990,1965,12,36.3,70.4,24.3
1992,2470,12.8,39.4,70.9,26.6
1994,1780,10.7,35.3,68.6,24.6
1996,1706,9.2,33.6,68.2,24.4
1998,1269,11.4,36.2,70.4,24.8
2000,1792,12.5,40.3,67.5,27.8
2002,1467,6.5,33.8,66.9,27.3
2004,1195,10.1,39.2,66.9,29.1
2008,2282,11.6,38.5,64.5,26.9
2012,5890,13.4,36.5,61.9,23.1
2016,4247,13.6,36.9,62.1,23.3
2020,8245,11.7,34.2,55.2,22.5
2024,5483,6.9,33,54.8,26.1
