"icpsr","bioname","chamber","party","state_abbrev","first","last","tenure","span","gap","ongoing"
154,"AMES, Fisher","House","Other","MA",1,4,4,4,FALSE,FALSE
259,"ASHE, John Baptista","House","Other","NC",1,2,2,2,FALSE,FALSE
379,"BALDWIN, Abraham","House","Other","GA",1,5,5,5,FALSE,FALSE
507,"BASSETT, Richard","Senate","Other","DE",1,2,2,2,FALSE,FALSE
649,"BENSON, Egbert","House","Other","NY",1,13,3,13,TRUE,FALSE
786,"BLAND, Theodorick","House","Other","VA",1,1,1,1,FALSE,FALSE
800,"BLOODWORTH, Timothy","House","Other","NC",1,1,1,1,FALSE,FALSE
878,"BOUDINOT, Elias","House","Other","NJ",1,3,3,3,FALSE,FALSE
884,"BOURNE, Benjamin","House","Other","RI",1,4,4,4,FALSE,FALSE
1118,"BROWN, John","House","Other","VA",1,2,2,2,FALSE,FALSE
1260,"BURKE, Aedanus","House","Other","SC",1,1,1,1,FALSE,FALSE
1346,"BUTLER, Pierce","Senate","Other","SC",1,8,5,8,TRUE,FALSE
1387,"CADWALADER, Lambert","House","Other","NJ",1,3,2,3,TRUE,FALSE
1536,"CARROLL, Charles (of Carrollton)","Senate","Other","MD",1,2,2,2,FALSE,FALSE
1538,"CARROLL, Daniel","House","Other","MD",1,1,1,1,FALSE,FALSE
1859,"CLYMER, George","House","Other","PA",1,1,1,1,FALSE,FALSE
1936,"COLES, Isaac","House","Other","VA",1,4,3,4,TRUE,FALSE
2010,"CONTEE, Benjamin","House","Other","MD",1,1,1,1,FALSE,FALSE
2307,"DALTON, Tristram","Senate","Other","MA",1,1,1,1,FALSE,FALSE
2576,"DICKINSON, Philemon","Senate","Other","NJ",1,2,2,2,FALSE,FALSE
2936,"ELLSWORTH, Oliver","Senate","Other","CT",1,4,4,4,FALSE,FALSE
2943,"ELMER, Jonathan","Senate","Other","NJ",1,1,1,1,FALSE,FALSE
3128,"FEW, William","Senate","Other","GA",1,2,2,2,FALSE,FALSE
3196,"FITZSIMONS, Thomas","House","Other","PA",1,3,3,3,FALSE,FALSE
3237,"FLOYD, William","House","Other","NY",1,1,1,1,FALSE,FALSE
3299,"FOSTER, Abiel","House","Other","NH",1,7,5,7,TRUE,FALSE
3315,"FOSTER, Theodore","Senate","Other","RI",1,7,7,7,FALSE,FALSE
3430,"GALE, George","House","Other","MD",1,1,1,1,FALSE,FALSE
3541,"GERRY, Elbridge","House","Other","MA",1,2,2,2,FALSE,FALSE
3582,"GILES, William Branch","House","Other","VA",1,7,6,7,TRUE,FALSE
3610,"GILMAN, Nicholas","House","Other","NH",1,4,4,4,FALSE,FALSE
