"stratum","t","at_risk","ended","surv","n_total","n_ongoing"
"All",1,13320,3826,0.712763,13320,554
"All",2,9408,2601,0.515707,13320,554
"All",3,6723,1860,0.373031,13320,554
"All",4,4800,996,0.295627,13320,554
"All",5,3743,714,0.239234,13320,554
"All",6,2986,679,0.184834,13320,554
"All",7,2266,425,0.150167,13320,554
"All",8,1800,346,0.121302,13320,554
"All",9,1425,330,0.093211,13320,554
"All",10,1075,227,0.073528,13320,554
"All",11,830,151,0.060151,13320,554
"All",12,669,166,0.045226,13320,554
"All",13,491,90,0.036936,13320,554
"All",14,395,82,0.029268,13320,554
"All",15,306,92,0.020469,13320,554
"All",16,204,54,0.01505,13320,554
"All",17,147,31,0.011877,13320,554
"All",18,107,37,0.00777,13320,554
"All",19,68,15,0.006056,13320,554
"All",20,51,10,0.004868,13320,554
"All",21,40,13,0.003286,13320,554
"All",22,26,5,0.002654,13320,554
"All",23,20,3,0.002256,13320,554
"All",24,13,4,0.001562,13320,554
"All",25,9,4,0.000868,13320,554
"All",26,5,2,0.000521,13320,554
"All",27,3,2,0.000174,13320,554
"All",30,1,1,0,13320,554
"House",1,11300,3497,0.690531,11300,450
"House",2,7731,2408,0.475449,11300,450
"House",3,5249,1332,0.354798,11300,450
"House",4,3863,887,0.273331,11300,450
"House",5,2921,614,0.215876,11300,450
"House",6,2272,460,0.172169,11300,450
"House",7,1781,361,0.137271,11300,450
"House",8,1391,293,0.108356,11300,450
"House",9,1078,226,0.08564,11300,450
"House",10,839,203,0.064919,11300,450
"House",11,623,129,0.051477,11300,450
"House",12,485,102,0.040651,11300,450
"House",13,374,79,0.032064,11300,450
"House",14,290,65,0.024877,11300,450
"House",15,220,60,0.018093,11300,450
"House",16,153,42,0.013126,11300,450
"House",17,109,26,0.009995,11300,450
"House",18,75,24,0.006797,11300,450
"House",19,49,9,0.005548,11300,450
"House",20,38,7,0.004526,11300,450
"House",21,30,9,0.003168,11300,450
"House",22,21,5,0.002414,11300,450
"House",23,15,3,0.001931,11300,450
"House",24,9,2,0.001502,11300,450
"House",25,7,3,0.000858,11300,450
"House",26,4,1,0.000644,11300,450
"House",27,3,2,0.000215,11300,450
"House",30,1,1,0,11300,450
"Senate",1,2020,329,0.837129,2020,104
"Senate",2,1677,193,0.740787,2020,104
"Senate",3,1474,528,0.47543,2020,104
"Senate",4,937,109,0.420124,2020,104
"Senate",5,822,100,0.369014,2020,104
"Senate",6,714,219,0.255829,2020,104
"Senate",7,485,64,0.22207,2020,104
"Senate",8,409,53,0.193293,2020,104
"Senate",9,347,104,0.135361,2020,104
"Senate",10,236,24,0.121596,2020,104
"Senate",11,207,22,0.108672,2020,104
"Senate",12,184,64,0.070873,2020,104
"Senate",13,117,11,0.06421,2020,104
"Senate",14,105,17,0.053814,2020,104
"Senate",15,86,32,0.03379,2020,104
"Senate",16,51,12,0.02584,2020,104
"Senate",17,38,5,0.02244,2020,104
"Senate",18,32,13,0.013324,2020,104
"Senate",19,19,6,0.009116,2020,104
"Senate",20,13,3,0.007012,2020,104
"Senate",21,10,4,0.004207,2020,104
"Senate",24,4,2,0.002104,2020,104
"Senate",25,2,1,0.001052,2020,104
"Senate",26,1,1,0,2020,104
"1st-49th",1,5766,2199,0.618626,5766,0
"1st-49th",2,3567,1582,0.344259,5766,0
"1st-49th",3,1985,901,0.187999,5766,0
"1st-49th",4,1084,389,0.120534,5766,0
"1st-49th",5,695,233,0.080125,5766,0
"1st-49th",6,462,172,0.050295,5766,0
"1st-49th",7,290,86,0.03538,5766,0
"1st-49th",8,204,60,0.024974,5766,0
"1st-49th",9,144,57,0.015088,5766,0
"1st-49th",10,87,25,0.010753,5766,0
"1st-49th",11,62,15,0.008151,5766,0
"1st-49th",12,47,12,0.00607,5766,0
"1st-49th",13,35,6,0.005029,5766,0
"1st-49th",14,29,6,0.003989,5766,0
"1st-49th",15,23,11,0.002081,5766,0
"1st-49th",16,12,7,0.000867,5766,0
"1st-49th",17,5,2,0.00052,5766,0
"1st-49th",18,3,2,0.000173,5766,0
"1st-49th",23,1,1,0,5766,0
"50th-79th",1,4060,1110,0.726601,4060,0
"50th-79th",2,2950,714,0.550739,4060,0
"50th-79th",3,2236,582,0.407389,4060,0
"50th-79th",4,1654,334,0.325123,4060,0
"50th-79th",5,1320,258,0.261576,4060,0
"50th-79th",6,1062,241,0.202217,4060,0
"50th-79th",7,821,182,0.157389,4060,0
"50th-79th",8,639,142,0.122414,4060,0
"50th-79th",9,497,100,0.097783,4060,0
"50th-79th",10,397,94,0.074631,4060,0
"50th-79th",11,303,65,0.058621,4060,0
"50th-79th",12,238,60,0.043842,4060,0
"50th-79th",13,178,35,0.035222,4060,0
"50th-79th",14,143,42,0.024877,4060,0
"50th-79th",15,101,27,0.018227,4060,0
"50th-79th",16,74,22,0.012808,4060,0
"50th-79th",17,52,16,0.008867,4060,0
"50th-79th",18,36,11,0.006158,4060,0
"50th-79th",19,25,5,0.004926,4060,0
"50th-79th",20,20,4,0.003941,4060,0
"50th-79th",21,16,7,0.002217,4060,0
"50th-79th",22,9,3,0.001478,4060,0
"50th-79th",23,6,1,0.001232,4060,0
"50th-79th",24,5,1,0.000985,4060,0
"50th-79th",25,4,2,0.000493,4060,0
"50th-79th",26,2,1,0.000246,4060,0
"50th-79th",27,1,1,0,4060,0
"80th-103rd",1,2142,350,0.836601,2142,23
"80th-103rd",2,1792,194,0.746032,2142,23
"80th-103rd",3,1598,242,0.633053,2142,23
"80th-103rd",4,1355,181,0.54849,2142,23
"80th-103rd",5,1174,157,0.47514,2142,23
"80th-103rd",6,1017,183,0.389643,2142,23
"80th-103rd",7,834,104,0.341055,2142,23
"80th-103rd",8,729,107,0.290996,2142,23
"80th-103rd",9,622,145,0.223159,2142,23
"80th-103rd",10,476,89,0.181434,2142,23
"80th-103rd",11,387,63,0.151898,2142,23
"80th-103rd",12,324,86,0.11158,2142,23
"80th-103rd",13,238,42,0.091889,2142,23
"80th-103rd",14,196,29,0.078293,2142,23
"80th-103rd",15,167,52,0.053914,2142,23
"80th-103rd",16,115,25,0.042194,2142,23
"80th-103rd",17,90,13,0.036099,2142,23
"80th-103rd",18,68,24,0.023358,2142,23
"80th-103rd",19,42,10,0.017797,2142,23
"80th-103rd",20,30,6,0.014237,2142,23
"80th-103rd",21,23,6,0.010523,2142,23
"80th-103rd",22,16,2,0.009208,2142,23
"80th-103rd",23,13,1,0.0085,2142,23
"80th-103rd",24,8,3,0.005312,2142,23
"80th-103rd",25,5,2,0.003187,2142,23
"80th-103rd",26,3,1,0.002125,2142,23
"80th-103rd",27,2,1,0.001062,2142,23
"80th-103rd",30,1,1,0,2142,23
"104th-119th",1,1352,167,0.876479,1352,531
"104th-119th",2,1099,111,0.787954,1352,531
"104th-119th",3,904,135,0.670284,1352,531
"104th-119th",4,707,92,0.583062,1352,531
"104th-119th",5,554,66,0.513599,1352,531
"104th-119th",6,445,83,0.417805,1352,531
"104th-119th",7,321,53,0.348821,1352,531
"104th-119th",8,228,37,0.292214,1352,531
"104th-119th",9,162,28,0.241708,1352,531
"104th-119th",10,115,19,0.201774,1352,531
"104th-119th",11,78,8,0.181079,1352,531
"104th-119th",12,60,8,0.156935,1352,531
"104th-119th",13,40,7,0.129471,1352,531
"104th-119th",14,27,5,0.105495,1352,531
"104th-119th",15,15,2,0.091429,1352,531
