"year","districts_with","districts_total","status"
1946,0,435,"none"
1948,0,435,"none"
1950,0,435,"none"
1952,435,435,"complete"
1954,435,435,"complete"
1956,435,435,"complete"
1958,417,436,"partial"
1960,437,437,"complete"
1962,219,435,"partial"
1964,435,435,"complete"
1966,223,435,"partial"
1968,435,435,"complete"
1970,435,435,"complete"
1972,435,435,"complete"
1974,431,435,"partial"
1976,435,435,"complete"
1978,435,435,"complete"
1980,435,435,"complete"
1982,435,435,"complete"
1984,435,435,"complete"
1986,435,435,"complete"
1988,435,435,"complete"
1990,435,435,"complete"
1992,435,435,"complete"
1994,435,435,"complete"
1996,435,435,"complete"
1998,435,435,"complete"
2000,435,435,"complete"
2002,435,435,"complete"
2004,435,435,"complete"
2006,435,435,"complete"
2008,435,435,"complete"
2010,435,435,"complete"
2012,435,435,"complete"
2014,435,435,"complete"
2016,371,435,"partial"
2018,392,435,"partial"
2020,408,435,"partial"
2022,400,435,"partial"
2024,397,435,"partial"
