"key","value","note"
"prov_rows","102","documents the assembly reads"
"prov_states","51","jurisdictions they come from"
"prov_formats","11","distinct file formats among them"
"prov_pdf","32","of the documents that are PDFs"
"prov_scan","1","that are scans, with no text layer at all"
"prov_uncertified","3","whose page does not say the returns are certified"
"off_rows","3197","rows in the certified assembly for 2024"
"off_total","155205623","votes for president it accounts for"
"nocode_rows","50","rows in the certified file that are not counties"
"ct_certified","8","Connecticut units in the certified file"
"ct_compilation","9","Connecticut units in the compilation, and they are not counties"
"ri_certified","40","Rhode Island towns in the certified file"
"ri_compilation","5","Rhode Island counties in the compilation"
"matched","3138","counties carrying a code in both files"
"diff_dem","42","counties where the two disagree on the Democratic vote"
"diff_gop","47","counties where the two disagree on the Republican vote"
"diff_total","1588","counties where they disagree on votes cast"
"diff_total_pct","50.6","the same, as a share of the counties that can be compared"
"dt_median","21","the median size of that disagreement, in votes"
"dt_over_100","397","counties where it exceeds a hundred votes"
"dt_over_1000","63","counties where it exceeds a thousand"
"dt_max","123973","the largest single disagreement"
"nat_gap","341884","votes separating the two national totals"
"third_zero","107","counties whose compilation total holds no third party"
"third_zero_real","102","of them where the certified return does record third-party votes"
"third_explains","6.4","the share of disagreeing counties this explains"
"kc_county","Jackson Missouri","the largest disagreement's county"
"kc_off","193729","votes the certified return gives it"
"kc_com","317702","votes the compilation gives it"
"kc_dem_gap","95660","Democratic votes that move with it"
