"state_name","county_fips","county_name","votes_dem","votes_gop","total_votes"
"Alabama","01001","Autauga County",7439,20484,28281
"Alabama","01003","Baldwin County",24934,95798,122249
"Alabama","01005","Barbour County",4158,5606,9855
"Alabama","01007","Bibb County",1619,7572,9257
"Alabama","01009","Blount County",2576,25354,28163
"Alabama","01011","Bullock County",2983,1101,4111
"Alabama","01013","Butler County",3251,5172,8480
"Alabama","01015","Calhoun County",13194,34912,48653
"Alabama","01017","Chambers County",5405,8711,14245
"Alabama","01019","Cherokee County",1553,11358,13006
"Alabama","01021","Chilton County",2698,16920,19763
"Alabama","01023","Choctaw County",2515,4103,6656
"Alabama","01025","Clarke County",4927,6965,11958
"Alabama","01027","Clay County",993,5734,6767
"Alabama","01029","Cleburne County",605,6988,7651
"Alabama","01031","Coffee County",4601,17495,22319
"Alabama","01033","Colbert County",7137,19714,27160
"Alabama","01035","Conecuh County",2580,3423,6051
"Alabama","01037","Coosa County",1478,3758,5268
"Alabama","01039","Covington County",2314,14677,17095
"Alabama","01041","Crenshaw County",1457,5000,6486
"Alabama","01043","Cullman County",4039,38704,43146
"Alabama","01045","Dale County",4484,14476,19139
"Alabama","01047","Dallas County",10236,5190,15547
"Alabama","01049","DeKalb County",3758,25633,29660
"Alabama","01051","Elmore County",9774,31374,41624
"Alabama","01053","Escambia County",3964,10884,14957
"Alabama","01055","Etowah County",10027,35653,46137
"Alabama","01057","Fayette County",1142,7158,8369
"Alabama","01059","Franklin County",1568,10417,12097
"Alabama","01061","Geneva County",1391,10929,12401
"Alabama","01063","Greene County",3133,885,4039
"Alabama","01065","Hale County",3868,3369,7305
"Alabama","01067","Henry County",2263,6989,9320
"Alabama","01069","Houston County",11352,32469,44349
"Alabama","01071","Jackson County",3276,20073,23556
"Alabama","01073","Jefferson County",162112,131123,298704
"Alabama","01075","Lamar County",806,6033,6890
"Alabama","01077","Lauderdale County",10326,32708,43637
"Alabama","01079","Lawrence County",2983,13024,16122
"Alabama","01081","Lee County",25798,46020,73127
"Alabama","01083","Limestone County",14581,37887,53332
"Alabama","01085","Lowndes County",3867,1758,5655
"Alabama","01087","Macon County",6084,1682,7834
"Alabama","01089","Madison County",87824,105430,197617
"Alabama","01091","Marengo County",4631,4995,9682
"Alabama","01093","Marion County",1197,12245,13543
"Alabama","01095","Marshall County",5553,34434,40388
"Alabama","01097","Mobile County",72055,100759,175164
"Alabama","01099","Monroe County",3740,6007,9815
"Alabama","01101","Montgomery County",57946,30477,89798
"Alabama","01103","Morgan County",12392,40449,53543
"Alabama","01105","Perry County",3174,1269,4465
"Alabama","01107","Pickens County",3388,5465,8912
"Alabama","01109","Pike County",4899,8224,13234
"Alabama","01111","Randolph County",1920,9102,11091
"Alabama","01113","Russell County",10422,10078,20718
"Alabama","01115","St. Clair County",7640,35501,43526
"Alabama","01117","Shelby County",33087,79666,114698
"Alabama","01119","Sumter County",3725,1542,5307
"Alabama","01121","Talladega County",10898,22100,33250
"Alabama","01123","Tallapoosa County",4975,14884,20023
"Alabama","01125","Tuscaloosa County",33399,50724,85256
"Alabama","01127","Walker County",4102,25464,29786
"Alabama","01129","Washington County",1863,6534,8441
"Alabama","01131","Wilcox County",3449,1793,5263
"Alabama","01133","Winston County",884,10191,11149
"Alaska","02001","District 1",3367,4861,8584
"Alaska","02002","District 2",4571,4534,9563
"Alaska","02003","District 3",6130,4496,11107
"Alaska","02004","District 4",6161,2691,9270
"Alaska","02005","District 5",3328,4351,8020
"Alaska","02006","District 6",4773,6705,12000
"Alaska","02007","District 7",2513,6777,9609
"Alaska","02008","District 8",2576,7950,10805
"Alaska","02009","District 9",5849,5581,11836
"Alaska","02010","District 10",4070,4357,8763
"Alaska","02011","District 11",4633,4864,9840
"Alaska","02012","District 12",4169,4059,8515
"Alaska","02013","District 13",3682,3589,7577
"Alaska","02014","District 14",4346,2768,7426
"Alaska","02015","District 15",4364,4594,9293
"Alaska","02016","District 16",5344,3929,9669
"Alaska","02017","District 17",4990,2407,7718
"Alaska","02018","District 18",1928,2686,4816
"Alaska","02019","District 19",2825,1971,5025
"Alaska","02020","District 20",3924,3041,7267
"Alaska","02021","District 21",4711,3984,9043
"Alaska","02022","District 22",2660,2594,5463
"Alaska","02023","District 23",4116,6101,10685
"Alaska","02024","District 24",3234,6482,10118
"Alaska","02025","District 25",3172,6891,10460
"Alaska","02026","District 26",2013,7143,9448
"Alaska","02027","District 27",1807,6785,8860
"Alaska","02028","District 28",2213,6713,9279
"Alaska","02029","District 29",2708,7418,10500
"Alaska","02030","District 30",2701,7312,10306
"Alaska","02031","District 31",3240,3475,7003
"Alaska","02032","District 32",1883,3742,5864
"Alaska","02033","District 33",2016,6548,8859
"Alaska","02034","District 34",3759,5836,10012
"Alaska","02035","District 35",4885,4395,9732
"Alaska","02036","District 36",3538,5633,9598
"Alaska","02037","District 37",1921,2208,4350
"Alaska","02038","District 38",2028,1558,3994
"Alaska","02039","District 39",2180,1690,4206
"Alaska","02040","District 40",1362,1688,3293
"Alaska","02099","District 99 - Federal Overseas Absentee",336,51,401
"Arizona","04001","Apache",18872,12795,32019
"Arizona","04003","Cochise",22296,35936,58923
"Arizona","04005","Coconino",41504,27576,70067
"Arizona","04007","Gila",8504,18901,27648
"Arizona","04009","Graham",3867,11177,15183
"Arizona","04011","Greenlee",954,2308,3308
"Arizona","04012","La Paz",2101,5470,7624
"Arizona","04013","Maricopa",980016,1051531,2053945
"Arizona","04015","Mohave",24081,85683,110450
"Arizona","04017","Navajo",20754,29480,50706
"Arizona","04019","Pima",292450,214669,513176
"Arizona","04021","Pinal",80656,126926,209552
"Arizona","04023","Santa Cruz",11265,7699,19121
"Arizona","04025","Yavapai",48717,99346,149402
"Arizona","04027","Yuma",26823,40745,68195
"Arkansas","05001","Arkansas",1503,3951,5547
"Arkansas","05003","Ashley",1774,5145,7030
"Arkansas","05005","Baxter",4341,16253,20954
"Arkansas","05007","Benton",45231,79907,128595
"Arkansas","05009","Boone",2854,13968,17112
"Arkansas","05011","Bradley",961,2213,3209
"Arkansas","05013","Calhoun",379,1674,2092
"Arkansas","05015","Carroll",3812,7470,11538
"Arkansas","05017","Chicot",1796,1658,3490
"Arkansas","05019","Clark",2959,4526,7657
"Arkansas","05021","Clay",907,3968,4967
"Arkansas","05023","Cleburne",1941,10595,12739
"Arkansas","05025","Cleveland",524,2804,3374
"Arkansas","05027","Columbia",2466,5367,7940
"Arkansas","05029","Conway",2449,5893,8541
"Arkansas","05031","Craighead",11210,25152,37242
"Arkansas","05033","Crawford",4753,18615,23834
"Arkansas","05035","Crittenden",7362,7028,14681
"Arkansas","05037","Cross",1642,4753,6534
"Arkansas","05039","Dallas",798,1482,2324
"Arkansas","05041","Desha",1638,1805,3505
"Arkansas","05043","Drew",2050,4203,6365
"Arkansas","05045","Faulkner",17752,35357,54465
"Arkansas","05047","Franklin",1232,5582,6971
"Arkansas","05049","Fulton",906,4040,5043
"Arkansas","05051","Garland",13015,28359,42327
"Arkansas","05053","Grant",1192,6755,8078
"Arkansas","05055","Greene",2935,12617,15820
"Arkansas","05057","Hempstead",1776,4193,6089
"Arkansas","05059","Hot Spring",2818,9226,12283
"Arkansas","05061","Howard",1158,3246,4473
"Arkansas","05063","Independence",2689,11023,14011
"Arkansas","05065","Izard",949,4854,5925
"Arkansas","05067","Jackson",1183,3509,4775
"Arkansas","05069","Jefferson",12802,8468,21608
"Arkansas","05071","Johnson",2107,6766,9059
"Arkansas","05073","Lafayette",698,1589,2325
"Arkansas","05075","Lawrence",965,4608,5692
"Arkansas","05077","Lee",1270,1181,2520
"Arkansas","05079","Lincoln",813,2502,3372
"Arkansas","05081","Little River",1084,3744,4899
"Arkansas","05083","Logan",1464,6567,8205
"Arkansas","05085","Lonoke",6790,23225,30620
"Arkansas","05087","Madison",1491,5885,7501
"Arkansas","05089","Marion",1501,6230,7851
"Arkansas","05091","Miller",3769,11842,15803
"Arkansas","05093","Mississippi",3574,6963,10717
"Arkansas","05095","Monroe",1002,1385,2433
"Arkansas","05097","Montgomery",645,2987,3707
"Arkansas","05099","Nevada",849,2002,2907
"Arkansas","05101","Newton",644,3063,3770
"Arkansas","05103","Ouachita",3412,5056,8626
"Arkansas","05105","Perry",923,3559,4584
"Arkansas","05107","Phillips",2754,2098,4938
"Arkansas","05109","Pike",560,3746,4358
"Arkansas","05111","Poinsett",1235,5731,7079
"Arkansas","05113","Polk",1145,6987,8288
"Arkansas","05115","Pope",5487,18118,24191
"Arkansas","05117","Prairie",524,2628,3200
"Arkansas","05119","Pulaski",92038,57977,153924
"Arkansas","05121","Randolph",1138,5367,6636
"Arkansas","05123","St. Francis",2953,2909,5979
"Arkansas","05125","Saline",16609,39736,57609
"Arkansas","05127","Scott",425,2913,3384
"Arkansas","05129","Searcy",511,3305,3869
"Arkansas","05131","Sebastian",13652,30719,45452
"Arkansas","05133","Sevier",862,3772,4714
"Arkansas","05135","Sharp",1316,5978,7437
"Arkansas","05137","Stone",1089,4808,6030
"Arkansas","05139","Union",5019,10196,15448
"Arkansas","05141","Van Buren",1437,6023,7621
"Arkansas","05143","Washington",43779,50243,97158
"Arkansas","05145","White",5641,24514,30837
"Arkansas","05147","Woodruff",760,1513,2318
"Arkansas","05149","Yell",1213,5147,6477
"California","06001","Alameda County",499551,140789,669907
"California","06003","Alpine County",479,243,738
"California","06005","Amador County",7783,14018,22403
"California","06007","Butte County",44228,47179,94556
"California","06009","Calaveras County",9181,16625,26480
"California","06011","Colusa County",2431,4414,7021
"California","06013","Contra Costa County",356008,155308,528987
"California","06015","Del Norte County",4266,5999,10565
"California","06017","El Dorado County",47703,61109,111908
"California","06019","Fresno County",151628,165924,326049
"California","06021","Glenn County",3260,6904,10442
"California","06023","Humboldt County",39800,21559,64232
"California","06025","Imperial County",26083,26546,54038
"California","06027","Inyo County",4201,4468,8953
"California","06029","Kern County",108241,167879,283284
"California","06031","Kings County",15519,25074,41508
"California","06033","Lake County",12794,13161,26761
"California","06035","Lassen County",2478,8619,11371
"California","06037","Los Angeles County",2417109,1189862,3729089
"California","06039","Madera County",20981,32344,54632
"California","06041","Marin County",116152,24054,144129
"California","06043","Mariposa County",3622,5625,9509
"California","06045","Mendocino County",24049,13528,39219
"California","06047","Merced County",40190,43955,86411
"California","06049","Modoc County",1008,2884,4016
"California","06051","Mono County",3522,2294,6064
"California","06053","Monterey County",93060,49226,146754
"California","06055","Napa County",43212,20357,65561
"California","06057","Nevada County",33784,26177,62144
"California","06059","Orange County",691731,654815,1391307
"California","06061","Placer County",103958,123941,234871
"California","06063","Plumas County",4020,5725,10070
"California","06065","Riverside County",451782,463677,940510
"California","06067","Sacramento County",381564,252140,656747
"California","06069","San Benito County",15179,11702,27652
"California","06071","San Bernardino County",362114,378416,761846
"California","06073","San Diego County",841372,593270,1478028
"California","06075","San Francisco County",323719,62594,402997
"California","06077","San Joaquin County",126647,128996,263709
"California","06079","San Luis Obispo County",81314,64932,150812
"California","06081","San Mateo County",242957,76616,330565
"California","06083","Santa Barbara County",114149,64870,184781
"California","06085","Santa Clara County",510744,210924,750606
"California","06087","Santa Cruz County",100998,27978,134155
"California","06089","Shasta County",27130,59539,88919
"California","06091","Sierra County",641,1066,1755
"California","06093","Siskiyou County",8329,12461,21498
"California","06095","Solano County",113997,70345,189883
"California","06097","Sonoma County",179600,63426,251465
"California","06099","Stanislaus County",85347,106986,197525
"California","06101","Sutter County",13016,25372,39339
"California","06103","Tehama County",7415,18503,26536
"California","06105","Trinity County",2449,2979,5646
"California","06107","Tulare County",53221,81854,138309
"California","06109","Tuolumne County",10909,17210,28816
"California","06111","Ventura County",217424,158901,387704
"California","06113","Yolo County",61405,27844,92621
"California","06115","Yuba County",10725,18491,30072
"Colorado","08001","Adams",124056,103024,233491
"Colorado","08003","Alamosa",3244,4057,7529
"Colorado","08005","Arapahoe",190725,125311,325631
"Colorado","08007","Archuleta",3904,5218,9357
"Colorado","08009","Baca",275,1686,2004
"Colorado","08011","Bent",645,1496,2189
"Colorado","08013","Boulder",150149,40758,196304
"Colorado","08014","Broomfield",29426,16071,46848
"Colorado","08015","Chaffee",7992,6034,14423
"Colorado","08017","Cheyenne",108,930,1055
"Colorado","08019","Clear Creek",3464,2452,6102
"Colorado","08021","Conejos",1627,2358,4105
"Colorado","08023","Costilla",1155,850,2080
"Colorado","08025","Crowley",422,1231,1706
"Colorado","08027","Custer",1188,2583,3867
"Colorado","08029","Delta",6030,12948,19478
"Colorado","08031","Denver",278634,74765,363519
"Colorado","08033","Dolores",325,1076,1419
"Colorado","08035","Douglas",110408,127451,243892
"Colorado","08037","Eagle",16943,10148,27805
"Colorado","08039","Elbert",4768,15209,20422
"Colorado","08041","El Paso",166597,203933,380986
"Colorado","08043","Fremont",7526,17313,25470
"Colorado","08045","Garfield",15128,14493,30376
"Colorado","08047","Gilpin",2254,1729,4130
"Colorado","08049","Grand",4743,4822,9884
"Colorado","08051","Gunnison",6887,3689,10942
"Colorado","08053","Hinsdale",257,332,607
"Colorado","08055","Huerfano",1965,2346,4442
"Colorado","08057","Jackson",173,634,834
"Colorado","08059","Jefferson",210875,140505,361716
"Colorado","08061","Kiowa",102,744,863
"Colorado","08063","Kit Carson",556,3083,3698
"Colorado","08065","Lake",2199,1557,3913
"Colorado","08067","La Plata",20677,14024,35692
"Colorado","08069","Larimer",129376,89680,225654
"Colorado","08071","Las Animas",3276,4328,7793
"Colorado","08073","Lincoln",432,2090,2571
"Colorado","08075","Logan",2098,7855,10166
"Colorado","08077","Mesa",33573,55839,91620
"Colorado","08079","Mineral",317,417,753
"Colorado","08081","Moffat",1167,5358,6671
"Colorado","08083","Montezuma",5793,8972,15139
"Colorado","08085","Montrose",8354,16704,25626
"Colorado","08087","Morgan",3291,9830,13465
"Colorado","08089","Otero",3164,5520,8926
"Colorado","08091","Ouray",2442,1573,4098
"Colorado","08093","Park",4841,6828,12049
"Colorado","08095","Phillips",412,1888,2355
"Colorado","08097","Pitkin",7932,2992,11169
"Colorado","08099","Prowers",1227,3833,5145
"Colorado","08101","Pueblo",39328,43688,85120
"Colorado","08103","Rio Blanco",637,2988,3692
"Colorado","08105","Rio Grande",2306,3743,6194
"Colorado","08107","Routt",10208,5676,16335
"Colorado","08109","Saguache",1704,1577,3401
"Colorado","08111","San Juan",376,188,589
"Colorado","08113","San Miguel",3529,1154,4804
"Colorado","08115","Sedgwick",283,1048,1358
"Colorado","08117","Summit",11762,5244,17545
"Colorado","08119","Teller",5065,10856,16338
"Colorado","08121","Washington",329,2436,2806
"Colorado","08123","Weld",68752,106469,179921
"Colorado","08125","Yuma",758,3807,4663
"Connecticut","09001","Fairfield County",267019,178263,452303
"Connecticut","09003","Hartford County",259366,162572,429325
"Connecticut","09005","Litchfield County",47940,56452,105969
"Connecticut","09007","Middlesex County",54173,41654,97519
"Connecticut","09009","New Haven County",219007,171445,398023
"Connecticut","09011","New London County",76252,58909,137617
"Connecticut","09013","Tolland County",43367,36818,81632
"Connecticut","09015","Windham County",25073,30911,56887
"Delaware","10001","Kent County",44222,42458,88289
"Delaware","10003","New Castle County",180700,90868,276859
"Delaware","10005","Sussex County",64836,81025,147764
"District of Columbia","","Ward 1",36882,2056,40463
"District of Columbia","","Ward 2",33571,2982,37959
"District of Columbia","","Ward 3",39521,3544,44584
"District of Columbia","","Ward 4",38628,2511,42403
"District of Columbia","","Ward 5",41413,2309,45114
"District of Columbia","","Ward 6",43262,3638,48678
"District of Columbia","","Ward 7",33972,2092,37037
"District of Columbia","","Ward 8",26936,1944,29631
"Florida","12001","Alachua County",81578,52939,136548
"Florida","12003","Baker County",1982,12926,14977
"Florida","12005","Bay County",25201,71497,97777
"Florida","12007","Bradford County",2946,10920,13932
"Florida","12009","Brevard County",141233,216533,361449
"Florida","12011","Broward County",507328,358952,874539
"Florida","12013","Calhoun County",1021,5367,6428
"Florida","12015","Charlotte County",40450,82480,123676
"Florida","12017","Citrus County",26276,71356,98237
"Florida","12019","Clay County",37926,87711,126811
"Florida","12021","Collier County",71720,143267,216370
"Florida","12023","Columbia County",8250,25108,33592
"Florida","12027","Desoto County",3525,8888,12488
"Florida","12029","Dixie County",1183,6920,8148
"Florida","12031","Duval County",229365,236285,471282
"Florida","12033","Escambia County",64601,96407,162755
"Florida","12035","Flagler County",28431,51014,79968
"Florida","12037","Franklin County",1870,4831,6758
"Florida","12039","Gadsden County",14203,7495,21868
"Florida","12041","Gilchrist County",1662,8931,10686
"Florida","12043","Glades County",1222,4034,5279
"Florida","12045","Gulf County",1970,6684,8697
"Florida","12047","Hamilton County",1727,3964,5733
"Florida","12049","Hardee County",1751,6336,8143
"Florida","12051","Hendry County",4096,9253,13460
"Florida","12053","Hernando County",34431,75446,110691
"Florida","12055","Highlands County",15227,36382,51905
"Florida","12057","Hillsborough County",321455,342017,671993
"Florida","12059","Holmes County",882,8193,9116
"Florida","12061","Indian River County",35654,62737,99017
"Florida","12063","Jackson County",5892,16074,22098
"Florida","12065","Jefferson County",3429,5011,8502
"Florida","12067","Lafayette County",441,3296,3756
"Florida","12069","Lake County",84546,140500,226788
"Florida","12071","Lee County",139240,250661,392532
"Florida","12073","Leon County",94520,60397,156802
"Florida","12075","Levy County",5994,18245,24378
"Florida","12077","Liberty County",566,2898,3490
"Florida","12079","Madison County",3231,5874,9156
"Florida","12081","Manatee County",86674,140486,228860
"Florida","12083","Marion County",72436,140173,214106
"Florida","12085","Martin County",33539,64121,98291
"Florida","12086","Miami-Dade County",480355,605590,1094105
"Florida","12087","Monroe County",17933,26064,44328
"Florida","12089","Nassau County",17143,47945,65625
"Florida","12091","Okaloosa County",32074,80309,113636
"Florida","12093","Okeechobee County",3671,12315,16058
"Florida","12095","Orange County",340807,258279,607199
"Florida","12097","Osceola County",84205,86713,172780
"Florida","12099","Palm Beach County",372512,366836,745709
"Florida","12101","Pasco County",117450,197779,318471
"Florida","12103","Pinellas County",242452,269472,517074
"Florida","12105","Polk County",136879,209044,348931
"Florida","12107","Putnam County",9354,26700,36272
"Florida","12109","St. Johns County",66862,128759,197457
"Florida","12111","St. Lucie County",83517,100293,185131
"Florida","12113","Santa Rosa County",27035,84314,112425
"Florida","12115","Sarasota County",112668,163219,277866
"Florida","12117","Seminole County",120717,129735,253727
"Florida","12119","Sumter County",32551,72134,105218
"Florida","12121","Suwannee County",4217,17561,21891
"Florida","12123","Taylor County",1991,7954,9997
"Florida","12125","Union County",971,5224,6231
"Florida","12127","Volusia County",120132,187691,310498
"Florida","12129","Wakulla County",5441,14246,19856
"Florida","12131","Walton County",10287,38970,49601
"Florida","12133","Washington County",2140,10370,12584
"Georgia","13001","Appling County",1560,6761,8334
"Georgia","13003","Atkinson County",700,2350,3057
"Georgia","13005","Bacon County",645,4186,4839
"Georgia","13007","Baker County",590,883,1476
"Georgia","13009","Baldwin County",9159,9574,18825
"Georgia","13011","Banks County",1136,9358,10519
"Georgia","13013","Barrow County",12949,30730,43934
"Georgia","13015","Bartow County",13942,43271,57547
"Georgia","13017","Ben Hill County",2199,4281,6501
"Georgia","13019","Berrien County",1209,6841,8068
"Georgia","13021","Bibb County",42172,26658,69181
"Georgia","13023","Bleckley County",1339,4685,6044
"Georgia","13025","Brantley County",736,7744,8500
"Georgia","13027","Brooks County",2629,4560,7210
"Georgia","13029","Bryan County",7779,16738,24651
"Georgia","13031","Bulloch County",11514,20985,32657
"Georgia","13033","Burke County",4994,6027,11070
"Georgia","13035","Butts County",3544,9424,13019
"Georgia","13037","Calhoun County",1153,900,2056
"Georgia","13039","Camden County",8405,17819,26393
"Georgia","13043","Candler County",1196,3366,4568
"Georgia","13045","Carroll County",17634,42536,60494
"Georgia","13047","Catoosa County",7704,27150,35038
"Georgia","13049","Charlton County",1007,3607,4628
"Georgia","13051","Chatham County",82758,57336,141109
"Georgia","13053","Chattahoochee County",703,982,1694
"Georgia","13055","Chattooga County",1896,8769,10706
"Georgia","13057","Cherokee County",48838,112142,162281
"Georgia","13059","Clarke County",36297,16049,52887
"Georgia","13061","Clay County",771,663,1442
"Georgia","13063","Clayton County",94203,16877,111729
"Georgia","13065","Clinch County",702,2201,2908
"Georgia","13067","Cobb County",228404,168679,401369
"Georgia","13069","Coffee County",4295,11388,15715
"Georgia","13071","Colquitt County",4114,12451,16611
"Georgia","13073","Columbia County",31624,53657,85920
"Georgia","13075","Cook County",1956,5374,7357
"Georgia","13077","Coweta County",28111,57204,85916
"Georgia","13079","Crawford County",1582,4742,6340
"Georgia","13081","Crisp County",2993,5099,8116
"Georgia","13083","Dade County",1343,6804,8200
"Georgia","13085","Dawson County",3350,16115,19580
"Georgia","13087","Decatur County",4372,7140,11549
"Georgia","13089","DeKalb County",299630,62622,366008
"Georgia","13091","Dodge County",2081,6249,8350
"Georgia","13093","Dooly County",1921,2243,4177
"Georgia","13095","Dougherty County",23831,9904,33850
"Georgia","13097","Douglas County",46240,23996,70721
"Georgia","13099","Early County",2158,2718,4879
"Georgia","13101","Echols County",127,1307,1438
"Georgia","13103","Effingham County",9144,26943,36244
"Georgia","13105","Elbert County",2700,6860,9589
"Georgia","13107","Emanuel County",2673,6919,9619
"Georgia","13109","Evans County",1214,3011,4244
"Georgia","13111","Fannin County",2807,13232,16096
"Georgia","13113","Fayette County",35822,38177,74633
"Georgia","13115","Floyd County",12862,31631,44738
"Georgia","13117","Forsyth County",45509,91281,138249
"Georgia","13119","Franklin County",1647,10459,12140
"Georgia","13121","Fulton County",384752,144655,535238
"Georgia","13123","Gilmer County",3413,14976,18481
"Georgia","13125","Glascock County",133,1534,1670
"Georgia","13127","Glynn County",16144,27558,43912
"Georgia","13129","Gordon County",4982,22495,27606
"Georgia","13131","Grady County",3290,7385,10718
"Georgia","13133","Greene County",4514,8215,12786
"Georgia","13135","Gwinnett County",242507,173041,420681
"Georgia","13137","Habersham County",4036,19142,23280
"Georgia","13139","Hall County",28347,72991,101973
"Georgia","13141","Hancock County",2864,1364,4240
"Georgia","13143","Haralson County",2065,14239,16364
"Georgia","13145","Harris County",5976,16283,22353
"Georgia","13147","Hart County",3210,11064,14331
"Georgia","13149","Heard County",859,5335,6210
"Georgia","13151","Henry County",83253,44982,129034
"Georgia","13153","Houston County",35907,45090,81514
"Georgia","13155","Irwin County",986,3340,4342
"Georgia","13157","Jackson County",10472,36497,47243
"Georgia","13159","Jasper County",1881,7203,9118
"Georgia","13161","Jeff Davis County",924,4935,5872
"Georgia","13163","Jefferson County",3674,3765,7463
"Georgia","13165","Jenkins County",1179,2217,3409
"Georgia","13167","Johnson County",1066,2913,3984
"Georgia","13169","Jones County",4959,11079,16092
"Georgia","13171","Lamar County",2795,7575,10412
"Georgia","13173","Lanier County",995,2726,3736
"Georgia","13175","Laurens County",7820,15460,23352
"Georgia","13177","Lee County",4957,12655,17683
"Georgia","13179","Liberty County",13459,9441,23028
"Georgia","13181","Lincoln County",1351,3559,4931
"Georgia","13183","Long County",2476,4557,7056
"Georgia","13185","Lowndes County",19487,28081,47795
"Georgia","13187","Lumpkin County",3356,14339,17808
