"state_name","county_fips","county_name","votes_dem","votes_gop","total_votes"
"Alaska","02001","District 1",3477,3511,7360
"Alaska","02002","District 2",2104,3674,6161
"Alaska","02003","District 3",1903,6076,8421
"Alaska","02004","District 4",5345,4690,10587
"Alaska","02005","District 5",4204,4077,8706
"Alaska","02006","District 6",3272,5770,9518
"Alaska","02007","District 7",2215,7027,9664
"Alaska","02008","District 8",1953,7618,9957
"Alaska","02009","District 9",2769,7787,11047
"Alaska","02010","District 10",2727,8081,11256
"Alaska","02011","District 11",3130,7096,10686
"Alaska","02012","District 12",2957,7893,11280
"Alaska","02013","District 13",2666,4652,7765
"Alaska","02014","District 14",4261,6714,11534
"Alaska","02015","District 15",2622,2671,5593
"Alaska","02016","District 16",4274,3516,8170
"Alaska","02017","District 17",4136,2810,7271
"Alaska","02018","District 18",4681,2760,7759
"Alaska","02019","District 19",3118,1975,5338
"Alaska","02020","District 20",4881,2383,7544
"Alaska","02021","District 21",5414,3690,9482
"Alaska","02022","District 22",4553,4684,9597
"Alaska","02023","District 23",3810,3655,7796
"Alaska","02024","District 24",4736,5378,10484
"Alaska","02025","District 25",4600,4407,9369
"Alaska","02026","District 26",4558,5243,10181
"Alaska","02027","District 27",4844,4324,9531
"Alaska","02028","District 28",6264,6162,12831
"Alaska","02029","District 29",2985,7464,10784
"Alaska","02030","District 30",2638,7180,10226
"Alaska","02031","District 31",5037,6971,12481
"Alaska","02032","District 32",3506,4440,8361
"Alaska","02033","District 33",7535,3059,11016
"Alaska","02034","District 34",5763,4543,10794
"Alaska","02035","District 35",5011,4769,10149
"Alaska","02036","District 36",3796,5114,9331
"Alaska","02037","District 37",2560,2358,5168
"Alaska","02038","District 38",3202,1737,5336
"Alaska","02039","District 39",3580,1939,5930
"Alaska","02040","District 40",2318,1994,4628
"Alaska","02099","District 99 - Federal Overseas Absentee",373,59,438
