"state_name","county_fips","county_name","votes_dem","votes_gop","total_votes"
"California","06001","Alameda County",499551,140789,669907
"California","06003","Alpine County",479,243,738
"California","06005","Amador County",7783,14018,22403
"California","06007","Butte County",44228,47179,94556
"California","06009","Calaveras County",9181,16625,26480
"California","06011","Colusa County",2431,4414,7021
"California","06013","Contra Costa County",356008,155308,528987
"California","06015","Del Norte County",4266,5999,10565
"California","06017","El Dorado County",47703,61109,111908
"California","06019","Fresno County",151628,165924,326049
"California","06021","Glenn County",3260,6904,10442
"California","06023","Humboldt County",39800,21559,64232
"California","06025","Imperial County",26083,26546,54038
"California","06027","Inyo County",4201,4468,8953
"California","06029","Kern County",108241,167879,283284
"California","06031","Kings County",15519,25074,41508
"California","06033","Lake County",12794,13161,26761
"California","06035","Lassen County",2478,8619,11371
"California","06037","Los Angeles County",2417109,1189862,3729089
"California","06039","Madera County",20981,32344,54632
"California","06041","Marin County",116152,24054,144129
"California","06043","Mariposa County",3622,5625,9509
"California","06045","Mendocino County",24049,13528,39219
"California","06047","Merced County",40190,43955,86411
"California","06049","Modoc County",1008,2884,4016
"California","06051","Mono County",3522,2294,6064
"California","06053","Monterey County",93060,49226,146754
"California","06055","Napa County",43212,20357,65561
"California","06057","Nevada County",33784,26177,62144
"California","06059","Orange County",691731,654815,1391307
"California","06061","Placer County",103958,123941,234871
"California","06063","Plumas County",4020,5725,10070
"California","06065","Riverside County",451782,463677,940510
"California","06067","Sacramento County",381564,252140,656747
"California","06069","San Benito County",15179,11702,27652
"California","06071","San Bernardino County",362114,378416,761846
"California","06073","San Diego County",841372,593270,1478028
"California","06075","San Francisco County",323719,62594,402997
"California","06077","San Joaquin County",126647,128996,263709
"California","06079","San Luis Obispo County",81314,64932,150812
"California","06081","San Mateo County",242957,76616,330565
"California","06083","Santa Barbara County",114149,64870,184781
"California","06085","Santa Clara County",510744,210924,750606
"California","06087","Santa Cruz County",100998,27978,134155
"California","06089","Shasta County",27130,59539,88919
"California","06091","Sierra County",641,1066,1755
"California","06093","Siskiyou County",8329,12461,21498
"California","06095","Solano County",113997,70345,189883
"California","06097","Sonoma County",179600,63426,251465
"California","06099","Stanislaus County",85347,106986,197525
"California","06101","Sutter County",13016,25372,39339
"California","06103","Tehama County",7415,18503,26536
"California","06105","Trinity County",2449,2979,5646
"California","06107","Tulare County",53221,81854,138309
"California","06109","Tuolumne County",10909,17210,28816
"California","06111","Ventura County",217424,158901,387704
"California","06113","Yolo County",61405,27844,92621
"California","06115","Yuba County",10725,18491,30072
