state_name,county_fips,county_name,votes_dem,votes_gop,total_votes
Colorado,08001,Adams,134202,95657,236740
Colorado,08003,Alamosa,3759,3813,7808
Colorado,08005,Arapahoe,213607,127323,350183
Colorado,08007,Archuleta,3738,5189,9144
Colorado,08009,Baca,317,1867,2225
Colorado,08011,Bent,732,1503,2274
Colorado,08013,Boulder,159089,42501,206111
Colorado,08014,Broomfield,29077,16295,46632
Colorado,08015,Chaffee,7160,6222,13718
Colorado,08017,Cheyenne,131,993,1136
Colorado,08019,Clear Creek,3604,2754,6548
Colorado,08021,Conejos,1959,2286,4333
Colorado,08023,Costilla,1311,741,2094
Colorado,08025,Crowley,437,1271,1750
Colorado,08027,Custer,1112,2474,3635
Colorado,08029,Delta,5887,13081,19370
Colorado,08031,Denver,313293,71618,393829
Colorado,08033,Dolores,341,1089,1449
Colorado,08035,Douglas,104653,121270,231605
Colorado,08037,Eagle,18588,9892,29140
Colorado,08039,Elbert,4490,14027,18983
Colorado,08041,El Paso,161941,202828,378851
Colorado,08043,Fremont,7369,17517,25557
Colorado,08045,Garfield,15427,14717,30904
Colorado,08047,Gilpin,2223,1833,4186
Colorado,08049,Grand,4710,4883,9870
Colorado,08051,Gunnison,7132,3735,11190
Colorado,08053,Hinsdale,255,353,632
Colorado,08055,Huerfano,2076,2203,4406
Colorado,08057,Jackson,175,681,876
Colorado,08059,Jefferson,218396,148417,377358
Colorado,08061,Kiowa,98,795,903
Colorado,08063,Kit Carson,662,3144,3871
Colorado,08065,Lake,2303,1497,3961
Colorado,08067,La Plata,20548,14233,35667
Colorado,08069,Larimer,126120,91489,224338
Colorado,08071,Las Animas,3497,4284,7961
Colorado,08073,Lincoln,470,2135,2651
Colorado,08075,Logan,2218,8087,10532
Colorado,08077,Mesa,31536,56894,90623
Colorado,08079,Mineral,317,427,756
Colorado,08081,Moffat,1203,5670,7026
Colorado,08083,Montezuma,5836,9306,15500
Colorado,08085,Montrose,7687,16770,24922
Colorado,08087,Morgan,3876,9593,13744
Colorado,08089,Otero,3605,5756,9576
Colorado,08091,Ouray,2365,1577,4020
Colorado,08093,Park,4903,6991,12291
Colorado,08095,Phillips,486,1958,2485
Colorado,08097,Pitkin,8989,2780,11957
Colorado,08099,Prowers,1458,4008,5561
Colorado,08101,Pueblo,43772,42252,88301
Colorado,08103,Rio Blanco,561,3061,3691
Colorado,08105,Rio Grande,2495,3660,6305
Colorado,08107,Routt,10582,5925,16876
Colorado,08109,Saguache,1884,1413,3389
Colorado,08111,San Juan,342,202,562
Colorado,08113,San Miguel,3924,1136,5147
Colorado,08115,Sedgwick,301,1121,1446
Colorado,08117,Summit,12631,5322,18479
Colorado,08119,Teller,5278,11241,16939
Colorado,08121,Washington,369,2595,3008
Colorado,08123,Weld,66060,96145,166974
Colorado,08125,Yuma,785,4107,4981
