"state_name","county_fips","county_name","votes_dem","votes_gop","total_votes"
"Florida","12001","Alachua County",89704,50972,142604
"Florida","12003","Baker County",2037,11911,14059
"Florida","12005","Bay County",25614,66097,93024
"Florida","12007","Bradford County",3160,10334,13632
"Florida","12009","Brevard County",148549,207883,360764
"Florida","12011","Broward County",618752,333409,957672
"Florida","12013","Calhoun County",1209,5274,6526
"Florida","12015","Charlotte County",42273,73243,116340
"Florida","12017","Citrus County",27092,65352,93208
"Florida","12019","Clay County",38317,84480,124405
"Florida","12021","Collier County",77621,128950,207818
"Florida","12023","Columbia County",8914,23836,33042
"Florida","12027","Desoto County",4259,8313,12659
"Florida","12029","Dixie County",1365,6759,8167
"Florida","12031","Duval County",252556,233762,492820
"Florida","12033","Escambia County",70929,96674,170372
"Florida","12035","Flagler County",28161,43043,71716
"Florida","12037","Franklin County",2120,4675,6849
"Florida","12039","Gadsden County",16153,7465,23762
"Florida","12041","Gilchrist County",1700,7895,9685
"Florida","12043","Glades County",1385,3782,5193
"Florida","12045","Gulf County",1985,6113,8163
"Florida","12047","Hamilton County",1963,3815,5830
"Florida","12049","Hardee County",2298,6122,8485
"Florida","12051","Hendry County",4929,7906,12940
"Florida","12053","Hernando County",37519,70412,108922
"Florida","12055","Highlands County",16938,34873,52170
"Florida","12057","Hillsborough County",376367,327398,712063
"Florida","12059","Holmes County",924,8080,9068
"Florida","12061","Indian River County",37844,58872,97484
"Florida","12063","Jackson County",6766,15488,22419
"Florida","12065","Jefferson County",3897,4479,8451
"Florida","12067","Lafayette County",510,3128,3658
"Florida","12069","Lake County",83505,125859,211314
"Florida","12071","Lee County",157695,233247,393899
"Florida","12073","Leon County",103517,57453,162929
"Florida","12075","Levy County",6205,16749,23145
"Florida","12077","Liberty County",694,2846,3561
"Florida","12079","Madison County",3747,5576,9380
"Florida","12081","Manatee County",90166,124987,216958
"Florida","12083","Marion County",74858,127826,204376
"Florida","12085","Martin County",36893,61168,98726
"Florida","12086","Miami-Dade County",617864,532833,1156816
"Florida","12087","Monroe County",21881,25693,48029
"Florida","12089","Nassau County",15564,42566,58811
"Florida","12091","Okaloosa County",34248,79798,116373
"Florida","12093","Okeechobee County",4390,11470,15954
"Florida","12095","Orange County",395014,245398,647403
"Florida","12097","Osceola County",97297,73480,172436
"Florida","12099","Palm Beach County",433572,334711,773158
"Florida","12101","Pasco County",119073,179621,301970
"Florida","12103","Pinellas County",277450,276209,559715
"Florida","12105","Polk County",145049,194586,343256
"Florida","12107","Putnam County",10527,25514,36373
"Florida","12109","St. Johns County",63850,110946,176622
"Florida","12111","St. Lucie County",84137,86831,172169
"Florida","12113","Santa Rosa County",27612,77385,106928
"Florida","12115","Sarasota County",120110,148370,270575
"Florida","12117","Seminole County",132528,125241,260815
"Florida","12119","Sumter County",29341,62761,92485
"Florida","12121","Suwannee County",4485,16410,21057
"Florida","12123","Taylor County",2299,7751,10127
"Florida","12125","Union County",1053,5133,6245
"Florida","12127","Volusia County",130575,173821,307439
"Florida","12129","Wakulla County",5351,12874,18404
"Florida","12131","Walton County",10338,32947,43711
"Florida","12133","Washington County",2347,9876,12327
