state_name,county_fips,county_name,votes_dem,votes_gop,total_votes
Illinois,17001,Adams,8633,24220,33527
Illinois,17003,Alexander,1114,1486,2621
Illinois,17005,Bond,2288,5625,8165
Illinois,17007,Boone,10542,13883,25048
Illinois,17009,Brown,486,1931,2525
Illinois,17011,Bureau,6669,10411,17494
Illinois,17013,Calhoun,677,2046,2773
Illinois,17015,Carroll,2748,5105,8037
Illinois,17017,Cass,1615,3625,5326
Illinois,17019,Champaign,57067,35285,95573
Illinois,17021,Christian,4335,11563,16231
Illinois,17023,Clark,1993,6226,8369
Illinois,17025,Clay,1129,5629,6899
Illinois,17027,Clinton,4493,14304,19214
Illinois,17029,Coles,8067,14037,22668
Illinois,17031,Cook,1725973,558269,2325405
Illinois,17033,Crawford,2202,7043,9441
Illinois,17035,Cumberland,1142,4601,5849
Illinois,17037,DeKalb,24643,21905,47989
Illinois,17039,DeWitt,2191,5632,8039
Illinois,17041,Douglas,2335,6227,8760
Illinois,17043,DuPage,281222,193611,487723
Illinois,17045,Edgar,1887,6193,8212
Illinois,17047,Edwards,488,2833,3368
Illinois,17049,Effingham,3716,15006,19083
Illinois,17051,Fayette,1826,8055,10076
Illinois,17053,Ford,1754,5048,6967
Illinois,17055,Franklin,4760,13622,18669
Illinois,17057,Fulton,6503,9867,16724
Illinois,17059,Gallatin,622,2019,2675
Illinois,17061,Greene,1349,4770,6237
Illinois,17063,Grundy,9626,16523,26756
Illinois,17065,Hamilton,824,3432,4323
Illinois,17067,Hancock,2315,6906,9403
Illinois,17069,Hardin,449,1691,2162
Illinois,17071,Henderson,1187,2394,3656
Illinois,17073,Henry,9797,15300,25701
Illinois,17075,Iroquois,2908,10877,14043
Illinois,17077,Jackson,11181,10890,22718
Illinois,17079,Jasper,1007,4494,5586
Illinois,17081,Jefferson,4608,12476,17436
Illinois,17083,Jersey,2961,8712,11960
Illinois,17085,JoDaviess,5109,7166,12525
Illinois,17087,Johnson,1281,5059,6450
Illinois,17089,Kane,130166,96775,231863
Illinois,17091,Kankakee,20271,28532,50040
Illinois,17093,Kendall,33168,29492,64205
Illinois,17095,Knox,10703,12009,23208
Illinois,17097,Lake,204032,123594,335675
Illinois,17099,LaSalle,22442,30113,53687
Illinois,17101,Lawrence,1419,4886,6422
Illinois,17103,Lee,6407,9630,16440
Illinois,17105,Livingston,4615,12208,17214
Illinois,17107,Logan,3840,9136,13327
Illinois,17109,McDonough,4992,7027,12327
Illinois,17111,McHenry,78154,82260,164578
Illinois,17113,McLean,43933,40502,87387
Illinois,17115,Macon,19847,28589,49534
Illinois,17117,Macoupin,7365,16153,24070
Illinois,17119,Madison,57836,76031,137558
Illinois,17121,Marion,4524,12678,17494
Illinois,17123,Marshall,2005,4197,6345
Illinois,17125,Mason,1985,4654,6785
Illinois,17127,Massac,1725,4997,6818
Illinois,17129,Menard,2022,4764,6954
Illinois,17131,Mercer,3280,5418,8914
Illinois,17133,Monroe,6569,14142,21206
Illinois,17135,Montgomery,3905,9544,13761
Illinois,17137,Morgan,5076,9950,15333
Illinois,17139,Moultrie,1662,4964,6756
Illinois,17141,Ogle,9428,16248,26340
Illinois,17143,Peoria,43578,38252,83967
Illinois,17145,Perry,2612,7313,10071
Illinois,17147,Piatt,3329,6248,9851
Illinois,17149,Pike,1484,6332,7965
Illinois,17151,Pope,433,1722,2176
Illinois,17153,Pulaski,891,1699,2631
Illinois,17155,Putnam,1338,1993,3395
Illinois,17157,Randolph,3592,11076,14910
Illinois,17159,Richland,1830,6089,8077
Illinois,17161,Rock Island,36691,28603,66947
Illinois,17163,St. Clair,68325,57150,128505
Illinois,17165,Saline,2789,8103,11089
Illinois,17167,Sangamon,48917,53485,105142
Illinois,17169,Schuyler,1068,2773,3918
Illinois,17171,Scott,572,2114,2743
Illinois,17173,Shelby,2504,9426,12115
Illinois,17175,Stark,815,2004,2886
Illinois,17177,Stephenson,9055,12521,22111
Illinois,17179,Tazewell,24819,42513,69276
Illinois,17181,Union,2579,6161,8904
Illinois,17183,Vermilion,10323,20725,31642
Illinois,17185,Wabash,1253,4237,5607
Illinois,17187,Warren,3090,4676,7924
Illinois,17189,Washington,1641,6115,7921
Illinois,17191,Wayne,1187,7176,8499
Illinois,17193,White,1517,5791,7431
Illinois,17195,Whiteside,12253,14527,27433
Illinois,17197,Will,183915,155116,346266
Illinois,17199,Williamson,10206,22801,33730
Illinois,17201,Winnebago,64056,60861,128160
Illinois,17203,Woodford,6160,14799,21502
