state_name,county_fips,county_name,votes_dem,votes_gop,total_votes
Kentucky,21001,Adair,1392,7276,8768
Kentucky,21003,Allen,1642,7587,9364
Kentucky,21005,Anderson,3348,9661,13254
Kentucky,21007,Ballard,825,3356,4225
Kentucky,21009,Barren,5127,14654,20064
Kentucky,21011,Bath,1573,3986,5627
Kentucky,21013,Bell,1789,8140,10044
Kentucky,21015,Boone,20901,44814,66998
Kentucky,21017,Bourbon,3296,6190,9648
Kentucky,21019,Boyd,7083,14295,21751
Kentucky,21021,Boyle,5298,8872,14478
Kentucky,21023,Bracken,800,3398,4246
Kentucky,21025,Breathitt,1301,4265,5661
Kentucky,21027,Breckinridge,2350,7701,10201
Kentucky,21029,Bullitt,10552,30708,41998
Kentucky,21031,Butler,1079,4960,6125
Kentucky,21033,Caldwell,1433,4906,6434
Kentucky,21035,Calloway,5797,11352,17457
Kentucky,21037,Campbell,19374,28482,48878
Kentucky,21039,Carlisle,463,2159,2638
Kentucky,21041,Carroll,1116,2954,4136
Kentucky,21043,Carter,2642,8775,11586
Kentucky,21045,Casey,918,6179,7171
Kentucky,21047,Christian,8296,15080,23863
Kentucky,21049,Clark,6004,11811,18139
Kentucky,21051,Clay,831,6677,7591
Kentucky,21053,Clinton,603,4280,4932
Kentucky,21055,Crittenden,731,3451,4242
Kentucky,21057,Cumberland,508,2769,3309
Kentucky,21059,Daviess,17286,31025,49287
Kentucky,21061,Edmonson,1227,4828,6132
Kentucky,21063,Elliott,712,2246,2995
Kentucky,21065,Estill,1355,5100,6540
Kentucky,21067,Fayette,90600,58860,152912
Kentucky,21069,Fleming,1474,5534,7068
Kentucky,21071,Floyd,3884,12250,16353
Kentucky,21073,Franklin,12652,12900,26072
Kentucky,21075,Fulton,794,1606,2426
Kentucky,21077,Gallatin,822,2955,3849
Kentucky,21079,Garrard,1830,6754,8706
Kentucky,21081,Grant,2205,8725,11108
Kentucky,21083,Graves,3560,13206,17019
Kentucky,21085,Grayson,2400,9453,11985
Kentucky,21087,Green,920,4838,5812
Kentucky,21089,Greenup,4873,13064,18176
Kentucky,21091,Hancock,1351,3145,4587
Kentucky,21093,Hardin,18101,29832,48941
Kentucky,21095,Harlan,1494,9367,10971
Kentucky,21097,Harrison,2400,6334,8859
Kentucky,21099,Hart,1908,6345,8370
Kentucky,21101,Henderson,7639,12730,20697
Kentucky,21103,Henry,2142,5843,8110
Kentucky,21105,Hickman,458,1714,2199
Kentucky,21107,Hopkins,5439,15757,21512
Kentucky,21109,Jackson,605,5453,6113
Kentucky,21111,Jefferson,228358,150646,386629
Kentucky,21113,Jessamine,8567,17096,26280
Kentucky,21115,Johnson,1608,8450,10192
Kentucky,21117,Kenton,32271,48129,82198
Kentucky,21119,Knott,1412,4780,6252
Kentucky,21121,Knox,2114,11012,13273
Kentucky,21123,Larue,1504,5685,7301
Kentucky,21125,Laurel,4475,23237,28111
Kentucky,21127,Lawrence,1238,5633,6955
Kentucky,21129,Lee,481,2273,2801
Kentucky,21131,Leslie,446,4321,4813
Kentucky,21133,Letcher,1799,7226,9135
Kentucky,21135,Lewis,823,4986,5883
Kentucky,21137,Lincoln,2254,8489,10914
Kentucky,21139,Livingston,939,4010,5004
Kentucky,21141,Logan,3094,9067,12350
Kentucky,21143,Lyon,1092,3100,4228
Kentucky,21145,McCracken,11195,21820,33549
Kentucky,21147,McCreary,725,5664,6438
Kentucky,21149,McLean,1074,3633,4782
Kentucky,21151,Madison,15581,27356,43957
Kentucky,21153,Magoffin,1214,4174,5447
Kentucky,21155,Marion,2722,6113,8928
Kentucky,21157,Marshall,4071,13297,17603
Kentucky,21159,Martin,403,3496,3936
Kentucky,21161,Mason,2362,5477,7958
Kentucky,21163,Meade,3632,10185,14113
Kentucky,21165,Menifee,750,2311,3102
Kentucky,21167,Mercer,3033,8506,11735
Kentucky,21169,Metcalfe,975,3959,5012
Kentucky,21171,Monroe,657,4628,5330
Kentucky,21173,Montgomery,3630,8993,12842
Kentucky,21175,Morgan,1175,4301,5544
Kentucky,21177,Muhlenberg,3545,10497,14235
Kentucky,21179,Nelson,7188,15703,23256
Kentucky,21181,Nicholas,955,2408,3396
Kentucky,21183,Ohio,2404,8582,11129
Kentucky,21185,Oldham,14505,22654,37976
Kentucky,21187,Owen,1098,4292,5458
Kentucky,21189,Owsley,216,1671,1896
Kentucky,21191,Pendleton,1322,5515,6925
Kentucky,21193,Perry,2356,8129,10626
Kentucky,21195,Pike,4866,20284,25395
Kentucky,21197,Powell,1367,4041,5505
Kentucky,21199,Pulaski,5666,25442,31557
Kentucky,21201,Robertson,253,884,1146
Kentucky,21203,Rockcastle,1134,6577,7784
Kentucky,21205,Rowan,3880,5994,10065
Kentucky,21207,Russell,1331,7519,8955
Kentucky,21209,Scott,10567,17767,28969
Kentucky,21211,Shelby,8077,15055,23550
Kentucky,21213,Simpson,2681,5888,8732
Kentucky,21215,Spencer,2530,8737,11433
Kentucky,21217,Taylor,2963,9376,12517
Kentucky,21219,Todd,1205,4062,5363
Kentucky,21221,Trigg,1791,5487,7376
Kentucky,21223,Trimble,1012,3227,4320
Kentucky,21225,Union,1529,4965,6577
Kentucky,21227,Warren,22479,31791,55401
Kentucky,21229,Washington,1644,4482,6225
Kentucky,21231,Wayne,1700,7430,9240
Kentucky,21233,Webster,1412,4506,5993
Kentucky,21235,Whitley,2552,12567,15356
Kentucky,21237,Wolfe,839,2097,2979
Kentucky,21239,Woodford,6530,8362,15211
