state_name,county_fips,county_name,votes_dem,votes_gop,total_votes
Louisiana,22001,Acadia Parish,4695,21783,26720
Louisiana,22003,Allen Parish,1661,7003,8751
Louisiana,22005,Ascension Parish,20113,41319,62473
Louisiana,22007,Assumption Parish,3273,6963,10367
Louisiana,22009,Avoyelles Parish,4460,11379,16037
Louisiana,22011,Beauregard Parish,2192,13504,15874
Louisiana,22013,Bienville Parish,2531,3660,6256
Louisiana,22015,Bossier Parish,14467,37105,52232
Louisiana,22017,Caddo Parish,48864,44471,94699
Louisiana,22019,Calcasieu Parish,23918,56064,81201
Louisiana,22021,Caldwell Parish,580,3724,4334
Louisiana,22023,Cameron Parish,219,3120,3362
Louisiana,22025,Catahoula Parish,1060,3258,4348
Louisiana,22027,Claiborne Parish,2239,3522,5816
Louisiana,22029,Concordia Parish,2698,4974,7755
Louisiana,22031,De Soto Parish,4426,9359,13913
Louisiana,22033,East Baton Rouge Parish,103820,82720,190643
Louisiana,22035,East Carroll Parish,1338,931,2306
Louisiana,22037,East Feliciana Parish,3809,6020,9947
Louisiana,22039,Evangeline Parish,3526,10483,14176
Louisiana,22041,Franklin Parish,2196,6524,8798
Louisiana,22043,Grant Parish,996,7925,9018
Louisiana,22045,Iberia Parish,9504,19511,29331
Louisiana,22047,Iberville Parish,7503,7616,15354
Louisiana,22049,Jackson Parish,1852,5291,7226
Louisiana,22051,Jefferson Parish,75731,98810,178205
Louisiana,22053,Jefferson Davis Parish,2699,11478,14358
Louisiana,22055,Lafayette Parish,37170,72007,111086
Louisiana,22057,Lafourche Parish,7864,34461,42845
Louisiana,22059,Lasalle Parish,546,6023,6620
Louisiana,22061,Lincoln Parish,6627,11248,18157
Louisiana,22063,Livingston Parish,9965,55101,65906
Louisiana,22065,Madison Parish,2094,1846,3992
Louisiana,22067,Morehouse Parish,4008,5961,10097
Louisiana,22069,Natchitoches Parish,5740,9100,15040
Louisiana,22071,Orleans Parish,130749,24119,159130
Louisiana,22073,Ouachita Parish,22845,40808,64436
Louisiana,22075,Plaquemines Parish,3023,6803,9945
Louisiana,22077,Pointe Coupee Parish,4132,7319,11570
Louisiana,22079,Rapides Parish,16537,36171,53395
Louisiana,22081,Red River Parish,1321,2337,3725
Louisiana,22083,Richland Parish,2732,6354,9193
Louisiana,22085,Sabine Parish,1488,8613,10170
Louisiana,22087,St. Bernard Parish,5967,11033,17292
Louisiana,22089,St. Charles Parish,8812,17443,26685
Louisiana,22091,St. Helena Parish,2848,2804,5745
Louisiana,22093,St. James Parish,5792,5902,11789
Louisiana,22095,St. John The Baptist Parish,12043,6557,18827
Louisiana,22097,St. Landry Parish,14833,21812,37043
Louisiana,22099,St. Martin Parish,7284,17466,25006
Louisiana,22101,St. Mary Parish,7011,13671,20897
Louisiana,22103,St. Tammany Parish,37777,98377,138384
Louisiana,22105,Tangipahoa Parish,16886,37500,55104
Louisiana,22107,Tensas Parish,1002,1093,2128
Louisiana,22109,Terrebonne Parish,9702,31115,41327
Louisiana,22111,Union Parish,2206,8176,10475
Louisiana,22113,Vermilion Parish,4637,21510,26429
Louisiana,22115,Vernon Parish,2513,13474,16149
Louisiana,22117,Washington Parish,5411,12846,18455
Louisiana,22119,Webster Parish,5053,10965,16205
Louisiana,22121,West Baton Rouge Parish,6008,7627,13836
Louisiana,22123,West Carroll Parish,578,3986,4603
Louisiana,22125,West Feliciana Parish,2004,3923,6008
Louisiana,22127,Winn Parish,1292,4437,5781
