state_name,county_fips,county_name,votes_dem,votes_gop,total_votes
Maine,23001,Androscoggin,27019,30605,58847
Maine,23003,Aroostook,12900,22246,35653
Maine,23005,Cumberland,127971,59964,192656
Maine,23007,Franklin,7990,9459,17836
Maine,23009,Hancock,19817,15551,36253
Maine,23011,Kennebec,34585,36589,72886
Maine,23013,Knox,15076,10262,25893
Maine,23015,Lincoln,13110,10409,24003
Maine,23017,Oxford,14765,19228,34590
Maine,23019,Penobscot,37945,47438,87073
Maine,23021,Piscataquis,3510,6487,10205
Maine,23023,Sagadahoc,13982,9917,24456
Maine,23025,Somerset,10134,17826,28441
Maine,23027,Waldo,12661,11815,25130
Maine,23029,Washington,6763,11001,18046
Maine,23031,York,72114,58194,132838
Maine,,STATE UOCAVA,5310,986,6569
