state_name,county_fips,county_name,votes_dem,votes_gop,total_votes
Minnesota,27001,Aitkin,3607,6258,10025
Minnesota,27003,Anoka,100893,104902,211132
Minnesota,27005,Becker,6589,12438,19401
Minnesota,27007,Beltrami,11426,12188,24189
Minnesota,27009,Benton,7280,14382,22260
Minnesota,27011,Big Stone,1053,1863,2974
Minnesota,27013,Blue Earth,18330,16731,36051
Minnesota,27015,Brown,4753,9552,14635
Minnesota,27017,Carlton,10098,9791,20369
Minnesota,27019,Carver,30774,34009,66361
Minnesota,27021,Cass,6342,11620,18289
Minnesota,27023,Chippewa,2226,4250,6611
Minnesota,27025,Chisago,11806,21916,34570
Minnesota,27027,Clay,16357,15043,32239
Minnesota,27029,Clearwater,1260,3372,4708
Minnesota,27031,Cook,2496,1203,3806
Minnesota,27033,Cottonwood,1834,4165,6107
Minnesota,27035,Crow Wing,13726,25676,40173
Minnesota,27037,Dakota,146155,109638,262259
Minnesota,27039,Dodge,4079,7783,12187
Minnesota,27041,Douglas,7868,15799,24165
Minnesota,27043,Faribault,2531,5191,7914
Minnesota,27045,Fillmore,4551,7301,12141
Minnesota,27047,Freeborn,6889,9578,16818
Minnesota,27049,Goodhue,11806,16052,28636
Minnesota,27051,Grant,1300,2269,3654
Minnesota,27053,Hennepin,532623,205973,755969
Minnesota,27055,Houston,4853,6334,11440
Minnesota,27057,Hubbard,4462,8202,12965
Minnesota,27059,Isanti,7138,16491,24235
Minnesota,27061,Itasca,10786,15239,26561
Minnesota,27063,Jackson,1745,3948,5819
Minnesota,27065,Kanabec,2774,6278,9242
Minnesota,27067,Kandiyohi,8440,14437,23367
Minnesota,27069,Kittson,1006,1546,2639
Minnesota,27071,Koochiching,2659,4131,6922
Minnesota,27073,Lac Qui Parle,1446,2528,4040
Minnesota,27075,Lake,3647,3393,7202
Minnesota,27077,Lake Of The Woods,671,1704,2408
Minnesota,27079,Le Sueur,5672,10775,16818
Minnesota,27081,Lincoln,937,2121,3115
Minnesota,27083,Lyon,4634,7979,12893
Minnesota,27085,Mcleod,6413,13986,20933
Minnesota,27087,Mahnomen,1112,1142,2304
Minnesota,27089,Marshall,1295,3721,5113
Minnesota,27091,Martin,3305,7480,11009
Minnesota,27093,Meeker,3867,9359,13529
Minnesota,27095,Mille Lacs,4404,9952,14689
Minnesota,27097,Morrison,4367,14821,19558
Minnesota,27099,Mower,8899,10025,19345
Minnesota,27101,Murray,1449,3363,4896
Minnesota,27103,Nicollet,9622,9018,19125
Minnesota,27105,Nobles,2933,5600,8715
Minnesota,27107,Norman,1404,1953,3441
Minnesota,27109,Olmsted,49491,39692,91385
Minnesota,27111,Otter Tail,11958,23800,36399
Minnesota,27113,Pennington,2568,4532,7277
Minnesota,27115,Pine,5419,10256,16001
Minnesota,27117,Pipestone,1306,3553,4940
Minnesota,27119,Polk,5439,9865,15594
Minnesota,27121,Pope,2477,4417,7022
Minnesota,27123,Ramsey,211620,77376,295977
Minnesota,27125,Red Lake,691,1454,2196
Minnesota,27127,Redwood,2355,5771,8284
Minnesota,27129,Renville,2496,5467,8128
Minnesota,27131,Rice,17402,17464,35686
Minnesota,27133,Rock,1556,3583,5240
Minnesota,27135,Roseau,2188,6065,8421
Minnesota,27137,St. Louis,67704,49017,119531
Minnesota,27139,Scott,40040,45872,87965
Minnesota,27141,Sherburne,18065,36222,55612
Minnesota,27143,Sibley,2417,5864,8452
Minnesota,27145,Stearns,31879,50959,84835
Minnesota,27147,Steele,7917,12656,21128
Minnesota,27149,Stevens,1922,3044,5085
Minnesota,27151,Swift,1784,3316,5193
Minnesota,27153,Todd,3286,9753,13257
Minnesota,27155,Traverse,661,1172,1864
Minnesota,27157,Wabasha,4696,8153,13123
Minnesota,27159,Wadena,2023,5520,7677
Minnesota,27161,Waseca,3496,6624,10389
Minnesota,27163,Washington,89165,73764,166786
Minnesota,27165,Watonwan,1987,3103,5201
Minnesota,27167,Wilkin,1026,2328,3430
Minnesota,27169,Winona,13333,13227,27173
Minnesota,27171,Wright,28430,51973,82426
Minnesota,27173,Yellow Medicine,1688,3734,5528
