state_name,county_fips,county_name,votes_dem,votes_gop,total_votes
Missouri,29001,Adair,3710,6413,10336
Missouri,29003,Andrew,2351,7255,9752
Missouri,29005,Atchison,564,2199,2814
Missouri,29007,Audrain,2704,7732,10656
Missouri,29009,Barry,2948,12425,15598
Missouri,29011,Barton,844,5168,6077
Missouri,29013,Bates,1672,6597,8416
Missouri,29015,Benton,2180,8109,10476
Missouri,29017,Bollinger,750,5167,5983
Missouri,29019,Boone,50064,38646,91168
Missouri,29021,Buchanan,13445,22450,36598
Missouri,29023,Butler,3301,14602,18141
Missouri,29025,Caldwell,897,3725,4682
Missouri,29027,Callaway,5870,14815,21144
Missouri,29029,Camden,5652,18850,24812
Missouri,29031,Cape Girardeau,10760,28907,40328
Missouri,29033,Carroll,786,3706,4532
Missouri,29035,Carter,418,2451,2897
Missouri,29037,Cass,19052,37197,57408
Missouri,29039,Cedar,1145,5788,7044
Missouri,29041,Chariton,916,3111,4077
Missouri,29043,Christian,11131,34920,46839
Missouri,29045,Clark,678,2672,3394
Missouri,29047,Clay,59400,64605,126569
Missouri,29049,Clinton,2896,7799,10888
Missouri,29051,Cole,12694,26086,39529
Missouri,29053,Cooper,2249,6272,8693
Missouri,29055,Crawford,2113,8725,10973
Missouri,29057,Dade,656,3414,4119
Missouri,29059,Dallas,1380,6619,8104
Missouri,29061,Daviess,746,3102,3911
Missouri,29063,De Kalb,930,3828,4843
Missouri,29065,Dent,1056,5987,7142
Missouri,29067,Douglas,1016,5898,7000
Missouri,29069,Dunklin,2200,8135,10419
Missouri,29071,Franklin,14569,38058,53685
Missouri,29073,Gasconade,1601,6222,7923
Missouri,29075,Gentry,613,2581,3237
Missouri,29077,Greene,55068,83630,141800
Missouri,29079,Grundy,799,3585,4437
Missouri,29081,Harrison,597,3198,3826
Missouri,29083,Henry,2619,8027,10788
Missouri,29085,Hickory,1056,3966,5080
Missouri,29087,Holt,338,1976,2343
Missouri,29089,Howard,1413,3553,5092
Missouri,29091,Howell,3218,15181,18650
Missouri,29093,Iron,945,3596,4592
Missouri,29095,Jackson,92182,100142,196418
Missouri,29097,Jasper,13549,37728,52352
Missouri,29099,Jefferson,37523,77046,116688
Missouri,29101,Johnson,6974,15489,23123
Missouri,29103,Knox,340,1486,1854
Missouri,29105,Laclede,2780,13762,16793
Missouri,29107,Lafayette,4472,12273,17055
Missouri,29109,Lawrence,3214,14426,17905
Missouri,29111,Lewis,984,3553,4609
Missouri,29113,Lincoln,6607,21848,29018
Missouri,29115,Linn,1275,4363,5726
Missouri,29117,Livingston,1410,5267,6758
Missouri,29119,McDonald,1439,7465,9053
Missouri,29121,Macon,1662,6076,7836
Missouri,29123,Madison,1019,4584,5676
Missouri,29125,Maries,814,3892,4771
Missouri,29127,Marion,3202,9915,13348
Missouri,29129,Mercer,222,1541,1779
Missouri,29131,Miller,2038,10176,12382
Missouri,29133,Mississippi,1178,3537,4756
Missouri,29135,Moniteau,1308,5744,7157
Missouri,29137,Monroe,936,3477,4483
Missouri,29139,Montgomery,1208,4465,5772
Missouri,29141,Morgan,1924,7442,9487
Missouri,29143,New Madrid,1748,5447,7250
Missouri,29145,Newton,5818,22120,28405
Missouri,29147,Nodaway,2853,6865,9893
Missouri,29149,Oregon,823,3847,4739
Missouri,29151,Osage,1037,6425,7539
Missouri,29153,Ozark,752,4064,4864
Missouri,29155,Pemiscot,1560,4120,5735
Missouri,29157,Perry,1664,7657,9447
Missouri,29159,Pettis,4783,13854,19097
Missouri,29161,Phelps,5637,13480,19568
Missouri,29163,Pike,1717,5863,7695
Missouri,29165,Platte,27179,28917,57270
Missouri,29167,Polk,2885,11850,15064
Missouri,29169,Pulaski,3740,10329,14414
Missouri,29171,Putnam,361,1984,2361
Missouri,29173,Ralls,1205,4396,5662
Missouri,29175,Randolph,2485,8018,10744
Missouri,29177,Ray,3109,8345,11649
Missouri,29179,Reynolds,529,2733,3298
Missouri,29181,Ripley,833,4839,5717
Missouri,29183,St. Charles,89530,128389,222017
Missouri,29185,St. Clair,988,3932,4974
Missouri,29186,Ste. Genevieve,2713,6630,9484
Missouri,29187,St. Francois,7044,20511,28001
Missouri,29189,St. Louis,328151,199493,536446
Missouri,29195,Saline,2904,6451,9519
Missouri,29197,Schuyler,373,1606,2003
Missouri,29199,Scotland,388,1560,1984
Missouri,29201,Scott,3753,13769,17719
Missouri,29203,Shannon,706,3165,3906
Missouri,29205,Shelby,592,2700,3350
Missouri,29207,Stoddard,1819,11484,13426
Missouri,29209,Stone,3506,14800,18483
Missouri,29211,Sullivan,478,1974,2471
Missouri,29213,Taney,5339,20508,26288
Missouri,29215,Texas,1716,9478,11315
Missouri,29217,Vernon,1903,7155,9185
Missouri,29219,Warren,4769,13222,18375
Missouri,29221,Washington,1804,8047,9976
Missouri,29223,Wayne,845,4987,5878
Missouri,29225,Webster,3573,14880,18779
Missouri,29227,Worth,215,877,1107
Missouri,29229,Wright,1168,7453,8739
Missouri,29510,St. Louis City,110089,21474,133867
Missouri,,Kansas City,107660,26393,136645
