state_name,county_fips,county_name,votes_dem,votes_gop,total_votes
Mississippi,28001,Adams,7917,5696,13759
Mississippi,28003,Alcorn,2782,12818,15793
Mississippi,28005,Amite,2620,4503,7196
Mississippi,28007,Attala,3542,5178,8823
Mississippi,28009,Benton,1679,2570,4289
Mississippi,28011,Bolivar,8904,4671,13744
Mississippi,28013,Calhoun,1902,4625,6590
Mississippi,28015,Carroll,1729,3924,5701
Mississippi,28017,Chickasaw,3810,4175,8141
Mississippi,28019,Choctaw,1185,3001,4223
Mississippi,28021,Claiborne,3772,603,4449
Mississippi,28023,Clarke,2838,5417,8338
Mississippi,28025,Clay,5844,4181,10189
Mississippi,28027,Coahoma,6020,2375,8501
Mississippi,28029,Copiah,6470,6250,12883
Mississippi,28031,Covington,3416,5854,9360
Mississippi,28033,DeSoto,28265,46462,76124
Mississippi,28035,Forrest,13755,17290,31654
Mississippi,28037,Franklin,1480,2923,4461
Mississippi,28039,George,1218,9713,11049
Mississippi,28041,Greene,966,4794,5812
Mississippi,28043,Grenada,4734,6081,10911
Mississippi,28045,Hancock,4504,16132,20957
Mississippi,28047,Harrison,27728,46822,75768
Mississippi,28049,Hinds,73550,25141,99995
Mississippi,28051,Holmes,6588,1369,8115
Mississippi,28053,Humphreys,3016,1118,4189
Mississippi,28055,Issaquena,355,308,676
Mississippi,28057,Itawamba,1249,9438,10819
Mississippi,28059,Jackson,17375,36295,54543
Mississippi,28061,Jasper,4341,4302,8736
Mississippi,28063,Jefferson,3327,531,3908
Mississippi,28065,Jeff Davis,3599,2534,6213
Mississippi,28067,Jones,8517,21226,30091
Mississippi,28069,Kemper,2887,1787,4731
Mississippi,28071,Lafayette,10070,12949,23423
Mississippi,28073,Lamar,7340,20704,28485
Mississippi,28075,Lauderdale,12960,17967,31247
Mississippi,28077,Lawrence,2260,4285,6613
Mississippi,28079,Leake,3897,5228,9200
Mississippi,28081,Lee,12189,24207,36954
Mississippi,28083,Leflore,7648,3129,10893
Mississippi,28085,Lincoln,5040,11596,16801
Mississippi,28087,Lowndes,13087,13800,27241
Mississippi,28089,Madison,24440,31091,56212
Mississippi,28091,Marion,3787,8273,12177
Mississippi,28093,Marshall,8057,7566,15817
Mississippi,28095,Monroe,5874,11177,17259
Mississippi,28097,Montgomery,2121,2917,5075
Mississippi,28099,Neshoba,3260,8320,11703
Mississippi,28101,Newton,3075,6997,10183
Mississippi,28103,Noxubee,4040,1240,5339
Mississippi,28105,Oktibbeha,10299,9004,19757
Mississippi,28107,Panola,7403,8060,15627
Mississippi,28109,Pearl River,4148,19595,24033
Mississippi,28111,Perry,1362,4500,5916
Mississippi,28113,Pike,8646,8479,17342
Mississippi,28115,Pontotoc,2614,11550,14361
Mississippi,28117,Prentiss,2153,8370,10644
Mississippi,28119,Quitman,2150,1026,3226
Mississippi,28121,Rankin,18847,50895,70655
Mississippi,28123,Scott,4330,6285,10733
Mississippi,28125,Sharkey,1465,688,2183
Mississippi,28127,Simpson,4037,7635,11815
Mississippi,28129,Smith,1791,6458,8327
Mississippi,28131,Stone,1802,5964,7878
Mississippi,28133,Sunflower,6781,2799,9681
Mississippi,28135,Tallahatchie,3105,2488,5685
Mississippi,28137,Tate,4183,8707,13093
Mississippi,28139,Tippah,1937,8054,10102
Mississippi,28141,Tishomingo,1059,7933,9138
Mississippi,28143,Tunica,2580,926,3562
Mississippi,28145,Union,2160,10373,12683
Mississippi,28147,Walthall,2835,4220,7119
Mississippi,28149,Warren,10442,10365,21053
Mississippi,28151,Washington,12503,5300,18008
Mississippi,28153,Wayne,3624,6307,10056
Mississippi,28155,Webster,1043,4291,5395
Mississippi,28157,Wilkinson,2749,1324,4127
Mississippi,28159,Winston,4040,5112,9236
Mississippi,28161,Yalobusha,2785,3671,6535
Mississippi,28163,Yazoo,5496,4832,10436
