state_name,county_fips,county_name,votes_dem,votes_gop,total_votes
North Carolina,37001,Alamance,38825,46056,86091
North Carolina,37003,Alexander,4145,15888,20236
North Carolina,37005,Alleghany,1486,4527,6076
North Carolina,37007,Anson,5789,5321,11194
North Carolina,37009,Ashe,4164,11451,15814
North Carolina,37011,Avery,2191,7172,9458
North Carolina,37013,Beaufort,9633,16437,26315
North Carolina,37015,Bertie,5939,3817,9815
North Carolina,37017,Bladen,7326,9676,17125
North Carolina,37019,Brunswick,33310,55850,90175
North Carolina,37021,Buncombe,96515,62412,161569
North Carolina,37023,Burke,13118,31019,44602
North Carolina,37025,Cabarrus,52162,63237,117227
North Carolina,37027,Caldwell,10245,32119,42829
North Carolina,37029,Camden,1537,4312,5953
North Carolina,37031,Carteret,12093,30028,42695
North Carolina,37033,Caswell,4860,7089,12051
North Carolina,37035,Catawba,25689,56588,83425
North Carolina,37037,Chatham,26787,21186,48599
North Carolina,37039,Cherokee,3583,12628,16423
North Carolina,37041,Chowan,3247,4471,7784
North Carolina,37043,Clay,1699,5112,6893
North Carolina,37045,Cleveland,16955,33798,51308
North Carolina,37047,Columbus,9446,16832,26446
North Carolina,37049,Craven,21148,31032,53065
North Carolina,37051,Cumberland,84469,60032,147150
North Carolina,37053,Currituck,4195,11657,16147
North Carolina,37055,Dare,9936,13938,24232
North Carolina,37057,Davidson,22636,64658,88514
North Carolina,37059,Davie,6713,18228,25311
North Carolina,37061,Duplin,8767,13793,22715
North Carolina,37063,Durham,144688,32459,179914
North Carolina,37065,Edgecombe,16089,9206,25477
North Carolina,37067,Forsyth,113033,85064,201270
North Carolina,37069,Franklin,15879,20901,37351
North Carolina,37071,Gaston,40959,73033,115498
North Carolina,37073,Gates,2546,3367,5971
North Carolina,37075,Graham,905,3710,4665
North Carolina,37077,Granville,14565,16647,31598
North Carolina,37079,Greene,3832,4874,8753
North Carolina,37081,Guilford,173086,107294,284486
North Carolina,37083,Halifax,15545,10080,25759
North Carolina,37085,Harnett,22093,35177,58293
North Carolina,37087,Haywood,13144,22834,36542
North Carolina,37089,Henderson,27211,40032,68371
North Carolina,37091,Hertford,7097,3479,10634
North Carolina,37093,Hoke,11804,9453,21639
North Carolina,37095,Hyde,1046,1418,2492
North Carolina,37097,Iredell,33888,67010,102371
North Carolina,37099,Jackson,9591,11356,21428
North Carolina,37101,Johnston,41257,68353,111357
North Carolina,37103,Jones,2197,3280,5525
North Carolina,37105,Lee,12143,16469,29008
North Carolina,37107,Lenoir,13605,14590,28409
North Carolina,37109,Lincoln,13274,36341,50217
North Carolina,37111,Mcdowell,5832,16883,23003
North Carolina,37113,Macon,6230,14211,20743
North Carolina,37115,Madison,4901,7979,13076
North Carolina,37117,Martin,5911,6532,12540
North Carolina,37119,Mecklenburg,378107,179211,567053
North Carolina,37121,Mitchell,1867,7090,9041
North Carolina,37123,Montgomery,4327,8411,12849
North Carolina,37125,Moore,20779,36764,58339
North Carolina,37127,Nash,25947,25827,52271
North Carolina,37129,New Hanover,66138,63331,131830
North Carolina,37131,Northampton,6069,3989,10110
North Carolina,37133,Onslow,24266,46078,72235
North Carolina,37135,Orange,63594,20176,84997
North Carolina,37137,Pamlico,2713,4849,7631
North Carolina,37139,Pasquotank,9832,9770,19897
North Carolina,37141,Pender,11723,21956,34169
North Carolina,37143,Perquimans,2492,4903,7484
North Carolina,37145,Person,8465,13184,21894
North Carolina,37147,Pitt,47252,38982,87573
North Carolina,37149,Polk,4518,7689,12358
North Carolina,37151,Randolph,15618,56894,73316
North Carolina,37153,Richmond,8754,11830,20763
North Carolina,37155,Robeson,19020,27806,47188
North Carolina,37157,Rockingham,15992,31301,47809
North Carolina,37159,Rowan,23114,49297,73408
North Carolina,37161,Rutherford,9135,24891,34429
North Carolina,37163,Sampson,10966,17411,28618
North Carolina,37165,Scotland,7186,7473,14775
North Carolina,37167,Stanly,8129,25458,33939
North Carolina,37169,Stokes,5286,20142,25701
North Carolina,37171,Surry,8721,27538,36638
North Carolina,37173,Swain,2780,4161,7068
North Carolina,37175,Transylvania,8444,11636,20404
North Carolina,37177,Tyrrell,758,1044,1817
North Carolina,37179,Union,48725,80382,131011
North Carolina,37181,Vance,12431,8391,20999
North Carolina,37183,Wake,393336,226197,631830
North Carolina,37185,Warren,6400,3752,10293
North Carolina,37187,Washington,3396,2781,6205
North Carolina,37189,Watauga,17122,14451,32220
North Carolina,37191,Wayne,24215,30709,55537
North Carolina,37193,Wilkes,7511,27592,35466
North Carolina,37195,Wilson,20754,19581,40735
North Carolina,37197,Yadkin,3763,15933,19923
North Carolina,37199,Yancey,3688,7516,11352
