state_name,county_fips,county_name,votes_dem,votes_gop,total_votes
North Dakota,38001,Adams,258,981,1269
North Dakota,38003,Barnes,1820,3568,5565
North Dakota,38005,Benson,822,1094,1961
North Dakota,38007,Billings,72,541,635
North Dakota,38009,Bottineau,821,2575,3471
North Dakota,38011,Bowman,228,1395,1657
North Dakota,38013,Burke,137,994,1155
North Dakota,38015,Burleigh,14348,34744,50753
North Dakota,38017,Cass,40311,42619,86053
North Dakota,38019,Cavalier,474,1499,2020
North Dakota,38021,Dickey,608,1742,2424
North Dakota,38023,Divide,265,904,1202
North Dakota,38025,Dunn,342,1951,2338
North Dakota,38027,Eddy,383,854,1261
North Dakota,38029,Emmons,237,1738,2009
North Dakota,38031,Foster,373,1362,1778
North Dakota,38033,Golden Valley,137,871,1026
North Dakota,38035,Grand Forks,12880,16987,30970
North Dakota,38037,Grant,207,1145,1381
North Dakota,38039,Griggs,308,907,1250
North Dakota,38041,Hettinger,196,1091,1312
North Dakota,38043,Kidder,221,1215,1460
North Dakota,38045,LaMoure,527,1645,2219
North Dakota,38047,Logan,128,930,1076
North Dakota,38049,McHenry,564,2364,3003
North Dakota,38051,McIntosh,261,1153,1455
North Dakota,38053,McKenzie,814,4482,5419
North Dakota,38055,McLean,1230,4198,5536
North Dakota,38057,Mercer,704,3856,4675
North Dakota,38059,Morton,3872,12243,16619
North Dakota,38061,Mountrail,1256,2824,4165
North Dakota,38063,Nelson,586,1141,1777
North Dakota,38065,Oliver,129,918,1066
North Dakota,38067,Pembina,786,2460,3331
North Dakota,38069,Pierce,497,1585,2128
North Dakota,38071,Ramsey,1639,3577,5372
North Dakota,38073,Ransom,945,1418,2454
North Dakota,38075,Renville,220,1065,1319
North Dakota,38077,Richland,2510,5072,7812
North Dakota,38079,Rolette,2482,1257,3804
North Dakota,38081,Sargent,738,1266,2070
North Dakota,38083,Sheridan,104,688,812
North Dakota,38085,Sioux,804,258,1186
North Dakota,38087,Slope,44,380,427
North Dakota,38089,Stark,2499,12110,15050
North Dakota,38091,Steele,392,652,1088
North Dakota,38093,Stutsman,2676,6994,9959
North Dakota,38095,Towner,317,830,1174
North Dakota,38097,Traill,1493,2522,4136
North Dakota,38099,Walsh,1333,3324,4783
North Dakota,38101,Ward,7293,19974,28246
North Dakota,38103,Wells,442,1893,2374
North Dakota,38105,Williams,2169,11739,14334
