state_name,county_fips,county_name,votes_dem,votes_gop,total_votes
New Jersey,34001,Atlantic,73808,64438,140031
New Jersey,34003,Bergen,285967,204417,495849
New Jersey,34005,Burlington,154595,103345,261497
New Jersey,34007,Camden,175065,86207,264616
New Jersey,34009,Cape May,23941,33158,57714
New Jersey,34011,Cumberland,32742,28952,62408
New Jersey,34013,Essex,266820,75475,345311
New Jersey,34015,Gloucester,86702,83340,172654
New Jersey,34017,Hudson,181452,65698,249850
New Jersey,34019,Hunterdon,39457,43153,84242
New Jersey,34021,Mercer,122532,51641,176604
New Jersey,34023,Middlesex,226250,143467,374362
New Jersey,34025,Monmouth,181291,191808,378151
New Jersey,34027,Morris,153881,141134,299322
New Jersey,34029,Ocean,119456,217740,341516
New Jersey,34031,Passaic,129097,92009,223707
New Jersey,34033,Salem,14479,18827,33922
New Jersey,34035,Somerset,111173,71996,185859
New Jersey,34037,Sussex,34481,51701,87963
New Jersey,34039,Union,170310,80038,253092
New Jersey,34041,Warren,24901,34769,60787
