state_name,county_fips,county_name,votes_dem,votes_gop,total_votes
Ohio,39001,Adams,2156,9870,12145
Ohio,39003,Allen,14149,33116,48006
Ohio,39005,Ashland,6541,19407,26405
Ohio,39007,Ashtabula,16497,26890,44147
Ohio,39009,Athens,14772,10862,26059
Ohio,39011,Auglaize,4651,20798,25777
Ohio,39013,Belmont,9138,23560,33088
Ohio,39015,Brown,4380,16480,21096
Ohio,39017,Butler,69613,114392,186737
Ohio,39019,Carroll,3251,10745,14212
Ohio,39021,Champaign,5062,14589,19972
Ohio,39023,Clark,24076,39032,64212
Ohio,39025,Clermont,34092,74570,110480
Ohio,39027,Clinton,4697,15488,20527
Ohio,39029,Columbiana,13359,35726,49860
Ohio,39031,Coshocton,4125,12325,16739
Ohio,39033,Crawford,4916,15436,20686
Ohio,39035,Cuyahoga,416176,202699,625670
Ohio,39037,Darke,4731,22004,27134
Ohio,39039,Defiance,5981,13038,19381
Ohio,39041,Delaware,57735,66356,126070
Ohio,39043,Erie,17493,22160,40335
Ohio,39045,Fairfield,31224,50797,83311
Ohio,39047,Fayette,2975,9473,12612
Ohio,39049,Franklin,409144,211237,630577
Ohio,39051,Fulton,6664,15731,22770
Ohio,39053,Gallia,2990,10645,13799
Ohio,39055,Geauga,21201,34143,56021
Ohio,39057,Greene,34798,52072,88643
Ohio,39059,Guernsey,4577,13407,18230
Ohio,39061,Hamilton,246266,177886,430929
Ohio,39063,Hancock,11757,26310,38771
Ohio,39065,Hardin,3062,9949,13247
Ohio,39067,Harrison,1768,5792,7655
Ohio,39069,Henry,4062,10479,14764
Ohio,39071,Highland,3799,15678,19676
Ohio,39073,Hocking,3880,9737,13824
Ohio,39075,Holmes,1994,10796,12947
Ohio,39077,Huron,7759,18956,27190
Ohio,39079,Jackson,3311,11309,14794
Ohio,39081,Jefferson,10018,22828,33362
Ohio,39083,Knox,8589,22340,31398
Ohio,39085,Lake,55514,73278,130509
Ohio,39087,Lawrence,7489,20306,28127
Ohio,39089,Licking,33055,59514,94210
Ohio,39091,Logan,5055,17964,23368
Ohio,39093,Lorain,75667,79520,157437
Ohio,39095,Lucas,115411,81763,200623
Ohio,39097,Madison,5698,13835,19855
Ohio,39099,Mahoning,57641,59903,118966
Ohio,39101,Marion,8269,19023,27818
Ohio,39103,Medina,39800,64598,105825
Ohio,39105,Meigs,2492,8316,10951
Ohio,39107,Mercer,4030,19452,23761
Ohio,39109,Miami,15663,41371,57972
Ohio,39111,Monroe,1605,5463,7148
Ohio,39113,Montgomery,135064,129034,268505
Ohio,39115,Morgan,1725,5041,6847
Ohio,39117,Morrow,4048,14077,18457
Ohio,39119,Muskingum,11971,27867,40465
Ohio,39121,Noble,1170,5135,6343
Ohio,39123,Ottawa,9008,14628,24007
Ohio,39125,Paulding,2213,7086,9467
Ohio,39127,Perry,4098,12357,16675
Ohio,39129,Pickaway,7304,20593,28271
Ohio,39131,Pike,3110,9157,12412
Ohio,39133,Portage,35661,45990,82872
Ohio,39135,Preble,4493,17022,21809
Ohio,39137,Putnam,3195,16412,19921
Ohio,39139,Richland,17640,41472,59975
Ohio,39141,Ross,10557,22278,33299
Ohio,39143,Sandusky,10596,18896,30074
Ohio,39145,Scioto,9080,22609,32047
Ohio,39147,Seneca,8266,17086,25810
Ohio,39149,Shelby,4465,20422,25258
Ohio,39151,Stark,75904,111097,189879
Ohio,39153,Summit,151668,124833,280473
Ohio,39155,Trumbull,44519,55194,101001
Ohio,39157,Tuscarawas,12889,30458,44015
Ohio,39159,Union,11141,21669,33445
Ohio,39161,Van Wert,3067,11650,14965
Ohio,39163,Vinton,1331,4632,6030
Ohio,39165,Warren,46069,87988,136100
Ohio,39167,Washington,9243,22307,32031
Ohio,39169,Wayne,16660,36759,54283
Ohio,39171,Williams,4842,13452,18651
Ohio,39173,Wood,30617,35757,67597
Ohio,39175,Wyandot,2733,8462,11390
