state_name,county_fips,county_name,votes_dem,votes_gop,total_votes
Oregon,41001,Baker,2343,7060,9694
Oregon,41003,Benton,33909,14187,50232
Oregon,41005,Clackamas,130580,106387,246240
Oregon,41007,Clatsop,12533,9913,23290
Oregon,41009,Columbia,12895,17227,31334
Oregon,41011,Coos,13731,20849,35735
Oregon,41013,Crook,3836,12012,16297
Oregon,41015,Curry,5737,8000,14200
Oregon,41017,Deschutes,68108,54850,127375
Oregon,41019,Douglas,18386,41561,61807
Oregon,41021,Gilliam,291,805,1134
Oregon,41023,Grant,816,3490,4456
Oregon,41025,Harney,797,3307,4255
Oregon,41027,Hood River,8364,3854,12707
Oregon,41029,Jackson,54065,61743,119572
Oregon,41031,Jefferson,3941,7454,11750
Oregon,41033,Josephine,16928,31129,49628
Oregon,41035,Klamath,9856,24675,35515
Oregon,41037,Lake,681,3421,4213
Oregon,41039,Lane,125775,77376,211285
Oregon,41041,Lincoln,17112,11645,29804
Oregon,41043,Linn,25749,43078,71429
Oregon,41045,Malheur,2884,7710,10945
Oregon,41047,Marion,73970,77089,156691
Oregon,41049,Morrow,1138,3408,4732
Oregon,41051,Multnomah,325927,70759,414250
Oregon,41053,Polk,22034,23768,47593
Oregon,41055,Sherman,233,890,1163
Oregon,41057,Tillamook,7747,7971,16252
Oregon,41059,Umatilla,9251,20973,31225
Oregon,41061,Union,4107,9942,14574
Oregon,41063,Wallowa,1573,3366,5108
Oregon,41065,Wasco,6069,6837,13391
Oregon,41067,Washington,193013,92590,297949
Oregon,41069,Wheeler,210,618,868
Oregon,41071,Yamhill,26011,29536,57800
