state_name,county_fips,county_name,votes_dem,votes_gop,total_votes
South Carolina,45001,Abbeville,3399,8509,12048
South Carolina,45003,Aiken,31298,53592,86091
South Carolina,45005,Allendale,2165,813,3023
South Carolina,45007,Anderson,25281,71828,98296
South Carolina,45009,Bamberg,3245,2376,5694
South Carolina,45011,Barnwell,4082,5605,9803
South Carolina,45013,Beaufort,44002,59123,104403
South Carolina,45015,Berkeley,46416,64777,112834
South Carolina,45017,Calhoun,3339,4474,7914
South Carolina,45019,Charleston,111427,99265,214521
South Carolina,45021,Cherokee,5939,18697,24839
South Carolina,45023,Chester,6353,9030,15556
South Carolina,45025,Chesterfield,6520,11682,18391
South Carolina,45027,Clarendon,7064,9065,16320
South Carolina,45029,Colleton,7376,10696,18276
South Carolina,45031,Darlington,12977,17017,30331
South Carolina,45033,Dillon,5241,6526,11861
South Carolina,45035,Dorchester,32489,43839,77764
South Carolina,45037,Edgefield,4659,9092,13919
South Carolina,45039,Fairfield,6277,4792,11215
South Carolina,45041,Florence,27706,32615,61140
South Carolina,45043,Georgetown,14965,22326,37754
South Carolina,45045,Greenville,100074,158541,263316
South Carolina,45047,Greenwood,10766,19715,30888
South Carolina,45049,Hampton,4328,3801,8233
South Carolina,45051,Horry,62325,141719,205954
South Carolina,45053,Jasper,8144,9900,18227
South Carolina,45055,Kershaw,11826,21289,33533
South Carolina,45057,Lancaster,20146,33623,54427
South Carolina,45059,Laurens,8769,21110,30213
South Carolina,45061,Lee,4505,3078,8076
South Carolina,45063,Lexington,47815,96965,146903
South Carolina,45067,Marion,7316,5906,13388
South Carolina,45069,Marlboro,5137,4896,10152
South Carolina,45065,McCormick,2513,3565,6153
South Carolina,45071,Newberry,5841,12067,18129
South Carolina,45073,Oconee,9987,31772,42264
South Carolina,45075,Orangeburg,22832,13750,36970
South Carolina,45077,Pickens,13891,45728,60451
South Carolina,45079,Richland,121110,58019,182411
South Carolina,45081,Saluda,2454,6452,9014
South Carolina,45083,Spartanburg,50710,103032,155597
South Carolina,45085,Sumter,23425,21215,45170
South Carolina,45087,Union,4084,8102,12289
South Carolina,45089,Williamsburg,8634,5524,14330
South Carolina,45091,York,59600,88239,150059
