state_name,county_fips,county_name,votes_dem,votes_gop,total_votes
Utah,49001,Beaver County,394,2781,3212
Utah,49003,Box Elder County,5274,22853,28920
Utah,49005,Cache County,18718,39457,60258
Utah,49007,Carbon County,2525,6719,9445
Utah,49009,Daggett County,101,443,550
Utah,49011,Davis County,59895,101293,166570
Utah,49013,Duchesne County,1009,7815,8968
Utah,49015,Emery County,603,4341,5011
Utah,49017,Garfield County,541,2211,2811
Utah,49019,Grand County,2828,2327,5300
Utah,49021,Iron County,5683,21571,27878
Utah,49023,Juab County,734,5671,6518
Utah,49025,Kane County,1137,3277,4488
Utah,49027,Millard County,713,5558,6387
Utah,49029,Morgan County,1256,5300,6760
Utah,49031,Piute County,94,854,963
Utah,49033,Rich County,214,1211,1447
Utah,49035,Salt Lake County,273658,221555,509637
Utah,49037,San Juan County,2581,3613,6329
Utah,49039,Sanpete County,1906,10653,12944
Utah,49041,Sevier County,1236,9526,10926
Utah,49043,Summit County,14612,10783,25876
Utah,49045,Tooele County,9560,23484,34006
Utah,49047,Uintah County,1952,13599,15832
Utah,49049,Utah County,84937,203476,298143
Utah,49051,Wasatch County,6459,11495,18354
Utah,49053,Washington County,22327,73165,97256
Utah,49055,Wayne County,381,1238,1651
Utah,49057,Weber County,41238,67549,112054
