state_name,county_fips,county_name,votes_dem,votes_gop,total_votes
Vermont,50001,Addison County,14879,6841,22607
Vermont,50003,Bennington County,12326,7697,20710
Vermont,50005,Caledonia County,8977,6927,16633
Vermont,50007,Chittenden County,72656,20937,97329
Vermont,50009,Essex County,1344,1890,3425
Vermont,50011,Franklin County,13280,12490,26743
Vermont,50013,Grand Isle County,2940,1893,5001
Vermont,50015,Lamoille County,9788,4505,14844
Vermont,50017,Orange County,10220,6683,17672
Vermont,50019,Orleans County,7006,7233,14765
Vermont,50021,Rutland County,17375,15586,34102
Vermont,50023,Washington County,24527,9327,35369
Vermont,50025,Windham County,17904,6928,25933
Vermont,50027,Windsor County,22569,10458,34289
