state_name,county_fips,county_name,votes_dem,votes_gop,total_votes
West Virginia,54001,Barbour,1457,5116,6677
West Virginia,54003,Berkeley,17186,33279,51535
West Virginia,54005,Boone,2041,6816,9012
West Virginia,54007,Braxton,1457,4120,5664
West Virginia,54009,Brooke,2947,7545,10656
West Virginia,54011,Cabell,14994,21721,37360
West Virginia,54013,Calhoun,568,2364,2971
West Virginia,54015,Clay,641,2679,3365
West Virginia,54017,Doddridge,435,2619,3101
West Virginia,54019,Fayette,5063,11580,16862
West Virginia,54021,Gilmer,599,2012,2662
West Virginia,54023,Grant,607,4871,5509
West Virginia,54025,Greenbrier,4655,10925,15850
West Virginia,54027,Hampshire,1939,8033,10086
West Virginia,54029,Hancock,3790,9806,13800
West Virginia,54031,Hardy,1381,4859,6331
West Virginia,54033,Harrison,9215,20683,30465
West Virginia,54035,Jackson,3207,10093,13508
West Virginia,54037,Jefferson,12127,15033,27703
West Virginia,54039,Kanawha,34344,46398,82244
West Virginia,54041,Lewis,1538,5782,7457
West Virginia,54043,Lincoln,1711,6012,7830
West Virginia,54045,Logan,2333,10534,13026
West Virginia,54047,McDowell,1333,5148,6527
West Virginia,54049,Marion,8901,16300,25794
West Virginia,54051,Marshall,3455,10435,14080
West Virginia,54053,Mason,2526,8491,11203
West Virginia,54055,Mercer,5556,19237,25134
West Virginia,54057,Mineral,2660,10040,12872
West Virginia,54059,Mingo,1397,8544,10022
West Virginia,54061,Monongalia,20282,20803,42072
West Virginia,54063,Monroe,1345,5068,6490
West Virginia,54065,Morgan,1998,6537,8695
West Virginia,54067,Nicholas,2226,8279,10630
West Virginia,54069,Ohio,7223,12354,19898
West Virginia,54071,Pendleton,820,2782,3659
West Virginia,54073,Pleasants,699,2742,3491
West Virginia,54075,Pocahontas,1047,2895,4008
West Virginia,54077,Preston,3163,11190,14572
West Virginia,54079,Putnam,7878,20034,28501
West Virginia,54081,Raleigh,7982,24673,33106
West Virginia,54083,Randolph,3362,8673,12200
West Virginia,54085,Ritchie,586,3649,4283
West Virginia,54087,Roane,1455,4213,5763
West Virginia,54089,Summers,1448,4074,5585
West Virginia,54091,Taylor,1796,5477,7383
West Virginia,54093,Tucker,938,2841,3844
West Virginia,54095,Tyler,631,3226,3922
West Virginia,54097,Upshur,2256,7771,10221
West Virginia,54099,Wayne,4088,12585,16947
West Virginia,54101,Webster,610,2759,3402
West Virginia,54103,Wetzel,1539,4993,6667
West Virginia,54105,Wirt,466,2134,2653
West Virginia,54107,Wood,10926,27202,38762
West Virginia,54109,Wyoming,1157,7353,8592
