"term","winner","winner_party","winner_side","winner_votes","runner","runner_party","runner_side","runner_votes","state","abbrev","pres_winner","pres_r_two","margin","sen_r_top2","ran_ahead","rep_name","crossover","crossover_strict"
"full","Ruben Gallego","Democrat","D",1676335,"Kari Lake","Republican","R",1595761,"Arizona","AZ","R",52.79,2.46,48.77,-4.02,"Kari Lake",TRUE,TRUE
"full","Adam B. Schiff","Democrat","D",9036252,"Steve Garvey","Republican","R",6312594,"California","CA","D",39.6,17.75,41.13,1.53,"Steve Garvey",FALSE,FALSE
"unexpired","Adam B. Schiff","Democrat","D",8837051,"Steve Garvey","Republican","R",6204637,"California","CA","D",39.6,17.5,41.25,1.65,"Steve Garvey",FALSE,FALSE
"full","Christopher Murphy","Democrat","D",1000695,"Matthew M. Corey","Republican","R",678256,"Connecticut","CT","D",42.62,19.2,40.4,-2.22,"Matthew M. Corey",FALSE,FALSE
"full","Lisa Blunt Rochester","Democrat","D",283298,"Eric Hansen","Republican","R",197753,"Delaware","DE","D",42.52,17.78,41.11,-1.41,"Eric Hansen",FALSE,FALSE
"full","Rick Scott","Republican","R",5977706,"Debbie Mucarsel-Powell","Democrat","D",4603077,"Florida","FL","R",56.61,12.99,56.5,-0.11,"Rick Scott",FALSE,FALSE
"full","Mazie K. Hirono","Democrat","D",324194,"Bob McDermott","Republican","R",160075,"Hawaii","HI","D",38.22,33.89,33.05,-5.17,"Bob McDermott",FALSE,FALSE
"full","Jim Banks","Republican","R",1659416,"Valerie McCray","Democrat","D",1097061,"Indiana","IN","R",59.65,20.4,60.2,0.55,"Jim Banks",FALSE,FALSE
"full","Elizabeth Warren","Democrat","D",2041668,"John Deaton","Republican","R",1365440,"Massachusetts","MA","D",37.04,19.85,40.08,3.04,"John Deaton",FALSE,FALSE
"full","Angela Alsobrooks","Democrat","D",1650912,"Larry Hogan","Republican","R",1294344,"Maryland","MD","D",35.25,12.11,43.95,8.7,"Larry Hogan",FALSE,FALSE
"full","Angus S. King, Jr.","Independent","I",427331,"Demi Kouzounas","Republican","R",284338,"Maine","ME","D",46.46,20.09,39.95,-6.51,"Demi Kouzounas",FALSE,TRUE
"full","Elissa Slotkin","Democrat","D",2712686,"Mike Rogers","Republican","R",2693680,"Michigan","MI","R",50.72,0.35,49.82,-0.9,"Mike Rogers",TRUE,TRUE
"full","Amy Klobuchar","Democrat","D",1792441,"Royce White","Republican","R",1291712,"Minnesota","MN","D",47.83,16.24,41.88,-5.95,"Royce White",FALSE,FALSE
"full","Josh Hawley","Republican","R",1651907,"Lucas Kunce","Democrat","D",1243728,"Missouri","MO","R",59.34,14.1,57.05,-2.29,"Josh Hawley",FALSE,FALSE
"full","Roger F. Wicker","Republican","R",763420,"Ty Pinkins","Democrat","D",451981,"Mississippi","MS","R",61.57,25.62,62.81,1.24,"Roger F. Wicker",FALSE,FALSE
"full","Tim Sheehy","Republican","R",319682,"Jon Tester","Democrat","D",276305,"Montana","MT","R",60.29,7.28,53.64,-6.65,"Tim Sheehy",FALSE,FALSE
"full","Kevin Cramer","Republican","R",241569,"Katrina Christiansen","Democratic-Nonpartisan League","D",121602,"North Dakota","ND","R",68.7,33.03,66.52,-2.18,"Kevin Cramer",FALSE,FALSE
"full","Deb Fischer","Republican","R",499124,"Dan Osborn","By Petition","I",436493,"Nebraska","NE","R",60.42,6.69,53.35,-7.07,"Deb Fischer",FALSE,FALSE
"unexpired","Pete Ricketts","Republican","R",585103,"Preston Love, Jr.","Democrat","D",349902,"Nebraska","NE","R",60.42,25.16,62.58,2.16,"Pete Ricketts",FALSE,FALSE
"full","Andy Kim","Democrat","D",2161491,"Curtis Bashaw","Republican","R",1773589,"New Jersey","NJ","D",46.99,9.86,45.07,-1.92,"Curtis Bashaw",FALSE,FALSE
