"state_name","county_fips","county_name","votes_dem","votes_gop","total_votes"
"Alabama","01001","Autauga County",7439,20484,28190
"Alabama","01003","Baldwin County",24934,95798,121808
"Alabama","01005","Barbour County",4158,5606,9832
"Alabama","01007","Bibb County",1619,7572,9241
"Alabama","01009","Blount County",2576,25354,28115
"Alabama","01011","Bullock County",2983,1101,4106
"Alabama","01013","Butler County",3251,5172,8467
"Alabama","01015","Calhoun County",13194,34912,48530
"Alabama","01017","Chambers County",5405,8711,14221
"Alabama","01019","Cherokee County",1553,11358,12984
"Alabama","01021","Chilton County",2698,16920,19728
"Alabama","01023","Choctaw County",2515,4103,6646
"Alabama","01025","Clarke County",4927,6965,11946
"Alabama","01027","Clay County",993,5734,6757
"Alabama","01029","Cleburne County",605,6988,7637
"Alabama","01031","Coffee County",4601,17495,22270
"Alabama","01033","Colbert County",7137,19714,27086
"Alabama","01035","Conecuh County",2580,3423,6043
"Alabama","01037","Coosa County",1478,3758,5264
"Alabama","01039","Covington County",2314,14677,17072
"Alabama","01041","Crenshaw County",1457,5000,6480
"Alabama","01043","Cullman County",4039,38704,43052
"Alabama","01045","Dale County",4484,14476,19103
"Alabama","01047","Dallas County",10236,5190,15528
"Alabama","01049","DeKalb County",3758,25633,29583
"Alabama","01051","Elmore County",9774,31374,41491
"Alabama","01053","Escambia County",3964,10884,14929
"Alabama","01055","Etowah County",10027,35653,46023
"Alabama","01057","Fayette County",1142,7158,8356
"Alabama","01059","Franklin County",1568,10417,12077
"Alabama","01061","Geneva County",1391,10929,12390
"Alabama","01063","Greene County",3133,885,4035
"Alabama","01065","Hale County",3868,3369,7290
"Alabama","01067","Henry County",2263,6989,9301
"Alabama","01069","Houston County",11352,32469,44195
"Alabama","01071","Jackson County",3276,20073,23509
"Alabama","01073","Jefferson County",162112,131123,296741
"Alabama","01075","Lamar County",806,6033,6875
"Alabama","01077","Lauderdale County",10326,32708,43454
"Alabama","01079","Lawrence County",2983,13024,16115
"Alabama","01081","Lee County",25798,46020,72695
"Alabama","01083","Limestone County",14581,37887,53096
"Alabama","01085","Lowndes County",3867,1758,5652
"Alabama","01087","Macon County",6084,1682,7820
"Alabama","01089","Madison County",87824,105430,196355
"Alabama","01091","Marengo County",4631,4995,9673
"Alabama","01093","Marion County",1197,12245,13523
"Alabama","01095","Marshall County",5553,34434,40277
"Alabama","01097","Mobile County",72055,100759,174545
"Alabama","01099","Monroe County",3740,6007,9799
"Alabama","01101","Montgomery County",57946,30477,89375
"Alabama","01103","Morgan County",12392,40449,53369
"Alabama","01105","Perry County",3174,1269,4457
"Alabama","01107","Pickens County",3388,5465,8898
"Alabama","01109","Pike County",4899,8224,13214
"Alabama","01111","Randolph County",1920,9102,11075
"Alabama","01113","Russell County",10422,10078,20679
"Alabama","01115","St. Clair County",7640,35501,43440
"Alabama","01117","Shelby County",33087,79666,114043
"Alabama","01119","Sumter County",3725,1542,5297
"Alabama","01121","Talladega County",10898,22100,33175
"Alabama","01123","Tallapoosa County",4975,14884,19980
"Alabama","01125","Tuscaloosa County",33399,50724,84879
"Alabama","01127","Walker County",4102,25464,29747
"Alabama","01129","Washington County",1863,6534,8430
"Alabama","01131","Wilcox County",3449,1793,5260
