state,abbr,col,row
Alabama,AL,7,6
Alaska,AK,0,0
Arizona,AZ,2,5
Arkansas,AR,5,5
California,CA,1,4
Colorado,CO,3,4
Connecticut,CT,10,3
Delaware,DE,10,4
Florida,FL,9,7
Georgia,GA,8,6
Hawaii,HI,0,7
Idaho,ID,2,2
Illinois,IL,6,3
Indiana,IN,7,3
Iowa,IA,5,3
Kansas,KS,4,5
Kentucky,KY,6,4
Louisiana,LA,5,6
Maine,ME,11,0
Maryland,MD,9,4
Massachusetts,MA,10,2
Michigan,MI,7,2
Minnesota,MN,5,2
Mississippi,MS,6,6
Missouri,MO,5,4
Montana,MT,3,2
Nebraska,NE,4,4
Nevada,NV,2,4
New Hampshire,NH,10,1
New Jersey,NJ,9,3
New Mexico,NM,3,5
New York,NY,9,2
North Carolina,NC,8,5
North Dakota,ND,4,2
Ohio,OH,8,3
Oklahoma,OK,4,6
Oregon,OR,1,3
Pennsylvania,PA,8,2
Rhode Island,RI,11,2
South Carolina,SC,9,5
South Dakota,SD,4,3
Tennessee,TN,7,5
Texas,TX,4,7
Utah,UT,3,3
Vermont,VT,10,0
Virginia,VA,8,4
Washington,WA,1,2
West Virginia,WV,7,4
Wisconsin,WI,6,2
Wyoming,WY,3,2
