state,prison,parole,probation,jail,post_sentence,total,voting_eligible_pop,pct
Tennessee,23735.0,12630.0,55673.0,7480.0,300166.0,399684.0,5206668.0,7.68
Florida,84678.0,3890.0,133324.0,10007.0,729858.0,961757.0,15698796.0,6.13
Alabama,19816.0,5550.0,19651.0,1364.0,181056.0,227437.0,3824042.0,5.95
Kentucky,19744.0,12630.0,47619.0,6559.0,71829.0,158381.0,3398223.0,4.66
Arizona,33865.0,6640.0,55225.0,6952.0,112109.0,214791.0,5118553.0,4.2
Virginia,27162.0,1770.0,60640.0,5147.0,169573.0,264292.0,6322253.0,4.18
Arkansas,17625.0,22780.0,41921.0,1772.0,0.0,84099.0,2233468.0,3.77
Georgia,48439.0,15460.0,174566.0,11234.0,0.0,249699.0,7686559.0,3.25
Mississippi,6139.0,2874.0,9418.0,2369.0,47932.0,68731.0,2232895.0,3.08
Texas,139631.0,100600.0,226472.0,12395.0,0.0,479097.0,19161407.0,2.5
Idaho,9110.0,6640.0,12719.0,673.0,0.0,29143.0,1344940.0,2.17
Wyoming,2154.0,840.0,3306.0,231.0,2907.0,9437.0,434427.0,2.17
South Dakota,3444.0,3360.0,5454.0,345.0,0.0,12603.0,656517.0,1.92
Missouri,23911.0,17140.0,36584.0,1844.0,0.0,79479.0,4666685.0,1.7
Louisiana,27296.0,17064.0,2596.0,7790.0,0.0,54746.0,3458799.0,1.58
Wisconsin,20873.0,22510.0,22097.0,2799.0,0.0,68279.0,4473075.0,1.53
Oklahoma,22941.0,2500.0,12338.0,2691.0,0.0,40470.0,2884230.0,1.4
Iowa,8473.0,6880.0,10480.0,394.0,651.0,26878.0,2368945.0,1.13
West Virginia,5873.0,4030.0,3869.0,1925.0,0.0,15696.0,1421321.0,1.1
South Carolina,16318.0,3510.0,16852.0,1158.0,0.0,37838.0,3905589.0,0.97
Alaska,2223.0,750.0,2172.0,0.0,0.0,5145.0,534726.0,0.96
Kansas,8709.0,5130.0,3765.0,1436.0,0.0,19040.0,2126123.0,0.9
North Carolina,29627.0,9710.0,28989.0,1562.0,0.0,69888.0,7734317.0,0.9
Nebraska,5649.0,940.0,5067.0,543.0,0.0,12200.0,1405396.0,0.87
Delaware,2587.0,340.0,2930.0,0.0,357.0,6214.0,746111.0,0.83
Montana,4691.0,0.0,0.0,639.0,0.0,5330.0,849900.0,0.63
Indiana,25286.0,0.0,0.0,3330.0,0.0,28616.0,5009620.0,0.57
Ohio,45313.0,0.0,0.0,5303.0,0.0,50616.0,8948188.0,0.57
Nevada,10304.0,0.0,0.0,878.0,0.0,11182.0,2150275.0,0.52
Michigan,32374.0,0.0,0.0,2183.0,0.0,34557.0,7633287.0,0.45
Colorado,17168.0,0.0,0.0,1560.0,0.0,18728.0,4267287.0,0.44
Oregon,12518.0,0.0,0.0,914.0,0.0,13432.0,3177375.0,0.42
Pennsylvania,37910.0,0.0,0.0,3372.0,0.0,41282.0,9949674.0,0.41
North Dakota,1817.0,0.0,0.0,448.0,0.0,2265.0,575817.0,0.39
California,97608.0,0.0,0.0,0.0,0.0,97608.0,26078138.0,0.37
Maryland,15637.0,0.0,0.0,633.0,0.0,16270.0,4411238.0,0.37
New Mexico,4970.0,0.0,0.0,361.0,0.0,5331.0,1538095.0,0.35
Illinois,29634.0,0.0,0.0,1369.0,0.0,31003.0,9143765.0,0.34
Utah,6009.0,0.0,0.0,1402.0,0.0,7411.0,2204522.0,0.34
Washington,13772.0,0.0,0.0,1805.0,0.0,15577.0,5488694.0,0.28
Hawaii,2390.0,0.0,0.0,0.0,0.0,2390.0,1050736.0,0.23
Minnesota,8636.0,0.0,0.0,936.0,0.0,9572.0,4206890.0,0.23
New York,31148.0,0.0,0.0,1898.0,0.0,33046.0,14187231.0,0.23
New Jersey,12657.0,0.0,0.0,1430.0,0.0,14087.0,6420959.0,0.22
Connecticut,5449.0,0.0,0.0,0.0,0.0,5449.0,2646720.0,0.21
New Hampshire,2086.0,0.0,0.0,160.0,0.0,2246.0,1093456.0,0.21
Rhode Island,1595.0,0.0,0.0,0.0,0.0,1595.0,824516.0,0.19
Massachusetts,6001.0,0.0,0.0,1359.0,0.0,7360.0,5117162.0,0.14
Maine,0.0,0.0,0.0,0.0,0.0,0.0,1095863.0,0.0
Vermont,0.0,0.0,0.0,0.0,0.0,0.0,516776.0,0.0
