"year","stcd","dv","uncontested","source"
1946,"1001",NA,TRUE,"Jacobson"
1946,"1002",NA,TRUE,"Jacobson"
1946,"1003",NA,TRUE,"Jacobson"
1946,"1004",NA,TRUE,"Jacobson"
1946,"1005",NA,TRUE,"Jacobson"
1946,"1006",NA,TRUE,"Jacobson"
1946,"1007",NA,TRUE,"Jacobson"
1946,"1008",NA,TRUE,"Jacobson"
1946,"1009",NA,TRUE,"Jacobson"
1946,"101",NA,TRUE,"Jacobson"
1946,"1010",NA,TRUE,"Jacobson"
1946,"102",NA,TRUE,"Jacobson"
1946,"103",NA,TRUE,"Jacobson"
1946,"104",88.1,FALSE,"Jacobson"
1946,"105",NA,TRUE,"Jacobson"
1946,"106",NA,TRUE,"Jacobson"
1946,"107",72.7,FALSE,"Jacobson"
1946,"108",92.4,FALSE,"Jacobson"
1946,"109",94.1,FALSE,"Jacobson"
1946,"1201",49.5,FALSE,"Jacobson"
1946,"1202",39.3,FALSE,"Jacobson"
1946,"1301",56.8,FALSE,"Jacobson"
1946,"1302",48.7,FALSE,"Jacobson"
1946,"1303",42.8,FALSE,"Jacobson"
1946,"1304",70.7,FALSE,"Jacobson"
1946,"1305",71.6,FALSE,"Jacobson"
1946,"1306",52,FALSE,"Jacobson"
1946,"1307",45,FALSE,"Jacobson"
1946,"1308",77.3,FALSE,"Jacobson"
1946,"1309",48.7,FALSE,"Jacobson"
1946,"1310",35.3,FALSE,"Jacobson"
1946,"1311",25.1,FALSE,"Jacobson"
1946,"1312",30.9,FALSE,"Jacobson"
1946,"1313",22.2,FALSE,"Jacobson"
1946,"1314",37.9,FALSE,"Jacobson"
1946,"1315",35.7,FALSE,"Jacobson"
1946,"1316",32.5,FALSE,"Jacobson"
1946,"1317",28.8,FALSE,"Jacobson"
1946,"1318",34.9,FALSE,"Jacobson"
1946,"1319",37.5,FALSE,"Jacobson"
1946,"1320",41.2,FALSE,"Jacobson"
1946,"1321",44.9,FALSE,"Jacobson"
1946,"1322",50.7,FALSE,"Jacobson"
1946,"1323",45.1,FALSE,"Jacobson"
1946,"1324",41.1,FALSE,"Jacobson"
1946,"1325",40.2,FALSE,"Jacobson"
1946,"1326",44.9,FALSE,"Jacobson"
1946,"1401",52.6,FALSE,"Jacobson"
1946,"1402",38.1,FALSE,"Jacobson"
1946,"1403",43.7,FALSE,"Jacobson"
1946,"1404",39.9,FALSE,"Jacobson"
1946,"1405",43.5,FALSE,"Jacobson"
1946,"1406",42.1,FALSE,"Jacobson"
1946,"1407",48.5,FALSE,"Jacobson"
1946,"1408",47.8,FALSE,"Jacobson"
1946,"1409",43.7,FALSE,"Jacobson"
1946,"1410",38.7,FALSE,"Jacobson"
1946,"1411",51.4,FALSE,"Jacobson"
1946,"1501",38.5,FALSE,"Jacobson"
1946,"1502",40.9,FALSE,"Jacobson"
1946,"1503",38,FALSE,"Jacobson"
1946,"1504",41.6,FALSE,"Jacobson"
1946,"1505",40.6,FALSE,"Jacobson"
1946,"1506",36.6,FALSE,"Jacobson"
1946,"1507",37,FALSE,"Jacobson"
1946,"1508",31.4,FALSE,"Jacobson"
1946,"1601",35.7,FALSE,"Jacobson"
1946,"1602",41.2,FALSE,"Jacobson"
1946,"1603",44.7,FALSE,"Jacobson"
1946,"1604",43.9,FALSE,"Jacobson"
1946,"1605",37.4,FALSE,"Jacobson"
1946,"1606",39.5,FALSE,"Jacobson"
1946,"1701",66.7,FALSE,"Jacobson"
1946,"1702",56.6,FALSE,"Jacobson"
1946,"1703",41.9,FALSE,"Jacobson"
1946,"1704",53,FALSE,"Jacobson"
1946,"1705",51.2,FALSE,"Jacobson"
1946,"1706",55,FALSE,"Jacobson"
1946,"1707",40.6,FALSE,"Jacobson"
1946,"1708",52.6,FALSE,"Jacobson"
1946,"1709",NA,TRUE,"Jacobson"
1946,"1801",91.8,FALSE,"Jacobson"
1946,"1802",90.7,FALSE,"Jacobson"
1946,"1803",NA,TRUE,"Jacobson"
1946,"1804",NA,TRUE,"Jacobson"
1946,"1805",NA,TRUE,"Jacobson"
1946,"1806",NA,TRUE,"Jacobson"
1946,"1807",NA,TRUE,"Jacobson"
1946,"1808",NA,TRUE,"Jacobson"
1946,"1901",40.4,FALSE,"Jacobson"
1946,"1902",39.3,FALSE,"Jacobson"
1946,"1903",27.1,FALSE,"Jacobson"
1946,"2001",49.1,FALSE,"Jacobson"
1946,"2002",52.4,FALSE,"Jacobson"
1946,"2003",63.9,FALSE,"Jacobson"
1946,"2004",57.2,FALSE,"Jacobson"
1946,"2005",58.2,FALSE,"Jacobson"
1946,"2006",41.9,FALSE,"Jacobson"
1946,"2101",43.9,FALSE,"Jacobson"
1946,"2102",48.6,FALSE,"Jacobson"
1946,"2103",62.2,FALSE,"Jacobson"
1946,"2104",50.5,FALSE,"Jacobson"
1946,"2105",28.1,FALSE,"Jacobson"
1946,"2106",29.8,FALSE,"Jacobson"
1946,"2107",61.7,FALSE,"Jacobson"
1946,"2108",36.5,FALSE,"Jacobson"
1946,"2109",38.3,FALSE,"Jacobson"
1946,"2110",36,FALSE,"Jacobson"
1946,"2111",71.9,FALSE,"Jacobson"
1946,"2112",NA,TRUE,"Jacobson"
1946,"2113",32.5,FALSE,"Jacobson"
1946,"2114",36.4,FALSE,"Jacobson"
1946,"2201",66.6,FALSE,"Jacobson"
1946,"2202",28.2,FALSE,"Jacobson"
1946,"2203",30.3,FALSE,"Jacobson"
1946,"2204",26.8,FALSE,"Jacobson"
1946,"2205",28.4,FALSE,"Jacobson"
1946,"2206",42.3,FALSE,"Jacobson"
1946,"2207",25.2,FALSE,"Jacobson"
1946,"2208",26.7,FALSE,"Jacobson"
1946,"2209",27.8,FALSE,"Jacobson"
1946,"2210",28.3,FALSE,"Jacobson"
1946,"2211",34,FALSE,"Jacobson"
1946,"2212",45.4,FALSE,"Jacobson"
1946,"2213",47.2,FALSE,"Jacobson"
1946,"2214",46.7,FALSE,"Jacobson"
1946,"2215",52.3,FALSE,"Jacobson"
1946,"2216",52.9,FALSE,"Jacobson"
1946,"2217",34.9,FALSE,"Jacobson"
1946,"2301",31.6,FALSE,"Jacobson"
1946,"2302",24,FALSE,"Jacobson"
1946,"2303",48.5,FALSE,"Jacobson"
1946,"2304",47.9,FALSE,"Jacobson"
1946,"2305",41.7,FALSE,"Jacobson"
1946,"2306",42.6,FALSE,"Jacobson"
1946,"2307",34.6,FALSE,"Jacobson"
1946,"2308",57.7,FALSE,"Jacobson"
1946,"2309",36.1,FALSE,"Jacobson"
1946,"2401",NA,TRUE,"Jacobson"
1946,"2402",NA,TRUE,"Jacobson"
1946,"2403",NA,TRUE,"Jacobson"
1946,"2404",NA,TRUE,"Jacobson"
1946,"2405",NA,TRUE,"Jacobson"
1946,"2406",NA,TRUE,"Jacobson"
1946,"2407",NA,TRUE,"Jacobson"
1946,"2501",49.7,FALSE,"Jacobson"
1946,"2502",48.9,FALSE,"Jacobson"
1946,"2503",47.2,FALSE,"Jacobson"
1946,"2504",55.1,FALSE,"Jacobson"
1946,"2505",46.3,FALSE,"Jacobson"
1946,"2506",41.4,FALSE,"Jacobson"
1946,"2507",34.6,FALSE,"Jacobson"
1946,"2508",48.9,FALSE,"Jacobson"
1946,"2509",53.9,FALSE,"Jacobson"
1946,"2510",60.6,FALSE,"Jacobson"
1946,"2511",49.2,FALSE,"Jacobson"
1946,"2512",41.8,FALSE,"Jacobson"
1946,"2513",54.8,FALSE,"Jacobson"
1946,"2601",57.6,FALSE,"Jacobson"
1946,"2602",45.5,FALSE,"Jacobson"
1946,"2701",33.6,FALSE,"Jacobson"
1946,"2702",41.7,FALSE,"Jacobson"
1946,"2703",23.9,FALSE,"Jacobson"
1946,"2704",28.7,FALSE,"Jacobson"
1946,"2801",41.2,FALSE,"Jacobson"
1946,"2901",40.3,FALSE,"Jacobson"
1946,"2902",35.1,FALSE,"Jacobson"
1946,"3001",36.5,FALSE,"Jacobson"
1946,"3002",32.9,FALSE,"Jacobson"
1946,"3003",34,FALSE,"Jacobson"
1946,"3004",47.4,FALSE,"Jacobson"
1946,"3005",38.6,FALSE,"Jacobson"
1946,"3006",33.8,FALSE,"Jacobson"
1946,"3007",31,FALSE,"Jacobson"
1946,"3008",28.6,FALSE,"Jacobson"
1946,"3009",31,FALSE,"Jacobson"
1946,"301",NA,TRUE,"Jacobson"
1946,"3010",46.5,FALSE,"Jacobson"
1946,"3011",38.3,FALSE,"Jacobson"
1946,"3012",35.3,FALSE,"Jacobson"
1946,"3013",65.7,FALSE,"Jacobson"
1946,"3014",63.5,FALSE,"Jacobson"
1946,"302",NA,TRUE,"Jacobson"
1946,"3101",NA,TRUE,"Jacobson"
1946,"3102",NA,TRUE,"Jacobson"
1946,"3201",21.4,FALSE,"Jacobson"
1946,"3202",21.6,FALSE,"Jacobson"
1946,"3203",24.5,FALSE,"Jacobson"
1946,"3204",40,FALSE,"Jacobson"
1946,"3205",47,FALSE,"Jacobson"
