"state","jurisdictions","voters","voters_per_jurisdiction"
"VT",247,361604,1464
"ME",497,842447,1695
"WI",1851,3434185,1855
"NH",320,829090,2591
"SD",66,435739,6602
"ND",53,371974,7018
"MA",351,3512930,10008
"AS",1,10215,10215
"NE",93,965145,10378
"CT",169,1820891,10775
"MT",56,612423,10936
"WY",23,271123,11788
"MP",1,12610,12610
"KS",105,1342102,12782
"RI",39,522164,13389
"WV",55,769206,13986
"MS",82,1225176,14941
"AR",75,1122278,14964
"VI",1,15952,15952
"IA",99,1674011,16909
"KY",120,2086090,17384
"OK",77,1573274,20432
"ID",44,917469,20852
"MO",116,3126837,26955
"NM",33,927923,28119
"GU",1,30283,30283
"LA",64,2021588,31587
"IN",92,2986839,32466
"TN",95,3090161,32528
"GA",159,5297500,33318
"AL",67,2272911,33924
"VA",133,4511853,33924
"MN",87,3271069,37598
"TX",254,11488820,45232
"UT",29,1466896,50583
"CO",64,3240754,50637
"IL",108,5717147,52937
"SC",46,2566404,55791
"NC",100,5756106,57561
"OR",36,2269608,63045
"OH",88,5851625,66496
"MI",83,5706503,68753
"NV",17,1486297,87429
"WA",39,3949810,101277
"HI",5,522236,104447
"PA",67,7074875,105595
"MD",24,3028813,126201
"NY",62,8389626,135317
"FL",67,10999125,164166
"DE",3,514367,171456
"NJ",21,4321921,205806
"AZ",15,3477975,231865
"CA",58,16164330,278695
"DC",1,328871,328871
"AK",1,340981,340981
"PR",1,1283628,1283628
