"key","value","source"
"nj_n","6657135","NJ state voter file, 21 counties, consulted 2026-08-11"
"nj_active","6145992","same, status field begins 'Active'"
"nj_counties","21","same"
"nj_empty_dob","4","same"
"ga_n","127560","GA Houston County extract, consulted 2026-08-11"
"year_vs_dob","124","computed: birth-year pairs / full-DOB pairs, same records"
"initial_vs_first","15","computed"
"middle_cut","55","computed: percent of colliding pairs removed by adding a middle initial"
"scaling_slope","2.08","computed, lm(log pairs ~ log n)"
"rate_small_n","332857","computed, scaling.csv"
"rate_small","3.10","computed, scaling.csv"
"rate_full","48.2","computed, scaling.csv"
"rate_growth","16","computed: how many times higher the per-voter false-match rate is in the full state than in a 5% draw"
"jan1_n","34522","computed"
"jan1_mult","1.90","computed"
"md_clustering","1.005","computed"
"ga_year_clustering","1.38","computed"
"sentinel_n","13282","computed"
"pairs_nosentinel","3127","computed"
"sent_date","1800-01-01","computed: most common date among pre-1900 years"
"sent_year","1800","computed"
"n_year_1900","4","computed"
"sent_n","13282","computed"
"sent_pct_records","0.20","computed"
"sent_pairs","85","computed: colliding pairs inside the placeholder group"
"sent_pct_pairs","2.6","computed"
"sent_ratio","13","computed: share of collisions divided by share of records"
"real_draw_mean","0.0","computed: mean colliding pairs in 20 same-sized draws of records with real dates"
"real_draw_max","0","computed: worst of those 20 draws"
"impossible_years","79","computed: records with a birth year before 1900 other than the placeholder"
"n_over110","566","computed: implied age over 110, placeholder excluded"
"n_over100","7980","computed: implied age over 100, placeholder excluded"
"n_under18","659","computed: implied age under 18 (NJ pre-registers 17-year-olds)"
"dec_lo","0.97","computed: decade-boundary ratio, lowest"
"dec_hi","1.04","computed: decade-boundary ratio, highest"
"jan1_mult_modern","1.17","computed: 1 January over-representation among births from 1930 on"
"fom_n","247255","computed"
"fom_pct","3.71","computed"
"fom_mult","1.13","computed"
"fom_expected_pct","3.28","computed: 12 of 366 dates"
"cc_records_2012","45 million","Goel et al. 2020, p. 460: Crosscheck 'handled more than 45 million voter registration records and flagged more than a million'"
"cc_flagged_2013","1,395,074","Goel et al. 2020, p. 468: in 2013 Crosscheck reported identifying 1,395,074 'potential duplicate voters' among the 15 states then participating"
"cc_states_2013","15","same sentence, p. 468"
"cc_iowa_2012","100,140","Goel et al. 2020, p. 460: 'We obtained the list of 100,140 and 139,333 pairings that Crosscheck provided to the Iowa Secretary of State before the 2012 and 2014 elections, respectively.'"
"cc_dup_of_known","25,987","Goel et al. 2020, p. 468: of 34,900 pairings with SSN4 known for both records, 25,987 had the same SSN4"
"cc_known_total","34,900","same sentence, p. 468"
"cc_dup_voted_twice","fewer than 10","Goel et al. 2020, p. 457: 'Fewer than 10 of the roughly 26,000 known duplicate registrations we identified in the consortium data were used to cast two votes in 2012.'"
"t1_dup_regs","roughly 26,000","same sentence, p. 457"
"t1_earlier_only","more than 2,500","Goel et al. 2020, p. 457: 'we identified more than 2,500 cases in which only the registration record with an earlier registration date was used to vote in 2012'"
"dbl_rate","one in 4,000","Goel et al. 2020, abstract: 'We estimate that about one in 4,000 voters cast two ballots'"
"dbl_voters_n","32,890","Goel et al. 2020, p. 464: estimated double voters nationally in 2012 (s.e. 2,649)"
"dbl_base","129 million","Goel et al. 2020, p. 464: votes cast in the 2012 presidential election, per FEC (2013)"
"dbl_ratio","approximately 300","Goel et al. 2020, abstract: 'could impede approximately 300 legitimate votes for each double vote prevented'"
"distinct_national","97","Goel et al. 2020, p. 457: 'In the national voter file, we estimate that 97% of the votes cast with the same first name, last name, and DOB were cast by two distinct individuals.'"
"distinct_crosscheck","99.4","Goel et al. 2020, p. 457: 'If we limit our focus to Crosscheck states, we estimate that fully 99.4% of votes cast with the same name and DOB were cast by distinct individuals.'"
"distinct_consortium","99.5","Goel et al. 2020, p. 457: 'In the consortium data, where we can measure this statistic more directly, we estimate this quantity to be 99.5%.'"
"t1_both_same_ssn","7","Goel et al. 2020, Table 1 (p. 466), 2012: pairings with MATCHING SSN4 where both registrations were used to vote"
"t1_both_diff_ssn","1,476","Goel et al. 2020, Table 1 (p. 466), 2012: pairings with DIFFERENT SSN4 where both were used to vote"
"cc_true_dup_share","70-75","Goel et al. 2020, p. 466: among pairings WITH KNOWN SSN4 FOR BOTH RECORDS, the share that are in fact double registrations"
"natl_fom_pct","14","Goel et al. 2020, p. 459: 'Across all years, we found an improbable 14% of 2012 vote records that were associated with a first-of-the-month birthday.'"
"mcdonald_year","2007","Goel et al. 2020, p. 459, citing McDonald (2007) on placeholder dates of birth"
"clerical_rate","1.3%","Goel et al. 2020, p. 457: 'a 1.3% clerical error rate would be sufficient to explain all of these apparent double votes'"
"ml_pairs","884","Goel et al. 2020, p. 457: 'McDonald and Levitt identify 884 pairs of vote records that have the same first name, last name, and DOB' (New Jersey, 2004)"
"ml_ci","300 to 500","Goel et al. 2020, p. 457: McDonald and Levitt's 95% confidence interval for people voting twice in New Jersey in 2004"
"ml_year","2004","same passage, p. 457"
"ml_overestimate","fewer than one-tenth","Goel et al. 2020, p. 457: 'we estimate that the actual number of double votes is fewer than one-tenth of what their approach suggests'"
"ml_uniform","uniform","Goel et al. 2020, p. 457: McDonald and Levitt drew birth years from the empirical age distribution while 'assuming that birthdays within years follow a uniform distribution'"
"indiana_code","Ind. Code Ann. 3-7-38.2-5(d)(2)","Goel et al. 2020, pp. 457 and 466, citing also Com. Cause Indiana v. Lawson, 937 F.3d 944 (7th Cir. 2019)"
