"from_2020","to_2024","weight"
"APPLING|1B","APPLING|1B",0.999964
"APPLING|1B","APPLING|1C",3.6e-05
"APPLING|1C","APPLING|1C",0.998247
"APPLING|1C","APPLING|2",0.001728
"APPLING|1C","APPLING|1B",1.5e-05
"APPLING|1C","APPLING|5A",1.1e-05
"APPLING|2","APPLING|2",0.995957
"APPLING|2","APPLING|1C",0.003177
"APPLING|2","APPLING|3C",0.000865
"APPLING|3A1","APPLING|3A1",1
"APPLING|3C","APPLING|3C",0.999858
"APPLING|3C","APPLING|5A",0.000136
"APPLING|3C","APPLING|2",4e-06
"APPLING|3C","APPLING|4D",1e-06
"APPLING|4B","APPLING|4B",1
"APPLING|4D","APPLING|4D",0.999799
"APPLING|4D","APPLING|5A",8.6e-05
"APPLING|4D","APPLING|4B",5.8e-05
"APPLING|4D","APPLING|3C",4.2e-05
"APPLING|4D","APPLING|5B",1.6e-05
"APPLING|5A","APPLING|5A",0.999962
"APPLING|5A","APPLING|3C",2.9e-05
"APPLING|5A","APPLING|4D",8e-06
"APPLING|5B","APPLING|5B",0.999984
"APPLING|5B","APPLING|5A",1.2e-05
"APPLING|5B","APPLING|4D",3e-06
"ATKINSON|AXSON","ATKINSON|AXSON",0.999913
"ATKINSON|AXSON","ATKINSON|PEARSON COUNTY",8.7e-05
"ATKINSON|PEARSON CITY","ATKINSON|PEARSON CITY",1
"ATKINSON|PEARSON COUNTY","ATKINSON|PEARSON COUNTY",1
"ATKINSON|WILLACOOCHEE","ATKINSON|WILLACOOCHEE",0.999963
"ATKINSON|WILLACOOCHEE","ATKINSON|PEARSON COUNTY",3.7e-05
"BACON|DOUGLAS","BACON|DOUGLAS",1
"BAKER|ANNA","BAKER|ANNA",1
"BAKER|ELMODEL","BAKER|ELMODEL",0.41511
"BAKER|ELMODEL","BAKER|ANNA",0.320528
"BAKER|ELMODEL","BAKER|MILFORD",0.264289
"BAKER|ELMODEL","BAKER|HOGGARDS MILL",7.3e-05
"BAKER|HOGGARDS MILL","BAKER|HOGGARDS MILL",0.842624
"BAKER|HOGGARDS MILL","BAKER|ANNA",0.157376
"BAKER|MILFORD","BAKER|MILFORD",0.847817
"BAKER|MILFORD","BAKER|ANNA",0.152138
"BAKER|MILFORD","BAKER|ELMODEL",4.5e-05
"BAKER|NEWTON","BAKER|MILFORD",0.685073
"BAKER|NEWTON","BAKER|ELMODEL",0.166321
"BAKER|NEWTON","BAKER|HOGGARDS MILL",0.084768
"BAKER|NEWTON","BAKER|NEWTON",0.063838
"BALDWIN|BODDIE","BALDWIN|BODDIE",0.944488
"BALDWIN|BODDIE","BALDWIN|NORTH MILLEDGEVILLE",0.0209
