"id","tgt","pop","x","y"
1,"43 LAKELAND",0,0.4913,4.3727
2,"08 MASHBURN",0,5.3697,4.575
3,"25 WINDERMERE",48,5.493,4.3833
4,"25 WINDERMERE",1656,4.7479,3.2113
5,"25 WINDERMERE",101,5.0738,3.1113
6,"25 WINDERMERE",417,5.976,3.5218
7,"25 WINDERMERE",54,5.9405,3.2182
8,"25 WINDERMERE",126,5.4404,4.1787
9,"25 WINDERMERE",0,5.649,4.2893
10,"25 WINDERMERE",65,5.7516,3.8994
11,"25 WINDERMERE",33,6.1982,3.3898
12,"25 WINDERMERE",76,6.0823,3.0553
13,"25 WINDERMERE",13,6.2604,3.0941
14,"25 WINDERMERE",596,6.1539,2.1382
15,"25 WINDERMERE",1335,6.1986,1.2046
16,"25 WINDERMERE",199,5.7697,1.156
17,"25 WINDERMERE",52,6.2756,1.5425
18,"25 WINDERMERE",44,6.5933,1.1782
19,"25 WINDERMERE",129,6.3616,1.3701
20,"25 WINDERMERE",117,5.5987,1.5689
21,"25 WINDERMERE",0,7.0535,0.6801
22,"25 WINDERMERE",14,7.033,0.9442
23,"25 WINDERMERE",0,7.394,0.5592
24,"38 DAVES CREEK",14,2.3872,5.8879
25,"07 CUMMING",0,1.9161,5.7092
26,"07 CUMMING",0,2.5966,6.3277
27,"38 DAVES CREEK",1388,2.955,4.4164
28,"38 DAVES CREEK",80,3.2171,5.3513
29,"38 DAVES CREEK",42,2.6295,3.3072
30,"38 DAVES CREEK",98,3.0983,5.4095
31,"38 DAVES CREEK",0,2.3621,4.8905
32,"07 CUMMING",0,3.1675,5.7323
33,"38 DAVES CREEK",0,1.8347,4.202
34,"38 DAVES CREEK",0,1.7781,3.8857
35,"38 DAVES CREEK",583,1.1018,4.2129
36,"38 DAVES CREEK",0,1.6529,3.7673
37,"38 DAVES CREEK",15,1.5641,5.1648
38,"38 DAVES CREEK",0,2.0402,5.2151
39,"38 DAVES CREEK",0,2.4338,5.8578
40,"38 DAVES CREEK",0,0.4938,3.6355
41,"38 DAVES CREEK",274,0.8415,3.4926
42,"38 DAVES CREEK",78,1.5599,3.419
43,"38 DAVES CREEK",1043,3.6752,4.3098
44,"38 DAVES CREEK",107,3.4933,4.5587
45,"38 DAVES CREEK",20,4.2789,5.4001
46,"38 DAVES CREEK",0,4.4731,5.3665
47,"38 DAVES CREEK",126,4.0616,5.2299
48,"38 DAVES CREEK",499,4.4547,4.0984
49,"08 MASHBURN",0,4.8877,4.9584
50,"38 DAVES CREEK",0,1.8142,4.7924
51,"25 WINDERMERE",0,4.1759,2.8423
52,"25 WINDERMERE",69,3.6685,2.8878
53,"25 WINDERMERE",154,3.2952,2.9458
54,"25 WINDERMERE",703,3.1282,2.6442
55,"25 WINDERMERE",367,2.541,2.6223
56,"25 WINDERMERE",75,2.477,2.7949
57,"25 WINDERMERE",922,3.1296,1.7221
58,"25 WINDERMERE",68,3.6537,1.2898
59,"25 WINDERMERE",65,3.7552,1.2412
60,"25 WINDERMERE",132,3.7313,1.7689
61,"25 WINDERMERE",73,3.6391,1.9264
62,"25 WINDERMERE",122,2.7202,2.172
63,"25 WINDERMERE",475,3.7844,2.035
64,"25 WINDERMERE",44,3.4471,2.0324
65,"25 WINDERMERE",299,3.9901,1.6614
66,"25 WINDERMERE",0,4.0676,2.0644
67,"25 WINDERMERE",166,3.8427,2.5195
68,"25 WINDERMERE",0,4.1,1.216
69,"25 WINDERMERE",0,4.0366,1.2078
70,"25 WINDERMERE",762,4.6014,2.0606
71,"25 WINDERMERE",48,4.2522,2.5078
72,"25 WINDERMERE",59,4.57,2.259
73,"25 WINDERMERE",57,4.7907,2.4868
74,"25 WINDERMERE",71,4.4113,1.8197
75,"25 WINDERMERE",119,4.4277,1.6472
76,"25 WINDERMERE",21,4.2705,1.8264
77,"25 WINDERMERE",27,4.2778,1.6103
78,"25 WINDERMERE",41,4.2735,1.675
79,"25 WINDERMERE",22,4.2687,1.7542
80,"25 WINDERMERE",152,4.4586,1.185
81,"25 WINDERMERE",76,4.0218,1.0117
82,"25 WINDERMERE",0,3.8861,1.1436
83,"25 WINDERMERE",1438,2.8404,1.0403
84,"25 WINDERMERE",96,2.3624,0.5045
85,"25 WINDERMERE",438,3.8328,0.5325
86,"25 WINDERMERE",78,3.9624,0.898
87,"25 WINDERMERE",56,3.851,0.7769
88,"25 WINDERMERE",382,3.5202,0.484
89,"25 WINDERMERE",51,4.0526,0.8983
90,"25 WINDERMERE",23,3.9047,1.0347
91,"25 WINDERMERE",130,3.572,1.0298
92,"25 WINDERMERE",77,3.4961,0.9292
93,"25 WINDERMERE",111,3.5091,0.8209
94,"25 WINDERMERE",168,3.306,0.5303
95,"25 WINDERMERE",58,3.1694,0.5046
96,"25 WINDERMERE",65,3.3918,0.3189
