# Georgia Secretary of State — statewide election results archives
# https://sos.ga.gov/page/historical-elections-results
# One ZIP per election, covering ALL 159 counties. 2012 through June 2024.
# Harvested from the page's own links; URLs are stable Drupal file paths.
# NOTE: these are behind Cloudflare bot protection. A browser downloads them;
# a script gets 403. See README.md.
election	url
November 6, 2012 - General Election	https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip
November 4, 2014 - General Election	https://sos.ga.gov/sites/default/files/2026-04/november_4_2014_-_general_election.zip
November 8, 2016 - General Election	https://sos.ga.gov/sites/default/files/2026-04/november_8_2016_-_general_election.zip
November 6, 2018 - General Election	https://sos.ga.gov/sites/default/files/2026-04/november_6_2018_-_general_election.zip
November 3, 2020 - General Election	https://sos.ga.gov/sites/default/files/2026-04/november_3_2020_-_general_election.zip
November 3, 2020 - General Election Recount	https://sos.ga.gov/sites/default/files/2026-04/november_3_2020_-_general_election_recount.zip
January 5, 2021 - Federal Runoff	https://sos.ga.gov/sites/default/files/2026-04/january_5_2021_-_federal_runoff.zip
November 8, 2022 - General-Special Election	https://sos.ga.gov/sites/default/files/2026-05/November%208%2C%202022%20-%20General-Special%20Election.zip
December 6, 2022 - General Election Runoff	https://sos.ga.gov/sites/default/files/2026-04/december_6_2022_-_general_election_runoff.zip
May 21, 2024 - General Primary - Nonpartisan Election	https://sos.ga.gov/sites/default/files/2026-04/may_21_2024_-_general_primary_-_nonpartisan_election.zip
